0	avoir trové	auoir troue	0
1	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres	Si li conte tote sauenture ainsi com li contes la retraite	1
2	tant qu’il conoist bien	Tant que il quenoit bien	2
3	que c’est il qu’ele quiert a	que cest ele|que il le quiert	3|4
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre	mais por le corrous quil auoit de la mort au seneschal: ne se wet faire quenoistre a li	5
5	ains li respont Certes	si li dit	6
6|7	damoisele|chevalier	Certes damoisele	7
8	qui porte escu blanc ne conois je nul	qui port escu blanc ne sai ie nul	8
9	— En non Dieu		
10	sire		
11|12	fet ele|ce poise moi chierement	En no dieu fait ele de ce me poise il trop durement	9
13	Et il n’en tient plus a li parole	et il ne tient plus a li parole	10
14	ains part	Ains sen part	11
15	si tost com il l’ot commandee a Dieu a	si tost comme il lot comandee a dieu	12
16	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest;	et cheuauche en tel maniere|tant quil uient a lissue de la forest	13|14
17	et il torne a destre vers un chemin viés	et il torne a destre uers le chemin uiee	15
18	et ancien;	et acien	16
19	si ne demora gueres qu’il vint a une eve P lee	Si ne demora gaires quil uient a une eue lee	17
20	et parfonde	et parfonde	18
21	mais il n’i trueve pont ne gué ne passage nul	mais il ni trueue ne pont ne gue ne passaige nul	19
22	Et il regarde d’autre part de l’eve	et lors regarde il dautre part de leue	20
23	si voit I	Si uoit|i	21|22
24	petit chastel molt bien seant	petit chastelet mout bien feant	23
25|26	clos de mur bateillié tot entor a la roonde|ll regarde grant piece le chastel	qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel	24
27	dont la façons li plest molt a regarder	dont Ia fasons li plait mout a esgarder	25
28	puis s’en torne contreval la riviere por savoir s’il i peust trover ne pont ne gué	et puis sen torne tot contreual la riuere|Por sauoir se il i troueroit ne pont ne gue	26|27
29	mais il n’en trueve point	mais il nen i trurue point :	28
30|31	et quant il voit qu’il n’i passera|si ne set	si ne sot	29
32	que fere	que faire	30
33|34	que retorner ne voldroit il mie|Atant voit issir del chastel une damoisele	car retorner ne wet il mie atant uoit issir une damoisele dou chastel	31
35	qui ert tote nue en sa chemise	qui estoit tote nue en sa chemisse	32
		si la menoient	33
36	si le menoient troi vilain molt vilainement a	iiii|tre ribaus mout uilment	34|35
37	et tenoit chescuns une hache en sa main;	et tenoit chascuns une hache en sa main	36
38	et ele crioit quanque ele pooit crier por els	et ele crioit quantque le pooit crier|por ciax	37|38
39	qui li faisoient tel honte	qui li fasoient tele honte	39
40	et tel laidure qu’il la venoient batant tot contreval la riviere	et tel laidure|que il la menoient batant tout contrtual la riuiere t	40|41
41	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve	quant la damoisele uoit le cheualier dautre part la riuiere	42
42	si commence a crier Ha	si li comance a crier	43
43|44	gentilz chevaliers|secorés ceste damoisele	ha: gentis cheualiers secores ceste damoisele	44
45	que cist ribaut vuelent ocirre	que ciz ribaut wellet ocire	45
46	Ha		
47	frans hom		
48|49	ne m’i laissiés morir|se vos onques eustes pitié de nule gentil damoisele	ha; frans hons ne mi laissiez morir se uos eutes onques pitie de franche damosele	46
50	Quant Boors ot ce qu’ele li prie	quant boh̾|oit cele	47|48
51	si pitousement qu'il la secore	que si piteusement lapele	49
52	si ne set	et li prie quil la sekeure|Sire set	50|51
53	que fere	que faire	52
54	kar volentiers li aidast s’il peust;	car uolentiers li alait aidier se il poist	53
55	mais il voit l’eve noire	Mais il uoit leue	54
56	et parfonde	si parfonde	55
57	et si perilluse qu’il cuide bien noier	et si perilleuse|que il cuide bien perir se il se met dedans	56|57
58	s’il se met dedens;		
59	et d'autre part il voit cele	et dautre part il uoit cele	58
60	qui si durement crie merci;	qui si docemet li prie nc|ci	59|60
61	si l'em prent tels pitiés qu’il en laisse totes poors	Si len prent tes pitiez quil en laisse totes paours	61
62	et fet le signe de la crois en mi son vis	Si fait le signe de la crois enmi son uis	62
63	puis enbrace l’escu	puis enbrace lescu	63
64	et broche le cheval des esperons	et broche le cheual des esperons	64
65	et se fiert en l’eve	et se fiert en leue tot errantment	65
66	Et li chevals fu fors	Et li cheuaus fu fors	66
67	si commence a noer	si comance a noer	67
68	si tost com il ot terre perdue	si tost com il ot terre perdue	68
69|70	si l’enporte d’autre part de la rive a quelque paine|mais ançois ot beu de l’eve li uns	si lenporte dautͤ part la riue a quelque painne	69
71	et li autre		
72	et se li chevals ne fust		
73	si buens		
74	noié fuissent ambedui		
75	kar li chevaliers estoit pesans por les armes qu’il avoit vestues		
76	Quant il fu de l’autre part de l’eve		
77|78	si ne descendi pas|ains cort vers cels	Si ne descendi pas ains cort uers ciax	70
79	qui la damoisele tenoient	qui la damoisele renoient	71
80|81	et fiert|si le premier qu’il aconsieut qu’il li met le glaive par mi le cors	que il consieut quil li met le glaiue parmi le cors	72
82	si l’abat a terre	si labat mort aterre	73
83|84	et li autre s’enfuient erraument|por ce que desarmé estoient	et li autre sen fuient porre qu il estoient desarme	74
85	Et la damoisele	et la damaisele	75
86|87	qui delivree se voit se met a genols devant Boort|et dist Ha	qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele beneois soiez uos de dieu	76
88	gentils chevaliers		
89	de Dieu soiés vos beneois		
90	quant vos m’avés de mort rescosse	quant uos mauez de mort rescoce	77
91	et aorés en soit Diex	et aoures soit diex	78
92	quant il ceste part vos amena	quant ils amena ceste part	79
93	kar cist gloton m’euissent ja morte	Car cil gloton meussent ia morte ce uos ne fussiez	80
94|95	— Damoisele|fet il	Damoisele fait il porcoi	81
96	por quoi		
97|98	— Sire fet ele|jel vos dirai bien	Sire fait ele ie le uos dirai bien	82
99|100	mais que vos m’aiés mise a sauveté|— Coment	mais que uos maiez misse a Sauuete	83
101|102	fet il|Avés vos	Coument fait il auez uos	84
103	dont garde	dont garde	85
104	— Certes		
105|106	fet ele|ja asseur ne seraî fant com je sache laiens le seignor del chastel	Certes sire faic ele ia a seur ne sera tant com ie saiche laiens le signeur de cest chastel	86
107	kar c’est li plus fel chevaliers del monde	Car cest li plus fel cheualiers dou monde	87
108	et li plus traîtres	et li plus traites	88
109|110	A ces paroles voient issir I|chevalier del chastel	a ces paroles uoit issir un cheualier del chastel	89
111	et la ou il vit Boort	et la ou il uoit behort	90
112	si li escrie Laissiés	si li est terre	91
113|114	dans chevaliers|la damoisele	Laissiez dans cheualiers la damoisele	92
115	que vos n’enmenrois mie! Par mon chief	que uos nen meneroie|et par mon chief mar la rescousites	93|94
116|117	mar le rescosistes|Si li cort quanqu’il puet le glaive alongié;	Si li acort quanquil puet le glaiue alongnre	95
118	et Boors retrait son glaîve a lui del cors a celui qu’il avoit ocis;	et behors retrait son glaiue del cors au ribaut|que il auoit ocis	96|97
119	si laisse le cheval corre	Si li laisse le cheual	98
120	et le fiert	et le fiert	99
121	si tres durement qu’il l’abat a terre	si durement quil labat a terre	100
122	si estordi qu’il n’a pooir de relever	si estordi|que cil na pooir de releuer	101|102
123	ains gist pasmés	Ains fu pasmes	103
124	kar il chai	Car il fu cheus	104
125|126	si felenessement qu’a poi|que la canole del col n'avoit brisee	si uilainnement qua pou quil not la chenole dou col bͥsie	105
127	Et Boors li vet a cheval par desus le cors	et behors li ua a cheual par desus le cors	106
128	tant que tot le debrise	tant que tout le debrisse	107
129	Et lors est la damoisele	et lors est la damoisele	108
130	si liee qu’ele ne puet plus	si lie|que ele ne puet plus	109|110
131	et dist a Boort Sire	et dit a beh̾|Sire fait ele nous nauons	111|112
132	nos n’avons mes garde	mais garde ce cuige	113
133	kar je ne cuit qu’il eust plus de chevaliers çaiens	Car ie ne cuit quil ait|mais cheualier laiens plus	114|115
134	que cestui;	que cestui	116
135	si vos dirai ore seurement ce	Si uus dirai ore seurement ce	117
136	que vos me demandastes n’a encor gaires	que uos me demandates na gaires	118
137	— Dites	Dites	119
138|139	fet il|— Sire	dont damoisele fait il	120
140|141	fet ele|entre moi	SIre fait ele par foi entre moi	121
142	et I	et|i	122|123
143	chevalier	cheualier	124
144	qui mes amis estoit chevalchions hui matin par mi cest chastel	qui mes amis estoit|cheuauchiens hui matin parmi cest chastelet illuec	125|126
145	et quant li freres a celui	et quant li freres a celui	127
146	que vos avés abatu me vit	que uos aues ore abatu: me uit	128
147	si me volt a force prendre	Si me uot a force prandre	129
148	kar il m’avoit molt longuement amee;	Car il mauoit mout longuement amee	130
149	si me prist al frain	Si me prist	131
150	et m’en volt mener a force	et me uost mener a force	132
		si tost comme il me tint au fraing	133
151	mes mes amis se combati a lui tant qu’il l’ocist	Mais mes amis se combati a lui|tant que il locit	134|135
152	Et quant cist	et quant ciz	136
153	que vos veez ci ore vit son frere mort	que uos ueez ore ci uit son frere mort :	137
154	si fist mon ami prendre a force de vilains	si fist mon ami prandre a force de uilains	138
155	et de gens	et de gent	139
156	et l’ocist en venjance de son frere	Et locit en la uangence de son frere	140
157	Mais de moi		
158|159	por cui Ses freres avoit esté ocis|dist il qu’il se vengeroit sans main metre;	mais de moi p̾ cui ses freres auoit este ocis dist il quil sen uangeroit sans main mestre	141
160	si me fist prendre a ces ribaus	Si me fist prandre a ses|iiii	142|143
		uilains	144
161	que vos veistes	que uos ueistes	145
162|163	et lor commanda qu’il me noiaissent|kar par armes	si lor coumanda quil me noiassent	146
164|165	dist il|ne vueil je mie qu’ele muire ;	Car par hommes ne uoeil ge gaie fait il quele morit	147
166|167	si m'enmenoient|si com vos veistes	Si [cum] amenerent ainsi com uos ueistes [raqrir]	148
168|169	morir|quant vos me venistes secorre par la volenté de Dieu	quant uos me [uenistes] secorre par la uolente de dieu	149
170	et par la vostre	et la uostre	150
		Sire fait la damoisele a beħ	151
171	Or vos ai conté mon errement ;	Or uous ai conte mon errement	152
172|173	si voldroie des Ore mes|se vostre plaisirs estoit	Si uorroie desormais se uostres [puisses] estoit :	153
174	que vos me menissois a salveté en un mien chastel	que uos me menissiez a sauuete en|i	154|155
		mien chastel	156
175	qui est ci pres	qui est ci pres	157
176|177	— Volentiers|fet il	uolentiers damoisele Sire a	158
178	Si le prent par les bras	si la prent par le bras	159
179	et le monte par devant lui sor le col de son cheval	et la mest deuant lui sur le col de son cheual	160
180	si a geté son escu derieres son dos	Si ageste erranmet son escu derier son dos	161
181	si s’en vet cele part ou la damoisele li enseigne	Si sen ua cele part ou la damoisele li ensangne|Si cheuaucherent ainsi	162|163
182	tant que ce vint aprés midi qu’il voient en un tertre I	tant que ce uint apres midi|et lors uirent deuant aux en lor chemin	164|165
		i	166
		tertre	167
		Ou il auoit	168
183	bel a chastel	i|tres bel chastel	169|170
184	et lors ataignent Il	et lors ataignent|ii	171|172
185	escuiers	escuiers	173
186	qui issoient d’un bossel	qui issoient dun boschet	174
187	et aportoit chescuns venoisons trosee detriers soi	et aportoit chascuns uenison trossee douant soi	175
188	Quant il virent la damoisele	et quant il uirent la damoisele	176
		qui beh̾ auoit deuant luy	177
189	si descendent a pié	si sont dessendu a pie	178
190	et li font grant joie com a celi	et li font la plus grant ioie dou monde a cele	179
191	qui lor dame estoit	qui leur lige dame estoit	180
192	mais molt se merveillent de ce qu’il la virent plorer:	Mais mout se merueillent|quant il la uirent	181|182
193	si li enquierent	si plorer|et plus de son ami	183|184
		que il ne uerent pas mandent	185
194	que ele a	que ele a	186
195	Et ele lor dit	et ele lor dit	187
		et conte coment ueuir auecques li	188
		Si li en quierent	189
196	comment ses amis avoit esté ocis	et de ses amis auoit este ocis|au chastel ou il trespasoient	190|191
197|198	et je meismes euisse esté morte|se ne fust cis frans chevaliers	Sire meismes fait ele eusse este morte : Ce ne fust ciz frans cheualiers ci	192
199	qui par sa debonaireté me resqueust	qui par sa debonairete|et par sa franchisse marescosse des mains a mes anemis	193|194
200	et se mist em peril de mort por ma vie sauver	et se mist en peril de mort por moi sauuer	195
		et se ne lauoie ie pas deserui	196
		et diex doint	197
201	Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison	que ie li puisse guerredoner|Lors conseille maintenant la damoisele a	198|199
202	si la baille a son compaignon por porter	i|des escuiers	200|201
		et il destrore maintenant sa uenisson	202
203	si s’en vet vers le chastel quanqu’il puet traire del roncin	et la baille a lautre por portee|Si sen ua uers le chastel quanque il puet de roncin traire	203|204
204	Et Boors demande a la damoisele	et behors demande a la damoisele	205
205	comment li chastials a non ou ses amis a esté ocis	comment li chastiax auoit non ou ses amis	206
206	Sire	auoit este ocis	207
207|208	fet ele|il a non Galedon	Sire fait ele il a non Galedon	208
209	et l’eve par ou vos passastes a non Galede	et leue par ou uos pasates a non banllete	209
210	Ensi parolent tant qu’il sont venu jusqu’al chastel	Ainsi parole|tant que il sont uenu ducau chastel	210|211
211	si le voit Boors bien seant	Sire uoit beh̾ mout bel	212
212	et fort	et mout bien sains	213
213	Et quant il montent ! le tertre	et quant il ont monte le tertre	214
214	si voient de laiens issir dames	si uoient issir de laiens dames	215
215	et damoiseles a grant plenté	et damoiseles grant plante	216
216	dont les unes karolent	dont les unes dancent	217
217	et les autres dancent	et les autre [|]	218|219
218	et les autres joent de divers geus;	et [lulent]|et les autre iouent de diuers gex	220|221
219	si estoient acesmees	si estoient totes acemees	222
220	et vestues richement	et mout richement uestues	223
221	et avec venoient chevaliers jusqu’a X	et auec elles uenoient cheualier iusqua|xx	224|225
222	qui molt faisoient grant joie;	qui mout fassoient grant ioe	226
223	et quant il voient Boort	et quant il uoient bohort	227
224|225	si crient tuit encontre lui Bien viengniés|sire	si crient tuit encontre lui bien uiengne li sires	228
226	qui nostre dame avez delivres de mort	qui nostre dame a deliuree de mort	229
227	et rescosse des mains a ses enemis	et rescousse des mains a ses anemis	230
