0	avoir trové	auoir trouue	0
1|2	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres|tant qu’il conoist bien	si luy compte toute son auanture tant quil cengnoit bien	1
3	que c’est il qu’ele quiert a	que cest celle|qui le quiert	2|3
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre	Mais pour le couroust quil a du sencchal	4
5|6	ains li respont Certes|damoisele	et de sa mort ne se uoult faire congnoistre mes leur respont certes damoiselle ie ne cengnois mie le cheualier	5
7|8	chevalier|qui porte escu blanc ne conois je nul	qui porte les blances armes	6
9|10	— En non Dieu|sire	En nen dieu fait elle il me poyse monlt chierement	7
11	fet ele	A	8
12	ce poise moi chierement	donc sen part	9
13	Et il n’en tient plus a li parole	et ne uoult plus parler il la commandee a dieu	10
14	ains part	et sen ua	11
15|16	si tost com il l’ot commandee a Dieu a|et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest;	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest	12
17|18	et il torne a destre vers un chemin viés|et ancien;	et il tourna a destre uers ung petit chemyn uieil:	13
19	si ne demora gueres qu’il vint a une eve P lee	si ne demoura gueres quil uint en une uallee ou il couroit une eau monlt roidde la quelle estoit grande	14
20	et parfonde	et parfonde	15
21	mais il n’i trueve pont ne gué ne passage nul	et ne treuue ne pont ne planche par ou il puisse passer	16
22	Et il regarde d’autre part de l’eve	Sy regarde de laultre part de leaue	17
23|24	si voit I|petit chastel molt bien seant	et uoit ung beau chastel monlt bien seant	18
25	clos de mur bateillié tot entor a la roonde	et bien cloz de muraille tout entour	19
26	ll regarde grant piece le chastel	Il regarde le chastel grant pieche	20
27	dont la façons li plest molt a regarder	car monlt luy plaisoit a uoir	21
28	puis s’en torne contreval la riviere por savoir s’il i peust trover ne pont ne gué	puis sen tourne contre ual la riuiere|pour scauoir sil pouroit trouuer ne pont ne gue par le	22|23
29	mais il n’en trueve point	quel il puisse passer mes il nen truue point	24
30	et quant il voit qu’il n’i passera	Et il uoit ce	25
31	si ne set	si ne scait	26
32	que fere	que faire	27
33	que retorner ne voldroit il mie	car retourner ne uoulloit pas	28
34|35	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise sy la menoient quatre ribaulx monlt felonneusement	29
36|37	si le menoient troi vilain molt vilainement a|et tenoit chescuns une hache en sa main;	et tenoient chascun en sa main ung coustel trenchant	30
38	et ele crioit quanque ele pooit crier por els	Et la damoiselle crioit tant comme elle pouoit	31
39	qui li faisoient tel honte	pour la laidure|et honte	32|33
40	et tel laidure qu’il la venoient batant tot contreval la riviere	que telx ribaulx luy faisoient|et la menoient batant contre ual la riuiere	34|35
41	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve	Et quant la damoyselle uoit le cheualier de lautre coste de la ry uiere commenca a crier	36
42	si commence a crier Ha	et dire en tell maniere Haa beau	37
43|44	gentilz chevaliers|secorés ceste damoisele	et gentil cheualier secoures ceste damoiselle	38
45	que cist ribaut vuelent ocirre	que ces ribaulx ueullent occire haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars	39
46|47	Ha|frans hom	et se uous pitie de moy	40
48|49	ne m’i laissiés morir|se vos onques eustes pitié de nule gentil damoisele	car se uous ne me secoures ie suys a la mort liurer	41
50	Quant Boors ot ce qu’ele li prie	Et quant boort ouyt quelle le prioit	42
51	si pitousement qu'il la secore	si piteusement	43
52	si ne set	si ne scait	44
53	que fere	que faire	45
54|55	kar volentiers li aidast s’il peust;|mais il voit l’eve noire	car uoulentiers luy allast aider se il peult estre mes il uoit la riuiere parfonde	46
56	et parfonde	et dangereuse a passer	47
57|58	et si perilluse qu’il cuide bien noier|s’il se met dedens;	et scait bien sil entre dedens qu il se met en peril de mort	48
59	et d'autre part il voit cele	Et daultre part il uoit celle	49
60	qui si durement crie merci;	qui si piteusement fui crie mercy	50
61	si l'em prent tels pitiés qu’il en laisse totes poors	Si luy en prent telle pitie quil en laisse toute paour	51
62|63	et fet le signe de la crois en mi son vis|puis enbrace l’escu	et fait le signe de la croix deuant son uisaige puys embrache son escu	52
64	et broche le cheval des esperons	et fiert son cheual des esperens	53
65|66	et se fiert en l’eve|Et li chevals fu fors	et se lanche dedens leaue tout erraument:	54
67	si commence a noer	et le cheual commence a noer	55
68	si tost com il ot terre perdue	si tost quil eust terre perdue	56
69	si l’enporte d’autre part de la rive a quelque paine	et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine	57
70	mais ançois ot beu de l’eve li uns	car ains quilz feussent passes beurent de leaue lun	58
71	et li autre	et laultre	59
72	et se li chevals ne fust	et se le cheual neust este fort	60
73	si buens	et bon ilz feussent noyes	61
74	noié fuissent ambedui	et lun|et laultre	62|63
75	kar li chevaliers estoit pesans por les armes qu’il avoit vestues	car le cheualier estoit fort pesant|pour les armes quil auoit uestues	64|65
76	Quant il fu de l’autre part de l’eve	Quant il fut de lautre part de leaue	66
77|78	si ne descendi pas|ains cort vers cels	si ne descendist oncques ains courust uers ceulx	67
79	qui la damoisele tenoient	qui la damoiselle tenoient:	68
80|81	et fiert|si le premier qu’il aconsieut qu’il li met le glaive par mi le cors	et fiert tellement le premier quil encontre qu il lui met le glauie parmy le corps	69
82	si l’abat a terre	si labat a terre	70
83|84	et li autre s’enfuient erraument|por ce que desarmé estoient	et les autres se met tent en fuite	71
85	Et la damoisele	La damoiselle	72
86	qui delivree se voit se met a genols devant Boort	qui deliuree se sent se met a genoulx deuant lui	73
87	et dist Ha	et lui dit	74
88|89	gentils chevaliers|de Dieu soiés vos beneois	Haa gentil cheualier de dieu soiez uous benoit:	75
90	quant vos m’avés de mort rescosse		
91	et aorés en soit Diex		
92|93	quant il ceste part vos amena|kar cist gloton m’euissent ja morte	car ces gloutens me eussent occiz se ne feussez uous	76
