0	avoir trové	avere trovato	0
1	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres	Si gli conta tutta sua aventura|si come el libro l’à trattato qua adietro	1|2
2	tant qu’il conoist bien	tanto che conosce bene	3
3|4	que c’est il qu’ele quiert a|Mais por le coros de la mort al seneschal ne se volt fere conoistre	che ciò est elli quelli cui ella chiede ma per lo cruccio ch’egli à della morte del siniscalco non	4
5	ains li respont Certes	si vuole fare cognoscere anzi le risponde	5
6|7	damoisele|chevalier	'Certo damigella il cavaliere	6
8	qui porte escu blanc ne conois je nul	che porta lo scudo bianco non ne so io nulla	7
9|10	— En non Dieu|sire	—A nome di Dio dis’ella ciò pesa a mes	8
11	fet ele		
12	ce poise moi chierement		
13	Et il n’en tient plus a li parole	E non tenne più a llei parole anzi	9
14	ains part	si parti	10
15	si tost com il l’ot commandee a Dieu a	si tosto come l’à comandata a dDio	11
16	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest;	e cavalca tanto in tale maniera infino qua a terza|tanto che viene a l’uscita della foresta	12|13
17	et il torne a destre vers un chemin viés	Ed|e torna a destra inverso uno camino vecchio	14|15
18	et ancien;	e antico	16
19	si ne demora gueres qu’il vint a une eve P lee	si non dimora guari|che viene a una acqua lata	17|18
20|21	et parfonde|mais il n’i trueve pont ne gué ne passage nul	e perfonda ma e' non vi truova né ponte né guado né passaggio nullo	19
22|23	Et il regarde d’autre part de l’eve|si voit I	Ed elli isguarda d’altra parte dell’acqua	20
24|25	petit chastel molt bien seant|clos de mur bateillié tot entor a la roonde	si vide uno piccolo castello molto ben sedente chiuso d’uno muro battagliato tutto intorno alla ritonda	21
26	ll regarde grant piece le chastel	eElli riguarda gran peza il castello	22
27|28	dont la façons li plest molt a regarder|puis s’en torne contreval la riviere por savoir s’il i peust trover ne pont ne gué	donde la fazion gli piace molto al riguardare poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare né ponte né guado ma	23
29	mais il n’en trueve point	e non ve ne truova punto	24
30	et quant il voit qu’il n’i passera	e quand’e vede|che non potrà passare	25|26
31	si ne set	si non sa	27
32|33	que fere|que retorner ne voldroit il mie	che fare ché ritornare non vorebbe elli mica	28
34|35	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	Atanto vide uscire una damigella del castello ch’era tutta ignuda in sua camicia solamente si lla menavano iiii	29
36	si le menoient troi vilain molt vilainement a	rubaldi molto villanamente	30
37	et tenoit chescuns une hache en sa main;	e tenieno ciascuno una acciaia in sua mano	31
38|39	et ele crioit quanque ele pooit crier por els|qui li faisoient tel honte	Ed ella grida quanto ch’ella può gridare per coloro che lle facieno cotale onta	32
40	et tel laidure qu’il la venoient batant tot contreval la riviere	e tal ladiura ch’elli la menavano battendo tutto contravalle la riviera	33
41	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve	E quando la damigella vide lo cavaliere dall’altra parte dell’acqua	34
42	si commence a crier Ha	si gli comincia a gridare	35
43|44	gentilz chevaliers|secorés ceste damoisele	Hal gentile huomo soccorete questa damigella	36
45|46	que cist ribaut vuelent ocirre|Ha	che questi rubaldi vogliono uccidere	37
47	frans hom		
48|49	ne m’i laissiés morir|se vos onques eustes pitié de nule gentil damoisele	Hal franco cavaliere non mi lasciate uccidere se voi unque aveste piatà di nulla gentile damigella	38
50	Quant Boors ot ce qu’ele li prie	“Quando Boordo ode colei|che l priega	39|40
51	si pitousement qu'il la secore	si piatosamente che lla soccorra	41
52	si ne set	si non sa	42
53|54	que fere|kar volentiers li aidast s’il peust;	che fare ché volentieri l’andasse ad atare se potesse ma	43
55	mais il voit l’eve noire	e vede l’acqua nera|e profonda	44|45
56	et parfonde	e perigliosa	46
57	et si perilluse qu’il cuide bien noier	che crede bene morire s’elli	47
58	s’il se met dedens;	si mette di dentro	48
59	et d'autre part il voit cele	e d’altra parte|e vede colei	49|50
60	qui si durement crie merci;	che si duramente gli grida mercé	51
61	si l'em prent tels pitiés qu’il en laisse totes poors	si ne gli prende tale piatà|che ne lascia tutte paure	52|53
62|63	et fet le signe de la crois en mi son vis|puis enbrace l’escu	e si fa el segno della santa croce nel miluogo del suo viso poscia imbraccia lo scudo	54
64	et broche le cheval des esperons	e broca il cavallo degli sproni	55
65	et se fiert en l’eve	si fiede nell’acqua isnellamente	56
66|67	Et li chevals fu fors|si commence a noer	El cavallo fu forte incominciò a notare	57
68	si tost com il ot terre perdue	si tosto com'elli ebbe terra perduta	58
69|70	si l’enporte d’autre part de la rive a quelque paine|mais ançois ot beu de l’eve li uns	si ne l portò d’altra parte della riva a qualche pena 'ma inanzi furono amenduni tutti molli	59
71	et li autre		
72|73	et se li chevals ne fust|si buens	e se l cavallo non fosse stato	60
74|75	noié fuissent ambedui|kar li chevaliers estoit pesans por les armes qu’il avoit vestues	si forte anegati fossono amenduni ché l cavaliere era pesante per l’arme ch’elli avea vestite	61
76	Quant il fu de l’autre part de l’eve	Quand’e fu da l’altra parte dell’acqua	62
77|78	si ne descendi pas|ains cort vers cels	si non discende passo anzi muove il cavallo inverso di coloro	63
79	qui la damoisele tenoient	che lla T tenieno	64
80	et fiert	e fiede	65
81	si le premier qu’il aconsieut qu’il li met le glaive par mi le cors	si il primaio ch’elli agiugne	66
82	si l’abat a terre	che gli mette la lancia per me' il corpo si llo abatte a terra	67
83	et li autre s’enfuient erraument	e gli altri se ne fugono tosto per ciò	68
84	por ce que desarmé estoient	che disarmati erano	69
85	Et la damoisele	E la damigella	70
86	qui delivree se voit se met a genols devant Boort	che si vide dilivera|si mette a ginocchia davanti Boordo	71|72
87	et dist Ha		
88	gentils chevaliers		
89|90	de Dieu soiés vos beneois|quant vos m’avés de mort rescosse	Hal gentile cavaliere diss’ella da Dio siate vo' benedetto quando vo m’avete di morte riscossa	73
91	et aorés en soit Diex		
92|93	quant il ceste part vos amena|kar cist gloton m’euissent ja morte	e adorato ne sia lddio quand’elli in queste parti vo menò ché questi guiglioni m’avessono già morta se vo' non foste	74
94|95	— Damoisele|fet il	— Damigella disse Boordo perché	75
96	por quoi		
97|98	— Sire fet ele|jel vos dirai bien	Il vo dirò diss’ella bene ma'	76
99	mais que vos m’aiés mise a sauveté		
100	— Coment		
101	fet il		
102|103	Avés vos|dont garde	che vo' m’abiate messa a salvamento	77
104|105	— Certes|fet ele	— Come disse elli avete vo' dunque guardia	78
106|107	ja asseur ne seraî fant com je sache laiens le seignor del chastel|kar c’est li plus fel chevaliers del monde	Certo sire diss'ella già sicura non sarò tanto com’io sappia là entro il signore del castello ché ciò è il più fiero cavaliere del mondo	79
108	et li plus traîtres	e I più traditore	80
109|110	A ces paroles voient issir I|chevalier del chastel	A queste parole vidono uscire un cavaliere del castello	81
111|112	et la ou il vit Boort|si li escrie Laissiés	e là ov’egli vide Boordo si llo isgrida	82
113	dans chevaliers	Danzi cavaliere lasciate la damigella ché vonon la menere mica	83
114	la damoisele	e per mio capo male la riscoteste|Si gli corre suso quanto ch’elli puote la lancia islungata	84|85
115	que vos n’enmenrois mie! Par mon chief	e Boordo il fiede	86
116	mar le rescosistes	si duramente in suo venire|che llo scudo né llo asbergo no llo guerentisce	87|88
117	Si li cort quanqu’il puet le glaive alongié;	che non gli metta per me' il corpo|e ferro	89|90
118	et Boors retrait son glaîve a lui del cors a celui qu’il avoit ocis;	e fusto|e que' cade a terra tutto isteso	91|92
119	si laisse le cheval corre	che più nonn à mestier di medico|E quando que del castello vidono insi lor cavaliere abatuto	93|94
120	et le fiert	si ve ne rimandarono immantanente uno altro per quello vendicare|che disse a Boordo	95|96
121	si tres durement qu’il l’abat a terre	che ssi guardi da llui ch’elli il disfida ed e' dice|che disfida lui	97|98
122	si estordi qu’il n’a pooir de relever	PAllora trae la lancia del corpo a colui ch’elli avea morto|si lascia il cavallo andare	99|100
123	ains gist pasmés	e l fiede|si duramente ch’elli Il’labatte a terra	101|102
124	kar il chai	si stordito|che non à podere di sé rilevare anzi giace ispasimato ché fu caduto	103|104
125	si felenessement qu’a poi	si fellonosamente|che a poco	105|106
126	que la canole del col n'avoit brisee	che non|si ruppe il collo	107|108
127	Et Boors li vet a cheval par desus le cors	e Boordo gli va cavalcando per di suso il corpo	109
128	tant que tot le debrise	tanto che di tutto il dibriscia	110
129	Et lors est la damoisele	Allora est la damigella	111
130	si liee qu’ele ne puet plus	si lieta ch’ella non può più	112
131	et dist a Boort Sire	e disse a Boordo	113
132|133	nos n’avons mes garde|kar je ne cuit qu’il eust plus de chevaliers çaiens	Sire non no abiamo oggimai guardia ch’io non credo mica ch’egli abbia là entro più cavalieri	114
134	que cestui;	che questi	115
135	si vos dirai ore seurement ce	si vi dirò ora sicuramente ciò	116
136	que vos me demandastes n’a encor gaires	che voi mi domandaste	117
137|138	— Dites|fet il	— Dite diss’elli	118
139	— Sire		
140|141	fet ele|entre moi	— laPer fé diss’ella intra me	119
142|143	et I|chevalier	e uno cavaliere	120
144	qui mes amis estoit chevalchions hui matin par mi cest chastel	che mio amico era cavalcamo oggi mattinetto per me questo ricetto	121
145	et quant li freres a celui	e quando il fratello di colui	122
146	que vos avés abatu me vit	che voi avete ora abatuto mi vide	123
147|148	si me volt a force prendre|kar il m’avoit molt longuement amee;	si mi volle a forza prendere ché m’avea lungamente amato	124
149	si me prist al frain	simmi prese al freno	125
150	et m’en volt mener a force	e mi volle menare a forza ma mio amico	126
151	mes mes amis se combati a lui tant qu’il l’ocist	si combatté tanto a llui che ll’ucise	127
152	Et quant cist	ME quando questo	128
