micha-ii-61-2	lancellotto-ii-61-2
Ele issi de la chambre 	monsignor Galvano, 
et porta entre ses.II. mains le plus riche vaissel 	e riguarda el vasello: 
qui onques par home terrien fust veus,  et fu fes en samblance de calice, 	si gli piace molto, 
et le tint plus haut de son chief	ma e' non può sapere di  che egli è, 
si que totes voies l’enclinoit a. Mesire Gauvain esgarde le vaissel, si le prise plus que rien 	ché di fusto non era egli mica, né d’oro, né d’osso di vivorio, 
qu’il eust veue, 	e di ciò si maraviglia egli molto,  si n’è molto isbigotito. 
mais il ne puet savoir de quoi il est,  kar de fust n’est il pas	“Ma di cosa che veggia non si maraviglia egli niente inverso della trasgran biltà della damigella 
ne de nule maniere de metal,  ne de pierre ne rest il mie ne de cor ne d’os, 	che tanto gli sembia esser bella 
et de ceu est il tos esbahis. Aprés regarde la pucele », 	ch’a pena l’osa riguardare,  ché più gli è aviso 
si se merveille plus assés de sa bialté 	che sua faccia risprenda  che sole, 
que del vaissel, 	e suoi occhi rilucenti e sua capellatura  che gli sembia ad essere di fine oro; 
lear onques mes ne vit il feme	ve di persona si,  come dice in suo cuore, non ne vide mai niuna 
qui de bialté s’apareillast a ceste : 	che a-llei s’aparecchiasse;  e si-lla vede 
si muse a li si durement 	ch’ell’è maggiore d’altra damigella.  Si avisa monsignor Galvano si fermamente in lei riguardare 
qu’a autre rien ne pense. 	che ad altro non intende. 
Et ensi  com la damoisele passe par devant le dois.	Esi com’ella passava per davanti el desco
