		Eõment lancel ot sceust par une damoy	0
		selle	1
		que la ropne estoit mallade sy mãda au roy	2
		⁊ a la royne de ses nouuelles C	3
0	Or dit li contes	xuiii|Tdistle cõpte	4|5
1	que tant demora Lanceloz la ou la vielle l ot mené qu il ot passé	que tant demoura g lancelot la oula uieilse lauoĩt me ne	6
2|3	VI|semainnes	quif olt passe six sepmaines	7
4	et lors se santi sains	Et lors se sentist sain ethaictie	8
5|6	et haitiés|et desirranz de porter armes	et desirant de porter armes	9
		Ei nestoit il pas ẽcort trop biẽ gari	10
7|8	Toz ne fust il mie encor bien gariz se li anuioit li repos|por ce qu il avoit trop longuement geu ce li ert avis	mes le repos lup ẽnupoĩt pour ce q̃ trop auoit geu ce luy estoit aduis	11
9	Et il se part de laienz	Il se partist de leans	12
10|11	et les conmande toz a Deu|et la vielle li ot aprestees unes armes bonnes	et la uieille lup auoit apprestes unes armes	13
12	et beles	qui estoienthõnes	14
13|14	et un escu tout nuef;|si se mist en son chemin	et belles:	15
15	et acueilli sa voie aprés la vielle	⁊ escu tout neuf	16
16|17	Quant il ot chevauchié dusqu a midi|si ataint I	E til se mist en sonchemin ap̃s la uielle Q uãt il eu st cheuauche iusq̃s a nudy	17
18	damoi] cjsele a l entree d une forest		
19	qui chevauchoit I		
20|21	petit palefroi noir|et pensoit moult durement	si at¬ taint une damoyselle a lẽtree de une forest qͥ cheuauchoit ung petit palleffroy noir la q̃l¬ le pensoit mõlt duremẽt	18
22|23	et bien paroit a ses iauz qu ele avoit rouges|et anflez qu ele eust ploré	et sẽbloit dien a ses peux quelle auoit ploure	19
24	Il la salue	I sa saltue	20
25	quant il l aproche		
26	et ele lui ausi	etelse luy	21
27	Damoisele fait il vos me samblez moult couroucie	Damoiselle fist il uous me sembles cou rouchee	22
28	et je savroie volentiers l achoison de vostre courouz	it scairoir uoulentiers lachoison de uostre couroust:	23
29|30	Et bien sachiez|que j'i metroie volentiers tout le bon conseil	et sachies q̃ ie y meitroie tout le meilleur conseil	24
31	que je porroie — Certes fait ele il n a home el monde fors Deu	que ie pourroie|Ceries fist elle il nesthõmefors dieu	25|26
32	qui consoil i poïst metre	qui conseil p peust mettre	27
33	car de ce	car de cc	28
34|35	dont je cuit estre couroucie sont C|mile autre couroucie ne ce n est	donc ie suis courouchiee sont cent mille aultres courouchies	29
36|37	? mie chose ou je perde seulement|mais tuit li povre gentil home del monde	ne ce nest mie chose ou ie perde seullemẽt mes tous les preu dõmes du mode tant de la grade bretaingne	30
38	et tuit li riche de la Grant Bretaingne		
39	et d autres terres	que de autres terrrs	31
40|41	— Enon Dieu damoisele faît Lanceloz|dont n est a il mie merveille se vos en estes couroucie	Par dieu dit lancelot du lac damoiselle dõc nest ce pas de merueille se uous estes courroucee	32
42	et je vos pri	⁊ ie uous prie	33
43	que vos me diez	que uous me diez	34
44	que ce est	que cest:	35
45|46	car puis|que toutes genz le sevent vos le poez bien dire ce m est' avis	puis que toutes gens lescai¬ uent uous le me pouez bien dire	36
47|48	sanz meffait|— Sire fait ele jel vos dirai	Gire fist el¬ le ie le uous dirap	37
49	puis que vos avez tel talant del savoir	puis que uous aue tel tal lent de le sauoir	38
50|51	et si me merellie mouit|que vos nei savez	⁊ si me merueille q̃ uous ne le sauez	39
52	car toz li mondes le set ja a	Orap est dit la damoiselle|que mon courroust est de	40|41
53	Voirs est fait ele	ii|choses	42|43
		De une miẽne seur	44
54|55	que mes couroz est de Jl|¡or a force	que ung cheualier print lautre iour a force	45
56|57	et d un prodome|qui bien men venjast s il fust vis dusqu a ore	⁊ de ung preudõme quibien men uengast sil feust uif	46
58	Mais il est morz	mais il est mort	47
59	et si vos dirai ot prise ma seror a force ne randre ne la me voloit	⁊ uous diray commẽt ie le scap Il est uray q̃	48
60|61	por proiere ne|por donner	quant le cheualier eut prĩ se ma seur a force il ne la uoulloit rendre pour priere ne pour don	49
62|63	que ge m esmui a aler a la cort le roi Artus|por faire ma clamor de ce	si men allay a la court du roy artus pour faire ma clameur	50
64	que li chevaliers m avoit fait sanz raison		
65|66	Et quant je i fui venue n a mie encor IIl|jorz	Et quãt ie ie p fuz uenue na pas encores hrit iours ie ny trouuap q̃cq̃s personne	51
67	si ne trouvai		
68	qui me respondist de riens	qui de riens me respõ dist	52
69|70	car tuit antandoient a plourer|et a duel faire	car ilz entendoient tous a faire deul	53
71|72	Et quant je vi ce|si fui toute esbahie	Et quãt ie uiz ce ie fuz toute esbahie	54
73	si priai a J		
74	escuier		
75|76	que il me deist|por quoi il faisoient tel duel	si priay aung escuier quil me dist pour quoy ilz faisoiẽt tel deul	55
77	et il me dist		
78|79	que c estoit|por Lancelot de Lac	Et il me dit q̃ cestoit pour lãcelot du lac	56
80	qui morz estoit	qui estoit mort	57
81	Et quant je vi	et aussi me dit q̃ ma dame la copne estoit fort mallade de courroust	58
82|83	que je n i porroie riens faire de ma besoingne|si me parti ier matin dolante	Quãt ieuiz q̃ ie ne pouoie faire mahesong ne	59
84|85	et couroucie de la mort au bon chevalier|dont touz li mons avra soufraite	si men partiz dollente pour la mort du bon cheualiez dõt tout le mõ de aura mestier: cat iamais ne sera cheualier	60
86|87	car jamais ne sera hom|qui ait tel pitié de povre damoisele com il avoit	qui ait telle pitie de poures da¬ moiselles commẽt il auoit	61
88	Si sui trop irie	⁊ mopmeismes en auray souffrecte	62
89	que je n avrai jamais	car ie ne trouueray	63
90|91	qui me face droit de tort|que l an m a fait	qui droit me sace du tort q̃ fen me fait	64
92	si ne finai	si ne finay	65
93|94	puis de plorer|por la grant pitié	puis de plourer pour la grant pitie du preudõme	66
95	que j ai del prodome		
96	et por la perte		
97	que je i ai b;		
98	car se il fust vis		
