0	Or dit li contes	Or dice il conto	0
1	que tant demora Lanceloz la ou la vielle l ot mené qu il ot passé	che tanto dimora Lancelotto là ove la vecchia l ebbe menato	1
2|3	VI|semainnes	ch egli ebbe passate sei settimane	2
4	et lors se santi sains	Allor|si senti sano	3|4
5	et haitiés	e atato	5
6	et desirranz de porter armes	e disiderante di portare arme	6
7	Toz ne fust il mie encor bien gariz se li anuioit li repos	tutto non foss elli mica ben guarito ancora|si gli nvidiava il riposo	7|8
8	por ce qu il avoit trop longuement geu ce li ert avis	per ciò|ch elli aveva troppo lungamente giaciuto	9|10
		ciò li era aviso	11
9	Et il se part de laienz	Si si parte di là entro	12
10	et les conmande toz a Deu	e li comanda a Dio	13
11	et la vielle li ot aprestees unes armes bonnes	e la vechia li ebbe apportate un arme buone	14
12	et beles	e forti	15
13	et un escu tout nuef;	e uno scudo tutto nuovo|:	16|17
		e elli	18
14	si se mist en son chemin	si misse in su camino	19
15	et acueilli sa voie aprés la vielle	si acolse sua via apresso la vechia	20
16|17	Quant il ot chevauchié dusqu a midi|si ataint I	Quand egli ebbe cavalcato insin qu apresso mezodi	21
18	damoi] cjsele a l entree d une forest	si agiugne una damigella|all entrata d una foresta	22|23
19|20	qui chevauchoit I|petit palefroi noir	che cavalcava un piccol palafreno nero	24
21	et pensoit moult durement	e pensava molto duramente	25
22	et bien paroit a ses iauz qu ele avoit rouges	e ben parea assuoi occhi|ch ella avea rossi	26|27
23	et anflez qu ele eust ploré	e nfiati|ch ella avea pianto	28|29
24	Il la salue	Elli la saluta	30
25	quant il l aproche	quand|e l apresima	31|32
26	et ele lui ausi	e ella lui altresi	33
		: Damigella	34
27	Damoisele fait il vos me samblez moult couroucie	diss elli|vo mi sembiate molto crucciata	35|36
28	et je savroie volentiers l achoison de vostre courouz	e io saprei volentieri la cagione di vostro cruccio	37
		;	38
29	Et bien sachiez	e ben sappiate	39
		ch i' vi metterei volentier pena	40
30	que j'i metroie volentiers tout le bon conseil	e tutto il buon consiglio|ch i potrei	41|42
		— Al	43
		certo	44
		sire	45
		disse ella	46
31	que je porroie — Certes fait ele il n a home el monde fors Deu	e non à huomo al mondo|fôrse ldio	47|48
32|33	qui consoil i poïst metre|car de ce	che consiglio vi potesse mettere	49
34|35	dont je cuit estre couroucie sont C|mile autre couroucie ne ce n est	ché cciò dond io son crucciata son centomiglia altre crucciate	50
36	? mie chose ou je perde seulement	: né ciò nonn è mica cosa ov i' solamente perda	51
37	mais tuit li povre gentil home del monde	ma tutti i poveri gentili huomini del mondo	52
38	et tuit li riche de la Grant Bretaingne	e tutti i ricchi della Gran Brettagna	53
39	et d autres terres	e dell altre terre	54
40	— Enon Dieu damoisele faît Lanceloz	— A nome di Dio|disse Lancelotto	55|56
41	dont n est a il mie merveille se vos en estes couroucie	damigella|dunque non è elli mica maraviglia se voi ne siete crucciata	57|58
42	et je vos pri	! E i' vo priego	59
43	que vos me diez	che vo mi diciate	60
44	que ce est	che ciò è	61
45	car puis	ché poscia	62
46	que toutes genz le sevent vos le poez bien dire ce m est' avis	che tutte genti il sanno|voi il mi potete ben dire	63|64
		ciò m è aviso	65
47	sanz meffait	sanza misfatto	66
48	— Sire fait ele jel vos dirai	— Sire|diss ella	67|68
		io il vi dirò	69
		poscia	70
49	puis que vos avez tel talant del savoir	che voi avete tal talento del sapere	71
		:	72
50|51	et si me merellie mouit|que vos nei savez	si mmi maravigli ol molto quando vo' nol sapete	73
52	car toz li mondes le set ja a	ché tutto il mondo il sa	74
53	Voirs est fait ele	Ver è|diss ella	75|76
54	que mes couroz est de Jl	che mi' cruccio est di due cose	77
55	¡or a force	: d una mia sirocchia|ch un cavaliere prese l altsrlo giorno a forza	78|79
56	et d un prodome	ee d un produomo	80
57	qui bien men venjast s il fust vis dusqu a ore	che ben me ne vendicasse|s elli fosse vivuto infino a ora	81|82
58	Mais il est morz	ma elli è morto	83
59	et si vos dirai ot prise ma seror a force ne randre ne la me voloit	Si vo dirò com'i' l so	84
60	por proiere ne	: elli fu vero	85
		che quando l cavaliere ebbe pressa mia serocchia a forza	86
61	por donner	né render no la mi volea per plrjeghieri né per donare|ch i' sapesse	87|88
62|63	que ge m esmui a aler a la cort le roi Artus|por faire ma clamor de ce	simmi mossi ad andare alla corte del re Artù per fare mi' chiamore di ciò	89
64	que li chevaliers m avoit fait sanz raison	che l cavaliere m avea misfatto sanza ragione	90
65	Et quant je i fui venue n a mie encor IIl		91
66	jorz	non à mica ancora guari	92
67|68	si ne trouvai|qui me respondist de riens	si non trovai chi mi rispondesse di nulla	93
69	car tuit antandoient a plourer	ché tutti intendieno a piagnere	94
70	et a duel faire	e a duol fare	95
71	Et quant je vi ce	Quand i vidi ciò	96
72	si fui toute esbahie	si ne fu' tutta isbigottita	97
73|74	si priai a J|escuier	si prega a uno sleudieri	98
75|76	que il me deist|por quoi il faisoient tel duel	ch elli mi dicesse perché facevano tal duolo	99
77	et il me dist	ed e' mi disse	100
78|79	que c estoit|por Lancelot de Lac	che ciò era per Lancelotto de Lac	101
80	qui morz estoit	che mort era	102
81	Et quant je vi	“E quand i vidi	103
82	que je n i porroie riens faire de ma besoingne	ch i non vi potrei nulla fare di mia bisogna	104
83	si me parti ier matin dolante	si me ne parti' ier mattina dolente	105
84	et couroucie de la mort au bon chevalier	e cruceiata della morte del buon cavaliere	106
85	dont touz li mons avra soufraite	donde tutto 'l mondo arà soffratta	107
86	car jamais ne sera hom	ché giamai non sarà huom	108
87	qui ait tel pitié de povre damoisele com il avoit	ch abbia tal piatà delle povere damigelle com elli avea	109
88	Si sui trop irie	Si ne sono troppo adirato	110
89|90	que je n avrai jamais|qui me face droit de tort	ch i' non arò giamai chi mi faccia diritto del gran torto	111
91	que l an m a fait	che l uom mi fa	112
92|93	si ne finai|puis de plorer	Si non finai poscia di piagnere per la piatà	113
94	por la grant pitié		
95	que j ai del prodome	ch i' ò del produomo	114
		e la reina Ginevra	115
		ch era ieri molto malata quand i' fu' a corte	116
96	et por la perte	per la perdita	117
97	que je i ai b;	ch i' ci ô	118
98	car se il fust vis	:vché s elli fosse vivo	119
99	et il seust le grant tort	e sapesse il gran torto	120
100	que l an m a fait il m an queist la venjance	che l uom mi fa|elli me ne chiedesse tutta la vendicanza	121|122
101	que j en fusse liee touz les jorz de ma vie	si ch i ne fosse lieta tutti i giorni di mia vita	123
102|103	Et ce est ce|por quoi je ai hui tant Ploré	: ciò è ciò perch io ho oggi tanto pianto	124
104	Quant Lanceloz an	pQuando Lancelotto intende	125
105	tant que la roine est	che lla reina est	126
106	si malade	si malata	127
107	si est moult a malaise	si n é molto mal sal agio	128
108	et s il poist retorner a cort sanz cele en cui besoingne il ert entrez il i retornast	;|e s elli potesse ritornare a corte sanza quella in cu' bisogno elli è entrato	129|130
109	por mestre la roine a aise	elli ritornasse per mettere la reina ad agio	131
110	car bien pense	ché ben|si pensa	132|133
111|112	que cele maladie|que ele a n est	che quella malattia	134
113|114	? se|por lui a non	ch ella ha non è se per lu' non	135
115	Lors dist a la pueele	Si disse alla damigella	136
116	qui la novele li avoit contee Damoisele se vos me volez faire I	Damigella|se vo' mi vole fare un messaggio	137|138
117	message je metroie painne en vostre suer delivrer	i' metterei pena in vostra sirocchia diliverares	139
118	Et ele dist qu il n est	|che non è	140|141
119	si estrange leu ou ele n alast par couvant	si stran luogo ov ella non andasse per convenente	142
120	que sa suer fust delivree	che sua serocchia fosse dilivera	143
121	Dites moi fait il	|diss elli	144|145
122	quel part li ehevaliers est	in qual parte il cavaliere est	146
123	et je i irai	e i' v andrò	147
124	— I est fait ele pres de ci	— Elli è|diss ella	148|149
		presso di qui	150
125	— Or alez dont fait il	— Or andate|dis egli	151|152
		dunque inanzi	153
126	et je vos suirrai	i vo seguirò	154
127	Et ele ist fors del grant chemin	ella esce fori del gran camino	155
128|129	si entre en I|petit chemin a destre	s antra in un petito sentieri a destra	156
130	et Lanceloz	;|e Lancelotto	157|158
131	et la vielle chevauchent aprés tant qu il ont bien alé la monte de Il	e la vecchia cavalcano appresso tanto|ch egli àno bene andato metà di due leghe inghilesche	159|160
132|133	liues anglesches|Lors voient desouz aux une petite valee ou il avoit une tor fort	Allor vegono di sotto loro una piccola vallata ov egli avea una torre forte	161
134	et haute	e alta	162
135	Et la damoisele apele Lancelot	:|e la damigella appella Lancelotto	163|164
		e li disse	165
		: Sire	166
136	et li dist Sire en cele tor la est ma seror se vos i volez aler	in quella torre è mia serocchia|se voi vi volete andare	167|168
137|138	et li chevaliers|dont je vos ai conté	e cavaliere altresi dond io ne ho contato	169
139	— Vos vanrez fait il o moi	— Vo' verete|diss elli	170|171
		con esso meco	172
140	et le me monssanté	e la mi mosterete	173
		;	174
		e non abiate mica paura	175
		ch i la voi renderò	176
		s i' ò santá	177
