0	Or dit li contes	OR dist li contes	0
1	que tant demora Lanceloz la ou la vielle l ot mené qu il ot passé	que tant demora lancelot la ou la uielle lot mene quil ot passe	1
2	VI	vi	2
3	semainnes	semaines	3
4	et lors se santi sains	Et lors se senti il sains	4
5	et haitiés	& haities	5
6	et desirranz de porter armes	& desirans de porter armes	6
7	Toz ne fust il mie encor bien gariz se li anuioit li repos	Encore ne fust il pas bien garis|se li anuioit li repos	7|8
8	por ce qu il avoit trop longuement geu ce li ert avis	por ce quil auoit tant longement geu ce li iert auis	9
9	Et il se part de laienz	Et il sen part de laiens	10
10	et les conmande toz a Deu	si lez commande tous a dieu	11
11	et la vielle li ot aprestees unes armes bonnes	Et la vielle li ot aprestees armes|qui estoient beles	12|13
12	et beles	et bones	14
13	et un escu tout nuef;	et escu tout nuef	15
14	si se mist en son chemin	Si se mist en son chemin	16
15	et acueilli sa voie aprés la vielle	et acueilli sa voie apres la vielle	17
16	Quant il ot chevauchié dusqu a midi	Et quant il ot cheualchie iusques a miedi	18
17|18	si ataint I|damoi] cjsele a l entree d une forest	si ataint une damoisele en mi vne forest	19
19	qui chevauchoit I	qui cheualchoit	20
20	petit palefroi noir	j petit palefroi noir	21
21	et pensoit moult durement	si pensoit moult durement	22
22	et bien paroit a ses iauz qu ele avoit rouges	Et bien paroit a sez iex quelle auoit rouges	23
23	et anflez qu ele eust ploré	et enfles quele auoit plore	24
24	Il la salue	Il le salue	25
25	quant il l aproche	quant il laproce	26
26|27	et ele lui ausi|Damoisele fait il vos me samblez moult couroucie	et elle lui autresi Damoisele fet il vous me sambles corocie	27
28	et je savroie volentiers l achoison de vostre courouz	Et iou sauroie volentiers locoison de vostre corous	28
29	Et bien sachiez	Et bien sachies	29
30	que j'i metroie volentiers tout le bon conseil	que ie y meteroie volentiers tout le bon conseil	30
31	que je porroie — Certes fait ele il n a home el monde fors Deu	que iou y porroie mettre|Certes fait elle il na homme el monde fors dieu	31|32
32	qui consoil i poïst metre	qui conseil y peust metre	33
33|34	car de ce|dont je cuit estre couroucie sont C	Car ce de coi ie soi corocie	34
35	mile autre couroucie ne ce n est	sont autre coroucie	35
36	? mie chose ou je perde seulement	Ne ce nest mie chose ou iou perde seule	36
37	mais tuit li povre gentil home del monde	mais tot li poure gentil homme del monde	37
38	et tuit li riche de la Grant Bretaingne	et tout li riche de la grant bertaigne	38
39	et d autres terres	& dautres terres	39
40	— Enon Dieu damoisele faît Lanceloz	Enon dieu damoisele fet lancelot	40
41	dont n est a il mie merveille se vos en estes couroucie	dont nest ce mie merueilles se vous estes coroucie	41
42	et je vos pri	Et iou vous pri	42
43	que vos me diez	que vous me dites	43
44	que ce est	que chou est	44
45	car puis	Car	45
46|47	que toutes genz le sevent vos le poez bien dire ce m est' avis|sanz meffait	puis que tant de gent le seuent vous le me poes bien dire ce mest auis sans mesfait	46
48	— Sire fait ele jel vos dirai	Sire fait elle ie le vous dirai	47
49	puis que vos avez tel talant del savoir	puis que vous en aues|si grant talent del sauoir	48|49
50	et si me merellie mouit		
51	que vos nei savez		
52	car toz li mondes le set ja a		
53	Voirs est fait ele	Voirs ert fet elle	50
54	que mes couroz est de Jl	que mes corous est pour|ij	51|52
		choses	53
55	¡or a force	li vns est dune moie sereur|que vns cheualiers prist lautre ior a force	54|55
		Et li autres	56
56	et d un prodome	si est dun prodomme	57
57	qui bien men venjast s il fust vis dusqu a ore	qui bien men uengast se il eust uescu dusques a hore	58
58	Mais il est morz	mez il est mors	59
		si vous dirai comment ie le sai	60
		Il est voirs	61
59	et si vos dirai ot prise ma seror a force ne randre ne la me voloit	que quant li cheualiers ot prise ma seror a force ne rendre ne le me veult	62
60|61	por proiere ne|por donner	por proiere ne pour donner	63
		que iou li peusse faire	64
62|63	que ge m esmui a aler a la cort le roi Artus|por faire ma clamor de ce	Si mesmui pour aler a la cort le roy artus pour faire ma clamor de ce	65
64	que li chevaliers m avoit fait sanz raison	que li cheualiers mauoit fet sanz raison	66
65	Et quant je i fui venue n a mie encor IIl	Et quant iou y fui uenue|na mie encore	67|68
66	jorz	iij	69
67	si ne trouvai	semaines|si ni trouuai	70|71
68	qui me respondist de riens	qui mi respondist de riens	72
69	car tuit antandoient a plourer	quar tout entendoient a plorer	73
70	et a duel faire	& a doel faire	74
71	Et quant je vi ce	Et quant ie vi ce	75
72	si fui toute esbahie	si fui toute esbahie	76
73	si priai a J	Si priai a|j	77|78
74	escuier	escuier	79
75|76	que il me deist|por quoi il faisoient tel duel	que il me deist pourcoi il faisoient tel dojel	80
77	et il me dist	Et il me dist	81
78|79	que c estoit|por Lancelot de Lac	que ce estoit pour lancelot del lac se teal	82
80	qui morz estoit	qui mors estoit	83
81	Et quant je vi	Et quant iou vi	84
82	que je n i porroie riens faire de ma besoingne	que ie ni pooie riens faire de ma besoigne	85
83	si me parti ier matin dolante	si men parti hier matin moult dolante	86
84	et couroucie de la mort au bon chevalier	et moult coroucie de la mort au boin cheualier	87
85	dont touz li mons avra soufraite	dont tous li mondes aura souffraite	88
86	car jamais ne sera hom	quar iamais ne sera homs	89
87	qui ait tel pitié de povre damoisele com il avoit	qui ait pitie de poures damoiseles|si grant comme il auoit	90|91
88	Si sui trop irie	si en sui trop irie	92
89	que je n avrai jamais	Car iou ne trouerai iamais	93
90	qui me face droit de tort	qui me face droit del tort	94
91	que l an m a fait	que len me fait	95
92	si ne finai	si ne finai onques	96
93|94	puis de plorer|por la grant pitié	puis de plourer pour le pitie	97
95	que j ai del prodome	que iou ai del prodomme	98
96	et por la perte		
97	que je i ai b;		
98	car se il fust vis	Car sil fust vis	99
99	et il seust le grant tort	et il seust le tort con me fait	100
100	que l an m a fait il m an queist la venjance	il men quesist tel uengance	101
101	que j en fusse liee touz les jorz de ma vie	que iou en fuisse lie tous lez iors de ma vie	102
102	Et ce est ce	Et cest	103
103	por quoi je ai hui tant Ploré	por ce|que u ai hui tant plore	104|105
104	Quant Lanceloz an	ouant lancelot entent ce	106
105	tant que la roine est	que il sont a cort	107
106	si malade	si troble	108
107	si est moult a malaise	et si corocie	109
108	et s il poist retorner a cort sanz cele en cui besoingne il ert entrez il i retornast	por lui|Si pense bien	110|111
109	por mestre la roine a aise	que la royne en est acouchie de doel	112
		Si en est moult a malaise	113
110	car bien pense	Car bien pense	114
111|112	que cele maladie|que ele a n est	quele ne seroit deshaitie se	115
113	? se		
114	por lui a non	por li non	116
115	Lors dist a la pueele	Lors dist a la damoisele	117
116	qui la novele li avoit contee Damoisele se vos me volez faire I	qui la nouele li auoit contee|Damoisele : se vous me volies fere	118|119
		j	120
117	message je metroie painne en vostre suer delivrer	message|iou metroie paine en vostre suer deliurer	121|122
118	Et ele dist qu il n est	Et cele dist quil nest nul	123
119	si estrange leu ou ele n alast par couvant	si estranges lieus el monde ou elle nalast par ensi	124
120	que sa suer fust delivree	que sa suer ne fust deliuree	125
121	Dites moi fait il	Dites moi|dont fet il	126|127
		de	128
122	quel part li ehevaliers est	quel part li cheualiers est	129
123	et je i irai	et iou y irai	130
124	— I est fait ele pres de ci	Il est fait elle pres de chi	131
125	— Or alez dont fait il	Ore ales|dont fet il auant	132|133
126	et je vos suirrai	et iou vous sieurai	134
127	Et ele ist fors del grant chemin	Et elle issi hors del grant chemin	135
128|129	si entre en I|petit chemin a destre	si entre en vn petit sentier a destre	136
130	et Lanceloz	Et lancelot	137
131	et la vielle chevauchent aprés tant qu il ont bien alé la monte de Il	et la vielle cheualchent apres tant quil ont bien ale le montance de|ij	138|139
132	liues anglesches	lieues englescthjes	140
133	Lors voient desouz aux une petite valee ou il avoit une tor fort	Lors voient desouz vne petite valee ou il auoit vne tour forte	141
134	et haute	& haute	142
135	Et la damoisele apele Lancelot	Et la damoisele dist a lancelot	143
136	et li dist Sire en cele tor la est ma seror se vos i volez aler	Sire en cele tour la est sma suer	144
137	et li chevaliers	et li cheualiers	145
138	dont je vos ai conté	dont ie vous ai conte est auec li	146
139	— Vos vanrez fait il o moi	vous vous en uendres fait ile auec moi	147
140	et le me monssanté	& le me mousterres	148
		si le vous renderai se iou ai sante	149
141	Et ele dist qu ele doute moult le chevalier ;	Et cele dist|que elle doute moult le cheualier	150|151
142	et Lanceloz l an aseure	Et lancelot lasseure	152
143	et dit qu il la garantira contre touz ceus	et li dist|que il le garantira contre tous ceuls	153|154
144	qui riens li demanderont	qui riens li demanderont	155
145	Sire fait ele	Sire fet elle	156
146	donc irai ge ou vos	dont y irai iou auec vous	157
147	Einsi vont parlant dusqu a la porte	Ensi sen vont parlant iusques a la porte	158
148|149	et huchent|et crient i tant a	Il hurtent a luis	159
150	que l an lor ouvre	tant que on lor oeure	160
151	et il entrent enz a cheval	Et il entrent ens tout a cheual	161
152	et viennent en la sale	& puis entrent en la sale	162
153	qui par terre estoit;	qui par terre estoit	163
154	si trouverent le chevalier	si trueuent le cheualier	164
155	qui gisoit malades des plaies	qui estoit malades des plaies	165
156	que l an li avoit faites	que len li auoit faites	166
157	et la pucele	ets la damoisele	167
158	qui sa seror aloit querant se seoit sor une couche	que sa suer aloit lquerant|sil se seoit sor vne couche	168|169
159	Quant Lanceloz fu laienz	CNuant lancelot fu entres laiens	170
160	si dist a cele	si dist a cele pour	171
161	por cui il estoit venuz Veez vos fait il vostre suer	qui il estoit la uenus|Cy Damoisele vees vous vostre suer	172|173
162	? — Oil fait ele c est ele	Oil sire fet elle chest chele	174
163	qui la se siet	qui la se siet	175
164	Et il la prant par la main	Et lancelot le prent par le main	176
165	et il li baille	Si li baille	177
166	et li dist Tenez la damoisele	et li dist Tenes damoisele	178
167	et si la menez la ou il vos plaira	et si le menes la ou vous voles	179
168	car ja ne trouverez home	quar ia ne feoes cl trouueres homme	180
169	si hardi	si hardi	181
170	qui por	qui por li vous arrest	182
171|172	lui vos arest tant com je soie o vous|— Sire fait ele grant merciz	tant comme iou soie aueques vous Sire fet elle grans mercis	183
173	et je ne vos demant plus fors	& ie ne vous demanc plus fors	184
174	que vos me conduiez a sauveté	que vous me conduisies a aluete	185
175	car bien vos estes aquitez de ce	quar bien vous estes aquites de ce	186
176	que vos m avez promis	que vous mauies promis	187
177	— Alez vos an fait il seurement	Ales vous ent seurement fait lancelot	188
178	car je vos conjal duirai la ou vos voudrez	quar ie vous conseaoeelduira la ou vous voldrois aler	189
179	Et il prant la damoisele	Et lors prent lancelot la damoisele	190
180	et la monte devant soi;	& le monte deuant soi	191
181	et quant li chevaliers malades voit qu il l amporte	Et quant li cheualiers malades len uoit porter	192
182	si est moult dolanz de ce qu il ne se puet lever	si en est moult dolans de ce quil ne se puet leuer	193
183	car s il fust en son droit pooir il ne l anmenast mie sanz contredit	Car se il fust en son droit pooir|il ne lenportast mie sans contredit	194|195
184	Lors dist a Lancelot Biau sire vos me faites desraison	Si dist a lancelot|Biau sire vous me faites desraison	196|197
185	qui ainsi enmenez ma damoisele se n i avez nul droit	qui ensi menmenes ma damoisele	198
186	Certes se je fusse sains	et si ni aues nul droit Certes se iou fuisse sains	199
187	et haîtiez vos n en menissiez point	et haities vous ne lenmenissies point	200
188	Et bien sachiez se j en	Et bien sachies se iou en	201
189	puis venir en leu vos ne feistes onques choses	puis uenir en lieu: vous ne feistes onques cose	202
190	dont vos tant vos repantissiez comme vos feroiz de ceste	dont fntal vous repentissies tant comme vous feres de ceste	203
191|192	— Blau sire|fait Lanceloz vos preistes la damoisele a force	Biau sire fet lancelot vous preistes la damoisele a force	204
193	et estre son gré	et mal gre sien	205
194	et ausi conme vos a tort l en amenastes ausi l anmenrai je a droit	Et Densi comme vous a tort lenmenastes|ensi le remenrai iou a droit	206|207
195	Et se vos cuidiez	Et Se vous quidiez	208
196	que je vos face vilonnie	que iou vous face tort ne uilonnie	209
197	si en querez vostre droit	si en queres vostre droit	210
198	quant vos porroiz	quant vous porres	211
199	—		
200	Si m aïst Diex fait il	Si mait diex fet il	212
201|202	si ferai je aseur en soiez|Atant s em part Lanceloz de laienz;	si ferai iou asseur en soies vous Atant sen part lancelot	213
203	et quant il furent	Et quant il furent	214
204	I	j	215
205	poi esloingnié il demande a la damoisele qu il portoit	poi eslongies il demande à la damoisele quil auoit laiens prise	216
206|207	qui avoit|si le chevalier navré	qui auoit ensi naure le cheualier	217
208	Sire fait ele je le vos dirai	Sire fet elle iou le vous dirai	218
209|210	Quant il m ot prise a force|si com ma suer set bien	Quant il mot prise ensi comme ma suer le set bien	219
211	si m anmenoit par cest chemin	il menmenoit par chest chemin	220
212	et je plouroie moult durement	et iou ploroie moult durement :	221
213	et	Et	222
214	tant que nos encontrasmes II	tant que nous encontrames|ij	223|224
215	chevaliers de cest païs a cui il prist pitié de moisi qu il se pristrent a lui	cheualiers de cest pais a|qui il prist pitie de moi	225|226
		Si se pristrent a lui	227
216	et li firent les plaies	& li firent lez plaies	228
217	dont il gist;	dont il gist	229
218	mais il se desfandi	Mais il se desfendi	230
219	si bien qu il les occist enI	si bien quil lez ocist ambe|ij	231|232
