a	b	c	d	e
0|1	Or dit li contes|que tant demora Lanceloz la ou la vielle l ot mené qu il ot passé	xuiii|Tdistle cõpte|que tant demoura g lancelot la oula uieilse lauoĩt me ne	Mas agora dexa el Cuento de fablar de don yban y torna a Contar de don lançarote y dela vieja Agora dexa el quento de fablar delos Caualleros	OR dist li contes|que tant demora lancelot la ou la uielle lot mene quil ot passe	Or dice il conto|che tanto dimora Lancelotto là ove la vecchia l ebbe menato
		Eõment lancel ot sceust par une damoy			
		selle			
		que la ropne estoit mallade sy mãda au roy			
		⁊ a la royne de ses nouuelles C			
2|3	VI|semainnes	quif olt passe six sepmaines	que andauan en busca de don lançarote	vi|semaines	ch egli ebbe passate sei settimane
4|5|6|7|8	et lors se santi sains|et haitiés|et desirranz de porter armes|Toz ne fust il mie encor bien gariz se li anuioit li repos|por ce qu il avoit trop longuement geu ce li ert avis	Ei nestoit il pas ẽcort trop biẽ gari|mes le repos lup ẽnupoĩt pour ce q̃ trop auoit geu ce luy estoit aduis|Et lors se sentist sain ethaictie|et desirant de porter armes	por contarlo quele auino conla donzella vieja|que andaba ensu guarda|e de otras cosas muchas agora dize el quento	Et lors se senti il sains|& haities|& desirans de porter armes|Encore ne fust il pas bien garis|se li anuioit li repos|por ce quil auoit tant longement geu ce li iert auis	Allor|si senti sano|e atato|e disiderante di portare arme|tutto non foss elli mica ben guarito ancora|si gli nvidiava il riposo|per ciò|ch elli aveva troppo lungamente giaciuto
					ciò li era aviso
9|10|11|12	Et il se part de laienz|et les conmande toz a Deu|et la vielle li ot aprestees unes armes bonnes|et beles	Il se partist de leans|et la uieille lup auoit apprestes unes armes|qui estoienthõnes	que lançarote moro bien seis semanas alli dola donzella vieja lo lleuo y entonze se sintio sano|e deseoso de tomar armas pero no hera aun bien guarido	Et il sen part de laiens|si lez commande tous a dieu|Et la vielle li ot aprestees armes|qui estoient beles|et bones	Si si parte di là entro|e li comanda a Dio|e la vechia li ebbe apportate un arme buone|e forti
13|14	et un escu tout nuef;|si se mist en son chemin	et belles:	mas no le plazia	et escu tout nuef|Si se mist en son chemin	e uno scudo tutto nuovo|:|e elli|si misse in su camino
15|16|17|18	et acueilli sa voie aprés la vielle|Quant il ot chevauchié dusqu a midi|si ataint I|damoi] cjsele a l entree d une forest	⁊ escu tout neuf|E til se mist en sonchemin ap̃s la uielle Q uãt il eu st cheuauche iusq̃s a nudy	porque yoguiera tanto envn lugar y|entonçe se partio dende y la vieja le tenia muy buenas armas y vn escudo blanco y armose y acogiose asu camino conla vieja y desque andubieron asta visperas fallaron ala entrada devna floresta vna donzella	et acueilli sa voie apres la vielle|Et quant il ot cheualchie iusques a miedi|si ataint une damoisele en mi vne forest	si acolse sua via apresso la vechia|Quand egli ebbe cavalcato insin qu apresso mezodi|si agiugne una damigella|all entrata d una foresta
19|20|21	qui chevauchoit I|petit palefroi noir|et pensoit moult durement	si at¬ taint une damoyselle a lẽtree de une forest qͥ cheuauchoit ung petit palleffroy noir la q̃l¬ le pensoit mõlt duremẽt	que andaba envn palafren morzillo y no andaua conella ome del mundo|e yba pensando muy fieramente	qui cheualchoit|j petit palefroi noir|si pensoit moult durement	che cavalcava un piccol palafreno nero|e pensava molto duramente
22|23	et bien paroit a ses iauz qu ele avoit rouges|et anflez qu ele eust ploré	et sẽbloit dien a ses peux quelle auoit ploure	e semejaua|que lloraua mucho	Et bien paroit a sez iex quelle auoit rouges|et enfles quele auoit plore	e ben parea assuoi occhi|ch ella avea rossi|e nfiati|ch ella avea pianto
24	Il la salue	I sa saltue	e traia los ojos vermejos	Il le salue	Elli la saluta
25	quant il l aproche		e inchados	quant il laproce	quand|e l apresima
26|27	et ele lui ausi|Damoisele fait il vos me samblez moult couroucie	etelse luy|Damoiselle fist il uous me sembles cou rouchee	e lanzarote saluo la donzella y ella ael donzella dixo el semejame	et elle lui autresi Damoisele fet il vous me sambles corocie	e ella lui altresi|: Damigella|diss elli|vo mi sembiate molto crucciata
