0	queria fallar muy de grado 	auoir troue 	0
1	e luego le conto todo 	Si li conte tote sauenture 	1
2	como le auia conel contesçido 	ainsi com li contes la retraite. |Tant que il quenoit bien 	2|3
3	asi como el cuento lo a deuisado 	que cest ele |que il le quiert. 	4|5
4	e luego entendio boores 	mais por le corrous 	6
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer 	quil auoit de la mort au seneschal: ne se wet faire |quenoistre a li 	7|8
6	conosçer antele rrespondio çierto donçella al cauallero 	si li dit. |Certes damoisele	9|10
7	que traia blancas armas no conozco yo 	qui port escu blanc ne sai ie nul. 	11
8	Pardios dixo la donçella mucho me Pesa caramjente 	En no dieu fait ele de ce me poise il trop durement. 	12
9	e boores non quiso conella mas estar 	et il ne tient plus a li parole. |Ains sen part 	13|14
10	e acomendo la a dios 	si tost comme il lot comandee a dieu. 	15
11	e fuese e andubo tanto 	et cheuauche en tel maniere. 	16
12	que salio dela floresta 	tant quil uient a lissue de la forest 	17
13|14	e dexo el camino e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	et il torne a destre uers le chemin uiee et acien 	18
15	e non andubo mucho 	Si ne demora gaires 	19
16|17	porque llego a vn valle |Por do corria vn agua muy negra e fea e fonda 	quil uient a une eue lee et parfonde. 	20
18	e non fallo puente 	mais il ni trueue ne pont 	21
19	por do Pudiese pasar 	ne gue ne passaige nul. 	22
20	e cato dela otra parte Del agua 	et lors regarde il dautre part de leue. 	23
21	e vio vn castillo muy bien asentado 	Si uoit .i. petit chastelet mout bien feant 	24
22	çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel	25
23	ca mucho se pagaua delo catar 	dont Ia fasons li plait mout a esgarder. 	26
24	e despues torno la rribera ayuso 	et puis sen torne tot contreual la riuere. 	27
25	Por saber si podria fallar puente 	Por sauoir |se il i troueroit ne pont ne gue. 	28|29
26	Por do pasase mas el no pudo fallar ninguna 	mais il nen i trurue point : |si ne sot	30|31
27|28	e boores desque esto vido no sabia que se façer |ca el no se queria tomar en ninguna manera 	que faire 	32
29	Ansi estando vio del castillo salir vna donçella en camisa 	car retorner ne wet il mie atant uoit issir une damoisele dou chastel |qui estoit tote nue en sa chemisse 	33|34
30	que traian quatro rribaldos muy sañudamente 	si la menoient. iiii.tre ribaus mout uilment. 	35
31	e cadavno traia enla mano vna lança 	et tenoit chascuns une hache en sa main. 	36
32	e ella daua vozes 	et ele crioit 	37
33	quanto podia dar 	quantque le pooit crier. |por ciax 	38|39
34	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar 	qui li fasoient tele honte. et tel laidure |que il la menoient batant tout contrtual la riuiere t 	40|41
35	e quando la donçella vio a bores dela otra parte del agua 	quant la damoisele uoit le cheualier dautre part la riuiere. 	42
36	començo a dar vozes 	si li comance a crier. 	43
37	e a deçir ay jentil cauallero acorred a esta donçella 	ha: gentis cheualiers secores ceste damoisele |que ciz ribaut wellet ocire. 	44|45
38|39	que estos Ribaldos me quieren ansi matar |ay buen cauallero 	ha; frans hons ne mi laissiez morir 	46
40	si nunca oviste piedad de donçella auelda agora de mi 	se uos eutes onques pitie de franche damosele. |quant boh̾. oit cele 	47|48
41	e no me dexedes asi morir Quando boores oyo 	que si piteusement lapele |et li prie 	49|50
42	lo que la donçella deçia no supo que façer 	quil la sekeure. Sire set |que faire. 	51|52
43	ca muy de grado la quisiera acorrer si pudiese 	car uolentiers li alait aidier |se il poist. 	53|54
44	Mas el agua hera muy fonda e peligrosa e negra e bien cuidaua morir 	Mais il uoit leue si parfonde et si perilleuse |que il cuide bien perir 	55|56
45	si se y Metiese 	se il se met dedans. 	57
46	e dela otra parte veya la donçella 	et dautre part il uoit cele	58
47	que muy afincada mente le pedia merçed 	qui si docemet li prie nc .ci. 	59
48	e ovo tal piedad della 	Si len prent tes pitiez	60
49	que le fiço todo el miedo perder 	quil en laisse totes paours. 	61
50	e fiço la señal dela cruz sobre si 	Si fait le signe de la crois enmi son uis. 	62
51	e enbraço el escudo 	puis enbrace lescu. 	63
52	e firio al cauallo de las espuelas 	et broche le cheual des esperons	64
53	e lanço se en el agua e el cauallo començo de nadar luego 	et se fiert en leue tot errantment. |Et li cheuaus fu fors	65|66
54	e perdio tierra en tal manera 	si comance a noer |si tost com il ot terre perdue 	67|68
55|56	que paso dela otra parte del agua |mas ante beuio el cauallo del agua 	si lenporte dautͤ part la riue a quelque painne. 	69
57	e si el caballo tan bueno no fuera sin dubda 	Si ne descendi pas|ains cort uers ciax 	70|71
58	el moriera enel agua 	qui la damoisele renoient 	72
59	e boores 	que il consieut 	73
60|61	porel peso delas armas |que llebaua 	quil li met le glaiue parmi le cors 	74
62	e desque fue dela otra Parte del agua dexo se correr aquellos que la donçella tenian 	si labat mort aterre. 	75
63	e firio al primero 	et li autre sen fuient 	76
64|65	que encontro en tal manera |que le metio la lança porel cuerpo 	porre 	77
66|67	e los otros dos |que aquello vieron fuyeron luego por miedo de no ser muertos 	qu il estoient desarme. et la damaisele	78
68|69	ca todos estauan desarmados |e la donçella desque aquello vido finco los ynojos ante boores 	qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele beneois soiez uos de dieu. 	79
70|71	e dixo |ay jentil cauallero vendito seades de dios que asi me librastes de muerte 	quant uos mauez de mort rescoce. 	80
72	e bendito sea dios 	et aoures soit diex 	81
73	que aqui vos traxo 	quant ils amena ceste part. 	82
74	que estos villanos me hubieran muerto 	Car cil gloton meussent ia morte 	83
75|76	si por vos no fuera donçella |dixo boores 	ce uos ne fussiez. Damoisele fait il porcoi. Sire fait ele ie le uos dirai bien. 	84
77	Por que señor dixo ella 		
78|79	yo vos lo dire |mas ante conuiene 	mais que uos maiez misse a Sauuete. 	85
80|81	que non aya miedo de ninguno |Donzella dixo boores 	Coument fait il auez uos dont garde. 	86
82|83	de quien auedes miedo |señor dixo ella 	Certes sire faic ele ia a seur ne sera tant 	87
84	del señor del castillo ca es el mas follon omne de todo el mundo 	com ie saiche laiens le signeur de cest chastel. |Car cest li plus fel cheualiers dou monde 	88|89
85	e mas cruel 	et li plus traites. 	90
86	Ellos asi fablando vieron salir del castillo vn caballero 	a ces paroles uoit issir un cheualier del chastel. 	91
87	e quando vido a boores començo le a dar boçes 	et la |ou il uoit behort 	92|93
88	e a deçir don cauallero a dexar vos conuiene la donzella 	si li est terre. Laissiez dans cheualiers la damoisele 	94
89|90	ca la non lleuaredes |e porla my cabeza 	que uos nen meneroie et par mon chief mar la rescousites. 	95
91	ental Punto la acorristes 	Si li acort 	96
92	e luego se dexaron correr el vno contra el otro 	quanquil puet le glaiue alongnre. 	97
93	e boores lo firio conla lança 	et behors retrait son glaiue del cors au ribaut 	98
94	que auia sacado del cuerpo del villano 	que il auoit ocis. |Si li laisse le cheual. 	99|100
95	que auia muerto en tal manera 	et le fiert si durement	101
96	que dio conel Porlas ancas del cauallo a tierra asi estordido 	quil labat a terre si estordi 	102
97	que non se pudo leuantar 	que cil na pooir de releuer.|Ains fu pasmes. 	103|104
98	asi estaua amorteçido dela cayda 	Car il fu cheus si uilainnement 	105
99	que las coyunturas del pescuezo tenia quebradas 	qua pou quil not la chenole dou col bͥsie. 	106
100	e boores traxo tantas vezes el cauallo sobre el Que todo lo quebranto 	et behors li ua a cheual par desus le cors. |tant que tout le debrisse. 	107|108
101|102	e la donçella |que aquello vido fue muy alegre 	et lors est la damoisele si lie 	109
103	que mas no lo podia ser 	que ele ne puet plus. 	110
104	e dixo a boores 	et dit a beh̾. Sire fait ele nous nauons 	111
105	señor agora non auedes aqui deque vos mas guardar ca eneste castillo no auia 	mais garde ce cuige. |Car ie ne cuit 	112|113
106	mas deste cauallero segund cuydo 	quil ait mais cheualier laiens plus que cestui. 	114
107	e agora os direlo 	Si uus dirai ore seurement ce 	115
108	que me preguntastes seguramente 	que uos me demandates na gaires. 	116
109	Pues deçidmelo dixo boores 	Dites dont damoisele fait il. 	117
