0	queria fallar muy de grado 	auoir trouue 	0
1	e luego le conto todo 	si luy compte toute son auanture 	1
2	como le auia conel contesçido 	tant quil cengnoit bien	2
3	asi como el cuento lo a deuisado 	que cest celle |qui le quiert/ 	3|4
4	e luego entendio boores 	Mais pour le couroust 	5
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer 	quil a du sencchal et de sa mort ne se uoult faire congnoistre/ 	6
6	conosçer antele rrespondio çierto donçella al cauallero 	mes leur respont certes damoiselle ie ne cengnois mie le cheualier 	7
7	que traia blancas armas no conozco yo 	qui porte les blances armes. 	8
8	Pardios dixo la donçella mucho me Pesa caramjente 	En nen dieu fait elle il me poyse monlt chierement. |A donc sen part 	9|10
9|10	e boores non quiso conella mas estar |e acomendo la a dios 	et ne uoult plus parler il la commandee a dieu 	11
11	e fuese e andubo tanto 	et sen ua. |et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies 	12|13
12	que salio dela floresta 	tant quil uint a lissue de la forest 	14
13|14	e dexo el camino e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	et il tourna a destre uers ung petit chemyn uieil: 	15
15	e non andubo mucho 	si ne demoura gueres 	16
16	porque llego a vn valle 	quil uint en une uallee/ 	17
17	Por do corria vn agua muy negra e fea e fonda 	ou il couroit une eau monlt roidde la |quelle estoit grande et parfonde/ 	18|19
18	e non fallo puente 	et ne treuue ne pont ne planche 	20
19	por do Pudiese pasar 	par ou il puisse passer. 	21
20	e cato dela otra parte Del agua 	Sy regarde de laultre part de leaue 	22
21|22	e vio vn castillo muy bien asentado |çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. Il regarde le chastel grant pieche 	23
23	ca mucho se pagaua delo catar 	car monlt luy plaisoit a uoir/ 	24
24	e despues torno la rribera ayuso 	puis sen tourne contre ual la riuiere 	25
25	Por saber si podria fallar puente 	pour scauoir |sil pouroit trouuer ne pont ne gue par le quel il puisse passer/ 	26|27
26	Por do pasase mas el no pudo fallar ninguna 	mes il nen truue point.|Et il uoit ce 	28|29
27	e boores desque esto vido no sabia que se façer 	si ne scait 	30
28	ca el no se queria tomar en ninguna manera 	que faire/ |car retourner ne uoulloit pas. 	31|32
29	Ansi estando vio del castillo salir vna donçella en camisa 	A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise/ 	33
30	que traian quatro rribaldos muy sañudamente 	sy la menoient quatre ribaulx monlt felonneusement 	34
31	e cadavno traia enla mano vna lança 	et tenoient chascun en sa main ung coustel trenchant. 	35
32	e ella daua vozes 	Et la damoiselle crioit tant comme elle pouoit pour la laidure et honte 	36
33	quanto podia dar 	que telx ribaulx luy faisoient/ 	37
34	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar 	et la menoient batant contre ual la riuiere.	38
35	e quando la donçella vio a bores dela otra parte del agua 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ uiere commenca a crier 	39
36	començo a dar vozes 	et dire en tell maniere |Haa beau	40|41
37	e a deçir ay jentil cauallero acorred a esta donçella 	et gentil cheualier secoures ceste damoiselle 	42
38	que estos Ribaldos me quieren ansi matar 	que ces ribaulx ueullent occire/ |haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars. 	43|44
39	ay buen cauallero 	et se uous pitie de moy 	45
40	si nunca oviste piedad de donçella auelda agora de mi 	car se uous ne me secoures ie suys a la mort liurer. |Et quant boort ouyt 	46|47
41	e no me dexedes asi morir Quando boores oyo 	quelle le prioit si piteusement |si ne scait 	48|49
42	lo que la donçella deçia no supo que façer 	que faire |car uoulentiers luy allast aider 	50|51
43	ca muy de grado la quisiera acorrer si pudiese 	se il peult estre/ 	52
