0	queria fallar muy de grado 	avoir trové. » 	0
1	e luego le conto todo 	Si li conte tote s’aventure issi 	1
2|3	como le auia conel contesçido |asi como el cuento lo a deuisado 	com vos avés oi dire ça arrieres. 	2
4	e luego entendio boores 	tant qu’il conoist bien |que c’est il 	3|4
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer 	qu’ele quiert a, |Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	5|6
6	conosçer antele rrespondio çierto donçella al cauallero 	ains li respont: « |Certes, damoisele, chevalier 	7|8
7	que traia blancas armas no conozco yo 	qui porte escu blanc ne conois je nul. — 	9
8	Pardios dixo la donçella mucho me Pesa caramjente 	En non Dieu, sire, fet ele, |ce poise moi chierement. » 	10|11
9	e boores non quiso conella mas estar 	Et il n’en tient plus a li parole, |ains part si tost 	12|13
10	e acomendo la a dios 	com il l’ot commandee a Dieu a 	14
11	e fuese e andubo tanto 	et chevalche en tel maniere jusqu’a tierce 	15
12	que salio dela floresta 	tant qu’il vint a l’issue de la forest; 	16
13|14	e dexo el camino e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	et il torne a destre vers un chemin viés et ancien; 	17
15	e non andubo mucho 	si ne demora gueres 	18
16|17	porque llego a vn valle |Por do corria vn agua muy negra e fea e fonda 	qu’il vint a une eve P lee et parfonde, 	19
18	e non fallo puente 	mais il n’i trueve pont 	20
19	por do Pudiese pasar 	ne gué ne passage nul. 	21
20	e cato dela otra parte Del agua 	Et il regarde d’autre part de l’eve, 	22
21|22	e vio vn castillo muy bien asentado |çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	23
23	ca mucho se pagaua delo catar 	dont la façons li plest molt a regarder, 	24
24	e despues torno la rribera ayuso 	puis s’en torne contreval la riviere	25
25	Por saber si podria fallar puente 	por savoir |s’il i peust trover ne pont ne gué, 	26|27
26	Por do pasase mas el no pudo fallar ninguna 	mais il n’en trueve point |et quant il voit 	28|29
		qu’il n’i passera, 	30
27	e boores desque esto vido no sabia que se façer 	si ne set |que fere, 	31|32
28	ca el no se queria tomar en ninguna manera 	que retorner ne voldroit il mie. 	33
29	Ansi estando vio del castillo salir vna donçella en camisa 	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise,	34|35
30	que traian quatro rribaldos muy sañudamente 	si le menoient troi vilain molt vilainement a 	36
31	e cadavno traia enla mano vna lança 	et tenoit chescuns une hache en sa main; 	37
32	e ella daua vozes 	et ele crioit 	38
33	quanto podia dar 	quanque ele pooit crier |por els 	39|40
34	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar 	qui li faisoient tel honte et tel laidure |qu’il la venoient batant tot contreval la riviere. 	41|42
35	e quando la donçella vio a bores dela otra parte del agua 	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	43
36	començo a dar vozes 	si commence a crier: « 	44
37	e a deçir ay jentil cauallero acorred a esta donçella 	Ha, gentilz chevaliers, secorés ceste damoisele 	45
38	que estos Ribaldos me quieren ansi matar 	que cist ribaut vuelent ocirre. 	46
39	ay buen cauallero 	Ha, frans hom, |ne m’i laissiés morir, 	47|48
40	si nunca oviste piedad de donçella auelda agora de mi 	se vos onques eustes pitié de nule gentil damoisele !» |Quant Boors ot ce 	49|50
41	e no me dexedes asi morir Quando boores oyo 	qu’ele li prie |si pitousement 	51|52
42	lo que la donçella deçia no supo que façer 	qu'il la secore, |si ne set que fere, 	53|54
43	ca muy de grado la quisiera acorrer si pudiese 	kar volentiers li aidast |s’il peust; 	55|56
44	Mas el agua hera muy fonda e peligrosa e negra e bien cuidaua morir 	mais il voit l’eve noire et parfonde |et si perilluse 	57|58
		qu’il cuide bien noier, 	59
45	si se y Metiese 	s’il se met dedens; 	60
46	e dela otra parte veya la donçella 	et d'autre part il voit cele 	61
47	que muy afincada mente le pedia merçed 	qui si durement crie merci; 	62
48	e ovo tal piedad della 	si l'em prent tels pitiés 	63
49	que le fiço todo el miedo perder 	qu’il en laisse totes poors 	64
50	e fiço la señal dela cruz sobre si 	et fet le signe de la crois en mi son vis, 	65
51	e enbraço el escudo 	puis enbrace l’escu 	66
52	e firio al cauallo de las espuelas 	et broche le cheval des esperons |et se fiert en l’eve. 	67|68
53	e lanço se en el agua e el cauallo començo de nadar luego 	Et li chevals fu fors,|si commence a noer 	69|70
54	e perdio tierra en tal manera 	si tost com il ot terre perdue, 	71
55	que paso dela otra parte del agua 	si l’enporte d’autre part de la rive a quelque paine, 	72
56	mas ante beuio el cauallo del agua 	mais ançois ot beu de l’eve li uns et li autre, 	73
57	e si el caballo tan bueno no fuera sin dubda 	et se li chevals ne fust si buens, 	74
58	el moriera enel agua 	noié fuissent ambedui, 	75
59|60	e boores |porel peso delas armas 	kar li chevaliers estoit pesans por les armes 	76
61	que llebaua 	qu’il avoit vestues. 	77
62	e desque fue dela otra Parte del agua dexo se correr aquellos que la donçella tenian 	Quant il fu de l’autre part de l’eve, |si ne descendi pas, 	78|79
		ains cort vers cels 	80
		qui la damoisele tenoient 	81
63	e firio al primero 	et fiert si le premier 	82
64	que encontro en tal manera 	qu’il aconsieut 	83
65	que le metio la lança porel cuerpo 	qu’il li met le glaive par mi le cors, 	84
66	e los otros dos 	si l’abat a terre, |et li autre s’enfuient erraument 	85|86
67|68	que aquello vieron fuyeron luego por miedo de no ser muertos |ca todos estauan desarmados 	por ce que desarmé estoient. 	87
69	e la donçella desque aquello vido finco los ynojos ante boores 	Et la damoisele|qui delivree se voit se met a genols devant Boort 	88|89
70	e dixo 	et dist: « 	90
71	ay jentil cauallero vendito seades de dios que asi me librastes de muerte 	Ha, gentils chevaliers, de Dieu soiés vos beneois, |quant vos m’avés de mort rescosse, 	91|92
72	e bendito sea dios 	et aorés en soit Diex, 	93
73	que aqui vos traxo 	quant il ceste part vos amena, 	94
74|75	que estos villanos me hubieran muerto |si por vos no fuera donçella 	kar cist gloton m’euissent ja morte. — Damoisele, fet il,	95
76|77	dixo boores |Por que señor dixo ella 	por quoi ? — Sire fet ele, jel vos dirai bien, 	96
78|79	yo vos lo dire |mas ante conuiene 	mais	97
80	que non aya miedo de ninguno 	que vos m’aiés mise a sauveté. — 	98
81|82	Donzella dixo boores |de quien auedes miedo 	Coment ? fet il. Avés vos dont garde ? — 	99
83	señor dixo ella 	Certes, fet ele, ja asseur ne seraî fant |com je sache laiens le seignor del chastel, 	100|101
84	del señor del castillo ca es el mas follon omne de todo el mundo 	kar c’est li plus fel chevaliers del monde et li plus traîtres. » A ces paroles voient issir I. chevalier del chastel 	102
