0	queria fallar muy de grado 	auoir troue fait elle. 	0
1	e luego le conto todo 	si li conte toute sauenture 	1
2	como le auia conel contesçido 	si com li contes la retrait cha en arriere. |Tant que il connoist bien 	2|3
3	asi como el cuento lo a deuisado 	quele le quiert. 	4
4	e luego entendio boores 	Mais pour le courous 	5
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer 	quil a del senescal. |ne se volt il faire aconnoistre. 	6|7
6	conosçer antele rrespondio çierto donçella al cauallero 	Ains li respont. |Certes damoisele le cheualier 	8|9
7	que traia blancas armas no conozco yo 	qui porte blanches armes 	10
8|9	Pardios dixo la donçella mucho me Pesa caramjente |e boores non quiso conella mas estar 	ne connois iou mie. Enon dieu sire fait elle che poise moi moult durement. 	11
10	e acomendo la a dios 	Lors le commande a dieu 	12
11	e fuese e andubo tanto 	et puis sen part de li |et cheuauche en tel maniere iusques a tierce.	13|14
12	que salio dela floresta 	Tant que il vint a lissue de la forest. 	15
13|14	e dexo el camino e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	et torne a destre en vn petit chemin viez 	16
15	e non andubo mucho 	Si ne demora gaires 	17
16	porque llego a vn valle 	quil vint en vne moult grant ualee 	18
17	Por do corria vn agua muy negra e fea e fonda 	ou il couroit vne aigue grant et roide et parfunde. 	19
18|19	e non fallo puente |por do Pudiese pasar 	mais il ni troeue ne pont ne passage. 	20
20	e cato dela otra parte Del agua 	Et il regarde de lautre part de laigue 	21
21|22	e vio vn castillo muy bien asentado |çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. Il regarde le chastel grant piece 	22
23	ca mucho se pagaua delo catar 	dont la fachons li plaisoit moult a regarder. 	23
24	e despues torno la rribera ayuso 	puis sen torne contremont la riuiere 	24
25	Por saber si podria fallar puente 	pour sauoir |se il troueroit ne pont ne gue. 	25|26
26	Por do pasase mas el no pudo fallar ninguna 	mais il ni trueue nul passage. |Et	27|28
27	e boores desque esto vido no sabia que se façer 	quant il voit chou |si ne set 	29|30
28	ca el no se queria tomar en ninguna manera 	que faire |quar retorner ne volroit il en nulle maniere. 	31|32
29	Ansi estando vio del castillo salir vna donçella en camisa 	Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	33
30	que traian quatro rribaldos muy sañudamente 	si le menoient. iiij. ribaut moult felenessement	34
31	e cadavno traia enla mano vna lança 	et tenoit Cascuns en sa main. i. coutel trenchant. 	35
32	e ella daua vozes 	Et elle crioit	36
33	quanto podia dar 	quamque elle pooit por chiaus 	37
34	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar 	qui li faisoient tel laidure. |quar il lenmenoient tot contreual la riuiere batant 	38|39
35	e quando la donçella vio a bores dela otra parte del agua 	Et quant elle vit le cheualier de lautre part de laigue. 	40
36	començo a dar vozes 	si li commenche a crier. 	41
37	e a deçir ay jentil cauallero acorred a esta donçella 	Ha : gentils homs |quar secoures ceste damoisele 	42|43
		que cist ribaut voelent ochirre. 	44
38	que estos Ribaldos me quieren ansi matar 	Pour dieu |ne mi laissies ore mie morir. 	45|46
39	ay buen cauallero 	se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame |Quant bohors oy 	47|48
40	si nunca oviste piedad de donçella auelda agora de mi 	que la damoisele li prioit si piteusement de li secorre 	49
41	e no me dexedes asi morir Quando boores oyo 	si One sot	50
42	lo que la donçella deçia no supo que façer 	que faire |quar volentiers li alast aidier 	51|52
43	ca muy de grado la quisiera acorrer si pudiese 	sil peust estre 	53
44	Mas el agua hera muy fonda e peligrosa e negra e bien cuidaua morir 	mais il voit laigue parfonde et perillouse et noire. |si quide bien morir	54|55
45	si se y Metiese 	se il si met 	56
46	e dela otra parte veya la donçella 	Et dautre part voit il cels 	57
47	que muy afincada mente le pedia merçed 	qui si piteusement li crie merci. 	58
48	e ovo tal piedad della 	si len prent tele pities 	59
49	que le fiço todo el miedo perder 	quil en laisse toute paour 	60
50	e fiço la señal dela cruz sobre si 	et met le signe de la vraie crois en mi son front |et en mi son pis. 	61|62
51|52	e enbraço el escudo |e firio al cauallo de las espuelas 	puis enbrace son escu et fiert le cheual des esperons 	63
53	e lanço se en el agua e el cauallo començo de nadar luego 	et se lance en laigue. |Et li cheuaus commence a noier: 	64|65
54	e perdio tierra en tal manera 	si tost |quil a terre perdue. 	66|67
