0|1	queria fallar muy de grado|e luego le conto todo	Sire fait elle	0
2	como le auia conel contesçido	pour ce que ie le uoudroie auoir trouue	1
3	asi como el cuento lo a deuisado	si luy compte toute sauanture|ansi comme le comte la dit cy deuant	2|3
4	e luego entendio boores	tant que il cognoist bien	4
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	que cest il quelle quiert|Mais pour le courroux quil a de la mort au seneschal ne se ueult il faire cognoistre Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier	5|6
6	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	qui porte escu blanc|Certes sire fait elle ce me poise	7|8
7	e boores non quiso conella mas estar	et il ne tient plus parole a luy|ains sem part	9|10
8|9	e acomendo la a dios|e fuese	si tost quil leut commandee a dieu	11
10|11	e andubo tanto|que salio dela floresta	et cheuauche en telle maniere iucqua tierce tant quil uient a lissue de la fourest	12
12|13	e dexo el camino|e tomo a mano derecha vn camino pequeño	et il tourne a destre vers ung chemin uieil	13
14|15	e biejo lleno de yerba|e non andubo mucho	et ancien	14
16|17	porque llego a vn valle|Por do corria vn agua muy negra	Si ne demoura gueres quil uient a une caue lee	15
18|19	e fea|e fonda	et parfonde	16
20|21	e non fallo puente|por do Pudiese pasar	mais il ny treuue pont ne gue ne passage nul	17
22	e cato dela otra parte Del agua	et il regarde de lautrepart de leaue	18
23	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde	19
24	e el cato gran pieça el castillo	Il regarde grant piece le chastel	20
25	ca mucho se pagaua delo catar	dont la facon luy plaist moult a regarder	21
26|27	e despues torno la rribera ayuso|Por saber	puis sen retourne tout contreual la riuiere pour sauoir sil pourroit trouuer ne pont ne gue	22
28	si podria fallar puente	Mais il ny en treuue point	23
29	Por do pasase mas el no pudo fallar ninguna	Et quant il uoit quil ne puet passer	24
30	e boores desque esto vido no sabia	si ne scet	25
31	que se façer	que faire	26
32	ca el no se queria tomar en ninguna manera	car retourner ne uouldroit il pas	27
33	Ansi estando vio del castillo salir vna donçella en camisa	Adonc uoit yssir du chastel une damoisele|qui estoit toute nue en sa chemise	28|29
34	que traian quatro rribaldos muy sañudamente	si la menoyent quatre nibaux moult uilainement	30
35	e cadavno traia enla mano vna lança	et tenoit ch̃un une hache en sa main	31
36	e ella daua vozes	et elle crioit tant quelle pouoit crier pour ceulx	32
37	quanto podia dar	qui luy faisoient tel honte	33
38	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	et telle laidure|qui la uenoient batant tout contreual la riuiere	34|35
39	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	Et quant la damoisele uoit le cheualier de lautre part de leaue	36
40	e a deçir ay jentil cauallero acorred a esta donçella	si luy commence a crier haa gentili cheualier secourez ceste damoisele	37
41	que estos Ribaldos me quieren	que ces ribaux ueulent occire	38
42	ansi matar ay buen cauallero	Haa franc homme ne me lessez mourir	39
43|44	si nunca oviste piedad de donçella auelda agora de mi|e no me dexedes	si uous eustes onc pitie de nulle gentilz damoisele	40
45|46	asi morir|Quando boores oyo	quant boort ouy celle	41
47	lo que la donçella deçia no supo	qui le prie|si piteusement quil la sequeure il ne scait	42|43
48	que façer	que faire	44
49	ca muy de grado la quisiera acorrer	car uoulentiers luy alast aider sil peust	45
50	si pudiese Mas el agua hera muy fonda	mais il uoit leaue parfonde noire	46
51	e peligrosa	et perilleuse	47
52|53	e negra|e bien cuidaua morir	que il cuide bien mourir sil	48
54	si se y Metiese	si mect dedans	49
55	e dela otra parte veya la donçella	Et dautre part il uoit celle	50
56	que muy afincada mente le pedia merçed	qui si fort luy crie mercy	51
57|58	e ovo tal piedad della|que le fiço todo el miedo perder	si luy en prent telle pitie quil en laisse toute paour	52
59	e fiço la señal dela cruz sobre	si en fait le signe de la croix enmy son uis	53
60	si e enbraço el escudo	puis embrace lescu	54
61	e firio al cauallo de las espuelas	et broche le cheual des esperons	55
