0|1	queria fallar muy de grado|e luego le conto todo	Sire fait elle enuellopee quil ne la pouoit cengnoistre pour	0
2	como le auia conel contesçido	pour ce que ie le uouldroie auoir trouue	1
3	asi como el cuento lo a deuisado	si luy compte toute son auanture tant quil cengnoit bien|que cest celle	2|3
4	e luego entendio boores	qui le quiert|Mais pour le couroust quil a du sencchal	4|5
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	et de sa mort ne se uoult faire congnoistre|mes leur respont certes damoiselle ie ne cengnois mie le cheualier	6|7
6	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	qui porte les blances armes|En nen dieu fait elle il me poyse monlt chierement	8|9
7	e boores non quiso conella mas estar	A	10
8	e acomendo la a dios	donc sen part|et ne uoult plus parler il la commandee a dieu	11|12
9	e fuese	et sen ua	13
10|11	e andubo tanto|que salio dela floresta	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest	14
12|13	e dexo el camino|e tomo a mano derecha vn camino pequeño	et il tourna a destre uers ung petit chemyn uieil:	15
14|15	e biejo lleno de yerba|e non andubo mucho	si ne demoura gueres quil uint en une uallee	16
16|17	porque llego a vn valle|Por do corria vn agua muy negra	ou il couroit une eau monlt roidde la quelle estoit grande	17
18|19	e fea|e fonda	et parfonde	18
20|21	e non fallo puente|por do Pudiese pasar	et ne treuue ne pont ne planche par ou il puisse passer	19
22	e cato dela otra parte Del agua	Sy regarde de laultre part de leaue	20
23	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	et uoit ung beau chastel monlt bien seant|et bien cloz de muraille tout entour	21|22
24	e el cato gran pieça el castillo	Il regarde le chastel grant pieche	23
25	ca mucho se pagaua delo catar	car monlt luy plaisoit a uoir	24
26|27	e despues torno la rribera ayuso|Por saber	puis sen tourne contre ual la riuiere pour scauoir sil pouroit trouuer ne pont ne gue par le	25
28	si podria fallar puente	quel il puisse passer	26
29	Por do pasase mas el no pudo fallar ninguna	mes il nen truue point|Et il uoit ce	27|28
30	e boores desque esto vido no sabia	si ne scait	29
31	que se façer	que faire	30
32	ca el no se queria tomar en ninguna manera	car retourner ne uoulloit pas	31
33	Ansi estando vio del castillo salir vna donçella en camisa	A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise	32
34	que traian quatro rribaldos muy sañudamente	sy la menoient quatre ribaulx monlt felonneusement	33
35	e cadavno traia enla mano vna lança	et tenoient chascun en sa main ung coustel trenchant	34
36	e ella daua vozes	Et la damoiselle crioit tant comme elle pouoit pour la laidure|et honte	35|36
37	quanto podia dar	que telx ribaulx luy faisoient	37
38	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	et la menoient batant contre ual la riuiere	38
39	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	Et quant la damoyselle uoit le cheualier de lautre coste de la ry|uiere commenca a crier	39|40
