0	queria fallar muy de grado	avere trovato	0
1	e luego le conto todo	Si gli conta tutta sua aventura	1
2|3	como le auia conel contesçido|asi como el cuento lo a deuisado	si come el libro l à trattato qua adietro	2
4	e luego entendio boores	tanto che conosce bene	3
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	che ciò est elli quelli cui ella chiede ma per lo cruccio|ch egli à della morte del siniscalco non	4|5
		si vuole fare cognoscere anzi le risponde	6
		'Certo damigella il cavaliere	7
6	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	che porta lo scudo bianco non ne so io nulla|—A nome di Dio dis ella ciò pesa a mes	8|9
7	e boores non quiso conella mas estar	E non tenne più a llei parole anzi|si parti	10|11
8|9	e acomendo la a dios|e fuese	si tosto come l à comandata a dDio	12
10	e andubo tanto	e cavalca tanto in tale maniera infino qua a terza	13
11|12	que salio dela floresta|e dexo el camino	tanto che viene a l uscita della foresta	14
13	e tomo a mano derecha vn camino pequeño	Ed|e torna a destra inverso uno camino vecchio	15|16
14|15	e biejo lleno de yerba|e non andubo mucho	e antico	17
16|17	porque llego a vn valle|Por do corria vn agua muy negra	si non dimora guari	18
18|19	e fea|e fonda	che viene a una acqua lata	19
20|21	e non fallo puente|por do Pudiese pasar	e perfonda ma e' non vi truova né ponte né guado né passaggio nullo	20
22	e cato dela otra parte Del agua	Ed elli isguarda d altra parte dell acqua	21
23	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	si vide uno piccolo castello molto ben sedente chiuso d uno muro battagliato tutto intorno alla ritonda	22
24	e el cato gran pieça el castillo	eElli riguarda gran peza il castello	23
25	ca mucho se pagaua delo catar	donde la fazion gli piace molto al riguardare poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare né ponte né guado ma	24
26	e despues torno la rribera ayuso	e non ve ne truova punto|e quand	25|26
27	Por saber	e vede	27
28	si podria fallar puente	che non potrà passare	28
29|30	Por do pasase mas el no pudo fallar ninguna|e boores desque esto vido no sabia	si non sa	29
