0|1	queria fallar muy de grado|e luego le conto todo	avoir trové	0
2|3	como le auia conel contesçido|asi como el cuento lo a deuisado	Si li conte tote s aventure issi com vos avés oi dire ça arrieres	1
4	e luego entendio boores	tant qu il conoist bien	2
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	que c est il qu ele quiert a|Mais por le coros de la mort al seneschal ne se volt fere conoistre	3|4
6	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	ains li respont Certes|damoisele	5|6
7	e boores non quiso conella mas estar	chevalier|qui porte escu blanc ne conois je nul	7|8
8	e acomendo la a dios	— En non Dieu|sire	9|10
9	e fuese	fet ele	11
10|11	e andubo tanto|que salio dela floresta	ce poise moi chierement	12
12	e dexo el camino	Et il n en tient plus a li parole	13
13	e tomo a mano derecha vn camino pequeño	ains part|si tost com il l ot commandee a Dieu a	14|15
14	e biejo lleno de yerba	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;|et il torne a destre vers un chemin viés	16|17
15	e non andubo mucho	et ancien;	18
16|17	porque llego a vn valle|Por do corria vn agua muy negra	si ne demora gueres qu il vint a une eve P lee	19
18|19	e fea|e fonda	et parfonde	20
20|21	e non fallo puente|por do Pudiese pasar	mais il n i trueve pont ne gué ne passage nul	21
22	e cato dela otra parte Del agua	Et il regarde d autre part de l eve|si voit I	22|23
23	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	petit chastel molt bien seant|clos de mur bateillié tot entor a la roonde	24|25
24	e el cato gran pieça el castillo	ll regarde grant piece le chastel	26
25	ca mucho se pagaua delo catar	dont la façons li plest molt a regarder	27
26|27	e despues torno la rribera ayuso|Por saber	puis s en torne contreval la riviere por savoir s il i peust trover ne pont ne gué	28
28|29	si podria fallar puente|Por do pasase mas el no pudo fallar ninguna	mais il n en trueve point	29
30	e boores desque esto vido no sabia	et quant il voit qu il n i passera|si ne set	30|31
31	que se façer	que fere	32
32	ca el no se queria tomar en ninguna manera	que retorner ne voldroit il mie	33
33	Ansi estando vio del castillo salir vna donçella en camisa	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	34|35
34	que traian quatro rribaldos muy sañudamente	si le menoient troi vilain molt vilainement a	36
35	e cadavno traia enla mano vna lança	et tenoit chescuns une hache en sa main;	37
36	e ella daua vozes	et ele crioit quanque ele pooit crier por els	38
37	quanto podia dar	qui li faisoient tel honte	39
38	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	et tel laidure qu il la venoient batant tot contreval la riviere	40
39	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	Et quant la damoisele vit le chevalier de l autre part de ! l eve|si commence a crier Ha	41|42
40	e a deçir ay jentil cauallero acorred a esta donçella	gentilz chevaliers|secorés ceste damoisele	43|44
41	que estos Ribaldos me quieren	que cist ribaut vuelent ocirre	45
42	ansi matar ay buen cauallero	Ha	46
43	si nunca oviste piedad de donçella auelda agora de mi	frans hom	47
44|45	e no me dexedes|asi morir	ne m i laissiés morir	48
