0	queria fallar muy de grado	auoir troue fait elle	0
1	e luego le conto todo	si li conte toute sauenture	1
2|3	como le auia conel contesçido|asi como el cuento lo a deuisado	si com li contes la retrait cha en arriere	2
4	e luego entendio boores	Tant que il connoist bien quele le quiert	3
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	Mais pour le courous quil a del senescal|ne se volt il faire aconnoistre	4|5
		Ains li respont	6
6	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	Certes damoisele le cheualier|qui porte blanches armes ne connois iou mie	7|8
7	e boores non quiso conella mas estar	Enon dieu sire fait elle che poise moi moult durement	9
8	e acomendo la a dios	ors le commande a dieu	10
9	e fuese	& puis sen part de li	11
10	e andubo tanto	& cheuauche en tel maniere iusques a tierce	12
11	que salio dela floresta	Tant que il vint a lissue de la forest	13
12|13	e dexo el camino|e tomo a mano derecha vn camino pequeño	et torne a destre en vn petit chemin viez	14
		Si ne demora gaires quil vint en vne moult grant ualee ou il couroit vne aigue grant	15
14	e biejo lleno de yerba	et roide|et parfunde	16|17
15|16	e non andubo mucho|porque llego a vn valle	mais il ni troeue ne pont ne passage	18
17	Por do corria vn agua muy negra	Et il regarde de lautre part de laigue	19
18	e fea	si y uoit	20
19	e fonda	j	21
20|21	e non fallo puente|por do Pudiese pasar	castel moult bien seant	22
22|23	e cato dela otra parte Del agua|e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	clos de mur bateillie tout entor a la reonde	23
24	e el cato gran pieça el castillo	Il regarde le chastel grant piece	24
25	ca mucho se pagaua delo catar	dont la fachons li plaisoit moult a regarder	25
26|27	e despues torno la rribera ayuso|Por saber	puis sen torne contremont la riuiere pour sauoir se il troueroit ne pont ne gue	26
28|29	si podria fallar puente|Por do pasase mas el no pudo fallar ninguna	mais il ni trueue nul passage	27
30	e boores desque esto vido no sabia	Et quant il voit chou|si ne set	28|29
31	que se façer	que faire	30
32	ca el no se queria tomar en ninguna manera	quar retorner ne volroit il en nulle maniere	31
33	Ansi estando vio del castillo salir vna donçella en camisa	Lors uoit issir del castel vne damoisele toute nue en sa chemise|si le menoient	32|33
34	que traian quatro rribaldos muy sañudamente	iiij|ribaut moult felenessement	34|35
35	e cadavno traia enla mano vna lança	et tenoit Cascuns en sa main|i	36|37
36	e ella daua vozes	coutel trenchant|Et elle crioit quamque elle pooit por chiaus	38|39
37	quanto podia dar	qui li faisoient tel laidure	40
38	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	quar il lenmenoient tot contreual la riuiere batant	41
39	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	Et quant elle vit le cheualier de lautre part de laigue|si li commenche a crier	42|43
40	e a deçir ay jentil cauallero acorred a esta donçella	Ha : gentils homs|quar secoures ceste damoisele	44|45
41	que estos Ribaldos me quieren	que cist ribaut voelent ochirre	46
42	ansi matar ay buen cauallero	Pour dieu ne mi laissies ore mie morir	47
43|44	si nunca oviste piedad de donçella auelda agora de mi|e no me dexedes	se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame	48
45|46	asi morir|Quando boores oyo	Quant bohors oy	49
47	lo que la donçella deçia no supo	que la damoisele li prioit|si piteusement de li secorre	50|51
		si One sot	52
48	que façer	que faire	53
49	ca muy de grado la quisiera acorrer	quar volentiers li alast aidier sil peust estre	54
50	si pudiese Mas el agua hera muy fonda	mais il voit laigue parfonde	55
51	e peligrosa	& perillouse	56
52	e negra	et noire	57
53	e bien cuidaua morir	si quide bien morir se il	58
54	si se y Metiese	si met	59
55	e dela otra parte veya la donçella	Et dautre part voit il cels	60
56	que muy afincada mente le pedia merçed	qui si piteusement li crie merci	61
57|58	e ovo tal piedad della|que le fiço todo el miedo perder	si len prent tele pitsiles quil en laisse toute paour	62
59	e fiço la señal dela cruz sobre	et met le signe de la vraie crois en mi son front	63
60	si e enbraço el escudo	& en mi son pis|puis enbrace son escu	64|65
61	e firio al cauallo de las espuelas	et fiert le cheual des esperons	66
62	e lanço se en el agua	et se lance en laigue	67
63	e el cauallo començo de nadar	Et li cheuaus commence a noier:	68
64	luego e perdio tierra en tal manera	si tost quil a terre perdue	69
65	que paso dela otra parte del agua mas ante beuio el cauallo del agua	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns|& li autres	70|71
