0	avoir trové	pout ce	0
1|2	Si li conte tote s' aventure issi com vos avés oi dire ça arrieres|tant	que iele uoul droie auoir trouue siluy compte toute son auanture tant quil cõgnoit bien	1
3	qu' il conoist bien		
4	que c' est il	que cest celle	2
5	qu' ele quiert a	qui le quiert	3
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier	Mais pour le couroust quil a du sencchal|et de sa mort ne se uoult faire congnoistre	4|5
		mes leur respont cer tes damoiselle ie ne cõgnois mie le cheualier	6
7	qui porte escu blanc ne conois je nul	qui porte les blances armes	7
8	— En non Dieu sire fet ele ce poise moi chierement	En nõ dieu fait elle il me poyse monlt chierement	8
9	Et il n' en tient plus a li parole ains part	A|donc sen part	9|10
10	si tost com il l' ot commandee a Dieu a	et ne uoult plus parler il la commãdee a dieu|et sen ua	11|12
11|12	et chevalche en tel maniere jusqu' a tierce tant|qu' il vint a l' issue de la forest;	et cheuauche iusques a tieret eustes onques pitie de nulle gentille dãe oies tant quil uint a lissue de la foiest	13
13|14	et il torne a destre vers un chemin viés|et ancien;	et il tournta desire uers ung petit chemyn uieil:	14
15	si ne demora gueres	si ne demoura gueres quil uint en une uallee	15
16	qu' il vint a une eve P lee	ou il couroit une eau monlt roid de la quelle estoit grande	16
17	et parfonde	et parfonde	17
18	mais il n' i trueve pont ne gué ne passage nul	et ne treuue ne pont ne planche par ou il puisse passer	18
19|20	Et il regarde d' autre part de l' eve|si voit I	Sy regarde de laul tre part de leaue	19
21	petit chastel molt bien seant clos de mur bateillié tot entor a la roonde	⁊ uoit ung beau chastel monlt bien seant|et biencloz de muraille tout entour	20|21
22	ll regarde grant piece le chas tel	Il regar de le chastel grant pieche	22
23	dont la façons li plest molt a regarder	car monl tluy plaisoit a uoir	23
24|25	puis s' en torne contreval la riviere|por savoir s' il i peust trover ne pont ne gué	puis sen tourne contre ual la riuiere pour scauoir sil pouroĩt trouuec ne pont ne gue par le	24
		quel il	25
		puis se passer	26
26	mais il n' en trueve point	mes il nen truue point	27
27|28	et quant il voit|qu' il n' i passera	Et il uoit ce	28
29	si ne set	si ne scait	29
30	que fere	que faire	30
31	que retorner ne voldroit il mie	car retourner ne uoulloit pas	31
32|33	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	A tant uoit yssir une damoiselle du cha stel la quelle estoit toute nue en sa chemise	32
34	si le menoient troi vilain molt vilainement a	sy la menoient quatre ribaulx monlt felonneu sement	33
35	et tenoit chescuns une hache en sa main;	et tenoiẽt chascun en sa main ungeou stel trenchant	34
36|37	et ele crioit quanque ele pooit crier|por els	Et la damoiselle crioit tant commeelle pouoit pour la laidute	35
38|39	qui li faisoient tel honte|et tel laidure	et honte q̃ telx ribaulx lup faisoient	36
40	qu' il la venoient batant tot contreval la riviere	et la menoiẽt hatant contre ual la riuiere	37
41	Et quant la damoisele vit le chevalier de l' autre part de ! l' eve	Et quãt la damoy selle uoit le cheualier de lautre coste del a ry	38
42	si commence a crier Ha gentilz chevaliers secorés ceste damoisele	uiere commenca a crier|et dire en tell maniere Haa beau	39|40
		et gentil cheualier secoures ceste da moiselle	41
43	que cist ribaut vuelent ocirre	que ces ribaulx ueullent occire	42
		haa franc hõme fait elle me lesres uoꝰ ainsi moucir entre les maĩs de telx paillars	43
44	Ha frans hom ne m' i laissiés morir se vos onques eustes pitié de nule gentil damoisele	et se uous pitie de moy|car se uoꝰ ne me secoures ie sups a la mort liurer	44|45
45|46	Quant Boors ot ce|qu' ele li prie	Et quant boort ouyt quelse le prioit	46
47	si pitousement qu'il la secore	si piteusement	47
48	si ne set	si ne scait	48
49	que fere	que faire	49
50	kar volentiers li aidast s' il peust;	car uoulentiers luy all ast aider se il peult estre	50
51	mais il voit l' eve noire	mes il uoit la riuiere pfonde	51
52	et parfonde	et dangereuse a passer	52
53|54	et si perilluse|qu' il cuide bien noier s' il se met dedens;	et scait bien sil ẽtre dedens qͥl se met en peril de moit	53
55	et d'autre part il voit cele	Et daul tre part il uoit celle	54
56	qui si durement crie merci;	qui si piteusemẽt fui crie mercy	55
57|58	si l'em prent tels pitiés|qu' il en laisse totes poors	Si luy en prent teile pitie quil en laisse toute paour	56
		⁊ faitle	57
59|60	et fet le signe de la crois en mi son vis|puis enbrace l' escu	si gne de la croix deuant son uisaige puys embiache son escu	58
61	et broche le cheval des esperons	et fiert soncheual des esperõs	59
62|63	et se fiert en l' eve|Et li chevals fu fors	et se lanche dedens leaue tout erraumẽt:	60
64	si commence a noer	et le cheual commence a noer	61
65	si tost com il ot terre perdue	si tost quil eust terre perdue	62
66	si l' enporte d' autre part de la rive a quelque paine	et sen passe le cheual iusq̃s de laultre part de leaue mes ce fust agrãt paine	63
67	mais ançois ot beu de l' eve li uns	car aĩs quilz feussent passes beurent de leauelun	64
68	et li autre	et lauftre	65
69|70	et se li chevals ne fust|si buens noié fuissent ambedui	et se le cheual neust esie foit	66
71	kar li chevaliers estoit pesans	et don ilz feussent nopes	67
72	por les armes	et lun	68
73	qu' il avoit vestues	⁊ laultrecar lecheualiet estoit fort pesant pour les acmes quil auoit Seconde Gestues	69
74	Quant il fu de l' autre part de l' eve	Quut il fut delautre part de leaue	70
75	si ne descendi pas ains cort vers cels	si ne descẽdist oncq̃s ains courust uers ceulx	71
76	qui la damoisele tenoient	qui la damoiselle tenoient:	72
77	et fiert		
78	si le premier		
79|80	qu' il aconsieut|qu' il li met le glaive par mi le cors	⁊ fiert tellemẽt le premier quil encontre qͥl lui met le glauie pamy le corps	73
81	si l' abat a terre	si labat a terre	74
82|83	et li autre s' enfuient erraument|por ce	⁊ les autres se met tent en fuite	75
84	que desarmé estoient		
85|86	Et la damoisele|qui delivree se voit se met a genols devant Boort	La damoiselle qͥ deliuree se sẽt se met a genoulx deuant lui	76
87	et dist Ha gentils chevaliers de Dieu soiés vos beneois	et lui dit|Haa gen tif cheualier de dieu soiez uous benoit:	77|78
88	quant vos m' avés de mort rescosse		
89	et aorés en soit Diex		
90|91	quant il ceste part vos amena|kar cist gloton m' euissent ja morte	car ces gloutõs me eussẽt occiz se ne feussez uoꝰ	79
92|93	— Damoisele fet il|por quoi	Da moiselle fait il pour quop	80
94	? — Sire fet ele jel vos dirai bien	Sire fait elle ie le uous diray	81
95	mais que vos m' aiés mise a sauveté	mais q̃ uous me aiez mise a sauuete	82
96	— Coment		
97|98	? fet il|Avés vos	E ommẽt fait il auez uous	83
99	dont garde	donc paour	84
100	? — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel	Sire fait esle ia seure ne serap|tant que ie sache leans le seigneur de ce chasteau	85|86
101|102	kar c' est li plus fel chevaliers del monde|et li plus traîtres	car cest le plus fel cheualier du monde	87
103|104	A ces paroles voient issir I|chevalier del chastel	⁊ le plus cruel Ces parolles uoient issir ung cheua lier du chasteau:	88
105	et la ou il vit Boort	⁊ la ou il uoit boort iefuil escrie	89
106	si li escrie Laissiés dans chevaliers la damoisele		
107	que vos n' enmenrois mie! Par mon chief mar le rescosistes	Cheualier laissez la damoiselle par mon chief mal la rescouistes	90
108|109	Si li cort quanqu' il puet le glaive alongié;|et Boors retrait son glaîve a lui del cors a celui	Boort lẽtẽt	91
110|111	qu' il avoit ocis;|si laisse le cheval corre	si lui court tãt qͥl peut du cheual traire le glai ue allongnie	92
