0	avoir trové	avere trovato	0
1	Si li conte tote s' aventure issi com vos avés oi dire ça arrieres	Si gli conta tutta sua aventura|si come el libro l à trattato qua adietro	1|2
2|3	tant|qu' il conoist bien	tanto che conosce bene	3
4|5	que c' est il|qu' ele quiert a	che ciò est elli quelli cui ella chiede	4
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier	ma per lo cruccio|ch egli à della morte del siniscalco non	5|6
		si vuole fare cognoscere	7
		anzi le risponde	8
		: 'Certo	9
		damigella	10
		il cavaliere	11
7	qui porte escu blanc ne conois je nul	che porta lo scudo bianco non ne so io nulla	12
8	— En non Dieu sire fet ele ce poise moi chierement	—A nome di Dio|dis ella	13|14
		ciò pesa a mes	15
9	Et il n' en tient plus a li parole ains part	E non tenne più a llei parole|anzi	16|17
10	si tost com il l' ot commandee a Dieu a	si parti|si tosto come l à comandata a dDio	18|19
11	et chevalche en tel maniere jusqu' a tierce tant	e cavalca tanto in tale maniera infino qua a terza	20
12	qu' il vint a l' issue de la forest;	tanto che viene a l uscita della foresta	21
13	et il torne a destre vers un chemin viés	|e torna a destra inverso uno camino vecchio	22|23
14	et ancien;	e antico	24
15	si ne demora gueres	si non dimora guari	25
16	qu' il vint a une eve P lee	che viene a una acqua lata	26
17	et parfonde	e perfonda	27
18	mais il n' i trueve pont ne gué ne passage nul	ma e' non vi truova né ponte né guado né passaggio nullo	28
19|20	Et il regarde d' autre part de l' eve|si voit I	Ed elli isguarda d altra parte dell acqua	29
21	petit chastel molt bien seant clos de mur bateillié tot entor a la roonde	si vide uno piccolo castello molto ben sedente|chiuso d uno muro battagliato tutto intorno alla ritonda	30|31
22	ll regarde grant piece le chas tel	eElli riguarda gran peza il castello	32
23	dont la façons li plest molt a regarder	donde la fazion gli piace molto al riguardare	33
24|25	puis s' en torne contreval la riviere|por savoir s' il i peust trover ne pont ne gué	poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare né ponte né guado	34
26	mais il n' en trueve point	ma|e non ve ne truova punto	35|36
27	et quant il voit	e quand|e vede	37|38
28	qu' il n' i passera	che non potrà passare	39
29	si ne set	si non sa	40
30	que fere	che fare	41
31	que retorner ne voldroit il mie	ché ritornare non vorebbe elli mica	42
32	Atant voit issir del chastel une damoisele	?Atanto vide uscire una damigella del castello	43
33	qui ert tote nue en sa chemise	ch era tutta ignuda in sua camicia solamente	44
34	si le menoient troi vilain molt vilainement a	si lla menavano iiii|rubaldi molto villanamente	45|46
35	et tenoit chescuns une hache en sa main;	e tenieno ciascuno una acciaia in sua mano	47
36	et ele crioit quanque ele pooit crier	Ed ella grida quanto	48
37	por els	ch ella può gridare per coloro	49
38	qui li faisoient tel honte	che lle facieno cotale onta	50
39	et tel laidure	e tal ladiura	51
40	qu' il la venoient batant tot contreval la riviere	ch elli la menavano battendo tutto contravalle la riviera	52
41	Et quant la damoisele vit le chevalier de l' autre part de ! l' eve	E quando la damigella vide lo cavaliere dall altra parte dell acqua	53
42	si commence a crier Ha gentilz chevaliers secorés ceste damoisele	si gli comincia a gridare|	54|55
		gentile huomo	56
		soccorete questa damigella	57
43	que cist ribaut vuelent ocirre	che questi rubaldi vogliono uccidere	58
		! Hal	59
		franco cavaliere	60
44	Ha frans hom ne m' i laissiés morir se vos onques eustes pitié de nule gentil damoisele	non mi lasciate uccidere|se voi unque aveste piatà di nulla gentile damigella	61|62
45	Quant Boors ot ce	“Quando Boordo ode colei	63
46	qu' ele li prie	che l priega	64
47	si pitousement qu'il la secore	si piatosamente|che lla soccorra	65|66
48	si ne set	si non sa	67
49	que fere	che fare	68
50	kar volentiers li aidast s' il peust;	ché volentieri l andasse ad atare se potesse	69
51	mais il voit l' eve noire	ma|e vede l acqua nera	70|71
52	et parfonde	e profonda	72
53	et si perilluse	e perigliosa	73
54	qu' il cuide bien noier s' il se met dedens;	che crede bene morire s elli|si mette di dentro	74|75
		;	76
55	et d'autre part il voit cele	e d altra parte|e vede colei	77|78
56	qui si durement crie merci;	che si duramente gli grida mercé	79
57	si l'em prent tels pitiés	si ne gli prende tale piatà	80
58	qu' il en laisse totes poors	che ne lascia tutte paure	81
59	et fet le signe de la crois en mi son vis	e si fa el segno della santa croce nel miluogo del suo viso	82
60	puis enbrace l' escu	poscia imbraccia lo scudo	83
61	et broche le cheval des esperons	e broca il cavallo degli sproni	84
62	et se fiert en l' eve	si fiede nell acqua isnellamente	85
63	Et li chevals fu fors		86
64	si commence a noer	incominciò a notare	87
65	si tost com il ot terre perdue	si tosto com'elli ebbe terra perduta	88
66	si l' enporte d' autre part de la rive a quelque paine	si ne l portò d altra parte della riva a qualche pena	89
67|68	mais ançois ot beu de l' eve li uns|et li autre		90
69	et se li chevals ne fust	e se l cavallo non fosse stato	91
70	si buens noié fuissent ambedui	si forte|anegati fossono amenduni	92|93
71|72	kar li chevaliers estoit pesans|por les armes	ché l cavaliere era pesante per l arme	94
73	qu' il avoit vestues	ch elli avea vestite	95
74	Quant il fu de l' autre part de l' eve	Quand|e fu da l altra parte dell acqua	96|97
75	si ne descendi pas ains cort vers cels	si non discende passo	98
		anzi muove il cavallo inverso di coloro	99
76	qui la damoisele tenoient	che lla T tenieno	100
77	et fiert	e fiede	101
78	si le premier	si il primaio	102
79	qu' il aconsieut	ch elli agiugne	103
80	qu' il li met le glaive par mi le cors	che gli mette la lancia per me' il corpo	104
81	si l' abat a terre	si llo abatte a terra	105
82|83	et li autre s' enfuient erraument|por ce	e gli altri se ne fugono tosto per ciò	106
84	que desarmé estoient	che disarmati erano	107
85	Et la damoisele	E la damigella	108
86	qui delivree se voit se met a genols devant Boort	che si vide dilivera|si mette a ginocchia davanti Boordo	109|110
87	et dist Ha gentils chevaliers de Dieu soiés vos beneois	|gentile cavaliere	111|112
88	quant vos m' avés de mort rescosse	diss ella|da Dio siate vo' benedetto quando vo m avete di morte riscossa	113|114
89|90	et aorés en soit Diex|quant il ceste part vos amena	e adorato ne sia lddio quand elli in queste parti vo menò	115
91	kar cist gloton m' euissent ja morte	ché questi guiglioni m avessono già morta	116
		se vo' non foste	117
92	— Damoisele fet il	— Damigella|disse Boordo	118|119
93	por quoi	perché|	120|121
94	? — Sire fet ele jel vos dirai bien	diss ella|bene	122|123
95	mais que vos m' aiés mise a sauveté	ma'|che vo' m abiate messa a salvamento	124|125
96	— Coment	— Come	126
97	? fet il	disse elli	127
98|99	Avés vos|dont garde	avete vo' dunque guardia	128
			129
		sire	130
100	? — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel	diss'ella|già sicura non sarò tanto com io sappia là entro il signore del castello	131|132
101	kar c' est li plus fel chevaliers del monde	ché ciò è il più fiero cavaliere del mondo	133
102	et li plus traîtres	e I più traditore	134
103	A ces paroles voient issir I	A queste parole vidono uscire un cavaliere del castello|e là ov egli vide Boordo	135|136
		si llo isgrida	137
104	chevalier del chastel	Danzi cavaliere	138
		lasciate la damigella	139
		ché vonon la menere mica	140
		e per mio capo male la riscoteste	141
		Si gli corre suso quanto	142
		ch elli puote	143
		la lancia islungata	144
105	et la ou il vit Boort	e Boordo il fiede	145
106	si li escrie Laissiés dans chevaliers la damoisele	si duramente in suo venire|che llo scudo né llo asbergo no llo guerentisce	146|147
107	que vos n' enmenrois mie! Par mon chief mar le rescosistes	che non gli metta per me' il corpo|e ferro	148|149
		e fusto	150
		e que' cade a terra tutto isteso	151
		che più nonn à mestier di medico	152
108	Si li cort quanqu' il puet le glaive alongié;	E quando que del castello vidono insi lor cavaliere abatuto|si ve ne rimandarono immantanente uno altro per quello vendicare	153|154
		che disse a Boordo	155
		che ssi guardi da llui	156
		ch elli il disfida	157
		ed e' dice	158
109	et Boors retrait son glaîve a lui del cors a celui	che disfida lui|PAllora trae la lancia del corpo a colui	159|160
110	qu' il avoit ocis;	ch elli avea morto	161
111	si laisse le cheval corre	si lascia il cavallo andare	162
112	et le fiert	e l fiede	163
113	si tres durement	si duramente	164
114	qu' il l' abat a terre	ch elli Il labatte a terra	165
115	si estordi	si stordito	166
116	qu' il n' a pooir de relever ains gist pasmés	che non à podere di sé rilevare|anzi giace ispasimato	167|168
117	kar il chai	ché fu caduto	169
118	si felenessement	si fellonosamente	170
119	qu' a poi	che a poco	171
120	que la canole del col n'avoit brisee	che non|si ruppe il collo	172|173
121	Et Boors li vet a cheval par desus le cors	e Boordo gli va cavalcando per di suso il corpo	174
122	tant que tot le debrise	tanto che di tutto il dibriscia	175
123	Et lors est la damoisele		176
124	si liee	si lieta	177
125	qu' ele ne puet plus	ch ella non può più	178
126	et dist a Boort Sire nos n' avons mes garde	e disse a Boordo|	179|180
		non no abiamo oggimai guardia	181
127	kar je ne cuit	ch io non credo mica	182
128	qu' il eust plus de chevaliers çaiens	ch egli abbia là entro più cavalieri	183
129	que cestui;	che questi	184
130	si vos dirai ore seurement ce	si vi dirò ora sicuramente ciò	185
131	que vos me demandastes n' a encor gaires	che voi mi domandaste	186
132	— Dites fet il	— Dite|diss elli	187|188
133	— Sire fet ele entre moi	— laPer fé|diss ella	189|190
		intra me	191
134|135	et I|chevalier	e uno cavaliere	192
136	qui mes amis estoit chevalchions hui matin par mi cest chastel	che mio amico era cavalcamo oggi mattinetto per me questo ricetto	193
137	et quant li freres a celui	e quando il fratello di colui	194
138	que vos avés abatu me vit	che voi avete ora abatuto mi vide	195
139	si me volt a force prendre	si mi volle a forza prendere	196
140	kar il m' avoit molt longuement amee;	ché m avea lungamente amato|; simmi prese al freno	197|198
