0	avoir trové	que queria fallar muy de grado|e luego le conto todo	0|1
1	Si li conte tote s' aventure issi com vos avés oi dire ça arrieres	como le auia conel contesçido|asi como el cuento lo a deuisado	2|3
2|3	tant|qu' il conoist bien	e luego entendio boores	4
4|5	que c' est il|qu' ele quiert a	que ael andaua ella buscando	5
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier	mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	6
7|8	qui porte escu blanc ne conois je nul|— En non Dieu sire fet ele ce poise moi chierement	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	7
9	Et il n' en tient plus a li parole ains part	e boores non quiso conella|mas estar	8|9
10	si tost com il l' ot commandee a Dieu a	e acomendo la a dios|e fuese	10|11
11	et chevalche en tel maniere jusqu' a tierce tant	e andubo tanto	12
12	qu' il vint a l' issue de la forest;	que salio dela floresta	13
13	et il torne a destre vers un chemin viés	e dexo el camino|e tomo a mano derecha vn camino pequeño	14|15
14	et ancien;	e biejo lleno de yerba	16
15	si ne demora gueres	e non andubo mucho	17
16	qu' il vint a une eve P lee	porque llego a vn valle	18
		Por do corria vn agua muy negra	19
17	et parfonde	e fea|e fonda	20|21
18	mais il n' i trueve pont ne gué ne passage nul	e non fallo puente|por do Pudiese pasar	22|23
19	Et il regarde d' autre part de l' eve	e cato dela otra parte Del agua	24
20|21	si voit I|petit chastel molt bien seant clos de mur bateillié tot entor a la roonde	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	25
22	ll regarde grant piece le chas tel	e el cato gran pieça el castillo	26
23	dont la façons li plest molt a regarder	ca mucho se pagaua delo catar	27
24	puis s' en torne contreval la riviere	e despues torno la rribera ayuso	28
25	por savoir s' il i peust trover ne pont ne gué	Por saber|si podria fallar puente	29|30
		Por do pasase	31
26	mais il n' en trueve point	mas el no pudo fallar ninguna	32
27|28	et quant il voit|qu' il n' i passera	e boores desque esto vido no sabia	33
29	si ne set		
30	que fere	que se façer	34
31	que retorner ne voldroit il mie	ca el no se queria tomar en ninguna manera	35
32|33	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	Ansi estando vio del castillo salir vna donçella en camisa	36
34	si le menoient troi vilain molt vilainement a	que traian quatro rribaldos muy sañudamente	37
35	et tenoit chescuns une hache en sa main;	e cadavno traia enla mano vna lança	38
36|37	et ele crioit quanque ele pooit crier|por els	e ella daua vozes	39
38|39	qui li faisoient tel honte|et tel laidure	quanto podia dar	40
40	qu' il la venoient batant tot contreval la riviere	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	41
41	Et quant la damoisele vit le chevalier de l' autre part de ! l' eve	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	42
42	si commence a crier Ha gentilz chevaliers secorés ceste damoisele	e a deçir ay jentil cauallero acorred a esta donçella	43
43	que cist ribaut vuelent ocirre	que estos Ribaldos me quieren	44
44	Ha frans hom ne m' i laissiés morir se vos onques eustes pitié de nule gentil damoisele	ansi matar ay buen cauallero|si nunca oviste piedad de donçella auelda agora de mi	45|46
45	Quant Boors ot ce		
46	qu' ele li prie	e no me dexedes	47
47	si pitousement qu'il la secore	asi morir|Quando boores oyo lo	48|49
48	si ne set	que la donçella deçia no supo	50
49	que fere	que façer	51
50	kar volentiers li aidast s' il peust;	ca muy de grado la quisiera acorrer	52
51|52	mais il voit l' eve noire|et parfonde	si pudiese Mas el agua hera muy fonda	53
53	et si perilluse	e peligrosa|e negra	54|55
54	qu' il cuide bien noier s' il se met dedens;	e bien cuidaua morir|si se y Metiese	56|57
55	et d'autre part il voit cele	e dela otra parte veya la donçella	58
56	qui si durement crie merci;	que muy afincada mente le pedia merçed	59
57	si l'em prent tels pitiés	e ovo tal piedad della	60
58	qu' il en laisse totes poors	que le fiço todo el miedo perder	61
59	et fet le signe de la crois en mi son vis	e fiço la señal dela cruz sobre	62
60	puis enbrace l' escu	si e enbraço el escudo	63
61	et broche le cheval des esperons	e firio al cauallo de las espuelas	64
62	et se fiert en l' eve	e lanço se en el agua	65
63|64	Et li chevals fu fors|si commence a noer	e el cauallo començo de nadar luego	66
65	si tost com il ot terre perdue	e perdio tierra en tal manera	67
66	si l' enporte d' autre part de la rive a quelque paine	que paso dela otra parte del agua	68
67	mais ançois ot beu de l' eve li uns	mas ante beuio el cauallo del agua	69
68	et li autre		
69|70	et se li chevals ne fust|si buens noié fuissent ambedui	e si el caballo tan bueno no fuera sin dubda el moriera enel agua	70
71|72	kar li chevaliers estoit pesans|por les armes	e boores porel peso delas armas	71
73	qu' il avoit vestues	que llebaua	72
74|75	Quant il fu de l' autre part de l' eve|si ne descendi pas ains cort vers cels	e desque fue dela otra Parte del agua dexo se correr aquellos	73
76	qui la damoisele tenoient	que la donçella tenian	74
77|78	et fiert|si le premier	e firio al primero	75
79	qu' il aconsieut	que encontro en tal manera	76
80|81	qu' il li met le glaive par mi le cors|si l' abat a terre	que le metio la lança porel cuerpo	77
82	et li autre s' enfuient erraument	e los otros dos|que aquello vieron fuyeron luego	78|79
83	por ce	por miedo de no ser muertos	80
84	que desarmé estoient	ca todos estauan desarmados	81
85|86	Et la damoisele|qui delivree se voit se met a genols devant Boort	e la donçella desque aquello vido finco los ynojos ante boores	82
87	et dist Ha gentils chevaliers de Dieu soiés vos beneois	e dixo ay jentil cauallero vendito seades de dios	83
88	quant vos m' avés de mort rescosse	que asi me librastes de muerte	84
89	et aorés en soit Diex	e bendito sea dios	85
90	quant il ceste part vos amena	que aqui vos traxo	86
91	kar cist gloton m' euissent ja morte	que estos villanos me hubieran muerto	87
92	— Damoisele fet il	si por vos no fuera donçella dixo boores	88
93|94	por quoi|? — Sire fet ele jel vos dirai bien	Por que señor dixo ella yo vos lo dire	89
95|96	mais que vos m' aiés mise a sauveté|— Coment	mas ante conuiene	90
97	? fet il		
98	Avés vos		
99|100	dont garde|? — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel	que non aya miedo de ninguno Donzella dixo boores de quien auedes miedo señor dixo ella del señor del castillo	91
101	kar c' est li plus fel chevaliers del monde	ca es el|mas follon omne de todo el mundo	92|93
102	et li plus traîtres	e mas cruel Ellos	94
103|104	A ces paroles voient issir I|chevalier del chastel	asi fablando vieron salir del castillo vn caballero	95
105	et la ou il vit Boort	e quando vido a boores començo le a dar boçes	96
106	si li escrie Laissiés dans chevaliers la damoisele	e a deçir don cauallero a dexar vos conuiene la donzella	97
107	que vos n' enmenrois mie! Par mon chief mar le rescosistes	ca la non lleuaredes|e porla my cabeza ental Punto la acorristes	98|99
108	Si li cort quanqu' il puet le glaive alongié;	e luego se dexaron correr el vno contra el otro	100
109	et Boors retrait son glaîve a lui del cors a celui	e boores lo firio conla lança	101
110|111	qu' il avoit ocis;|si laisse le cheval corre	que auia sacado del cuerpo del villano	102
112|113	et le fiert|si tres durement	que auia muerto en tal manera	103
114	qu' il l' abat a terre	que dio conel Porlas ancas del cauallo a tierra	104
115	si estordi	asi estordido	105
116	qu' il n' a pooir de relever ains gist pasmés	que non se pudo leuantar	106
117|118	kar il chai|si felenessement	asi estaua amorteçido dela cayda	107
119|120	qu' a poi|que la canole del col n'avoit brisee	que las coyunturas del pescuezo tenia quebradas	108
121	Et Boors li vet a cheval par desus le cors	e boores traxo tantas vezes el cauallo sobre el	109
122	tant que tot le debrise	Que todo lo quebranto	110
123	Et lors est la damoisele	e la donçella	111
124	si liee	que aquello vido fue muy alegre	112
125	qu' ele ne puet plus	que mas no lo podia ser	113
126	et dist a Boort Sire nos n' avons mes garde	e dixo a boores señor agora non auedes aqui deque vos	114
127	kar je ne cuit	mas guardar	115
128	qu' il eust plus de chevaliers çaiens	ca eneste castillo no auia|mas deste cauallero segund cuydo	116|117
129	que cestui;	e agora os direlo	118
130|131	si vos dirai ore seurement ce|que vos me demandastes n' a encor gaires	que me preguntastes seguramente Pues deçidmelo dixo boores	119
132	— Dites fet il	asi es dixo la donçella	120
133	— Sire fet ele entre moi	que oy mañana entre mi	121
134|135	et I|chevalier	e vn cauallero	122
136	qui mes amis estoit chevalchions hui matin par mi cest chastel	que hera mi amigo pasamos poreste castillo	123
137	et quant li freres a celui	e quando el señor del castillo hermano de	124
138|139	que vos avés abatu me vit|si me volt a force prendre	aquel que vos derribastes me vido quisome prender afuerça	125
140	kar il m' avoit molt longuement amee;	e trabo del freno demi palafren	126
141	si me prist al frain	e quisome llebar	127
142	et m' en volt mener a force mes mes amis se combati a lui tant	e me vido mi amigo llebar conbatiose conel tanto quelo mato	128
143|144	qu' il l' ocist|Et quant cist	e quando	129
145|146	que vos veez ci ore vit son frere mort|si fist mon ami prendre a force de vilains	aquel que alli esta vido asu ermano muerto fiço prender ami amigo a fuerça de gente	130
147	et de gens	e de villanos	131
148	et l' ocist en venjance de son frere	e matolo en enmienda dela muerte desu hermano	132
149	Mais de moi	e dixo	133
150	por cui Ses freres avoit esté ocis dist il	que demi se vengaria el seguramente	134
151|152	qu' il se vengeroit sans main metre;|si me fist prendre a ces ribaus	porque fui ocasion dela muerte de su hermano entonçe fiço tomar aquellos quatro villanos	135
153	que vos veistes	que vos vistes	136
154	et lor commanda	e mandoles	137
155	qu' il me noiaissent	que me matasen en aquel agua	138
156	kar par armes dist il ne vueil je mie	ca por armas no me queria matar	139
157|158	qu' ele muire ;|si m'enmenoient	e ellos me mataran sin falta	140
159|160	si com vos veistes morir|quant vos me venistes secorre par la volenté de Dieu	si vos porla voluntad de dios	141
161	et par la vostre	e porla vuestra no me acorrierades agora vos	142
162	Or vos ai conté mon errement ;	e contado todo mi acaesçimiento|como me contesçio	143|144
163	si voldroie des Ore mes se vostre plaisirs estoit	e querria	145
164	que vos me menissois a salveté en un mien chastel	que me llebasedes a vn mi castillo	146
165	qui est ci pres	que es çerca de aqui	147
166|167	— Volentiers fet il|Si le prent par les bras	si vos plaze de GraDo dixo boores	148
		e luego echo su escudo alas espaldas	149
168	et le monte par devant lui sor le col de son cheval	e tomola Porel braço|e pusola antesi Ensu caballo	150|151
169	si a geté son escu derieres [c) son dos	e fuese|ansi conella	152|153
170|171	si s' en vet cele part ou la damoisele li enseigne|tant que ce vint aprés midi	por do ella lo yria guiando fasta medio dia	154
