0	avoir trové	auoir troue fait elle	0
1	Si li conte tote s' aventure issi com vos avés oi dire ça arrieres	si li conte toute sauenture|si com li contes la retrait cha en arriere	1|2
2|3	tant|qu' il conoist bien	Tant que il con noist bien quele le quiert	3
4	que c' est il	Mais pour le courous quil a del senescal	4
5	qu' ele quiert a	ne se volt il faire aconnoistre	5
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier	Ains li respont|Certes damoisele le cheualier	6|7
7	qui porte escu blanc ne conois je nul	qui porte blanches arlcol|blmes ne connois iou mie	8|9
8	— En non Dieu sire fet ele ce poise moi chierement	Enon dieu sire fait elle che poise moi moult durement	10
9	Et il n' en tient plus a li parole ains part		
10	si tost com il l' ot commandee a Dieu a	ors le commande a dieu|& puis sen part de li	11|12
11	et chevalche en tel maniere jusqu' a tierce tant	& cheuauche en tel maniere r T iusques a tierce	13
12	qu' il vint a l' issue de la forest;	Tant que il vint a lissue de la forest	14
13	et il torne a destre vers un chemin viés	et torne a destre en vn petit chemin viez	15
14	et ancien;		
15|16	si ne demora gueres|qu' il vint a une eve P lee	Si ne demora gaires quil vint en vne moult grant ualee ou il couroit vne aigue grant	16
		et roide	17
17	et parfonde	et parfunde	18
18	mais il n' i trueve pont ne gué ne passage nul	mais il ni troeue ne pont ne passage	19
19	Et il regarde d' autre part de l' eve	Et il regarde de lautre part de laigue	20
20	si voit I	si y uoit|j	21|22
21	petit chastel molt bien seant clos de mur bateillié tot entor a la roonde	castel moult IS cl bien seant|clos de mur bateillie tout entor a la reonde	23|24
22	ll regarde grant piece le chas tel	Il regarde le chastel grant piece	25
23	dont la façons li plest molt a regarder	dont la fachons li plaisoit moult a regarder	26
24|25	puis s' en torne contreval la riviere|por savoir s' il i peust trover ne pont ne gué	puis sen torne contremont la riuiere pour sauoir se il troueroit ne pont ne gue	27
26	mais il n' en trueve point	mais il ni trueue nul passage	28
27|28	et quant il voit|qu' il n' i passera	Et quant il voit chou	29
29	si ne set	si ne set	30
30	que fere	que faire	31
31	que retorner ne voldroit il mie	quar retorner ne volroit il en nulle maniere	32
32|33	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	Lors uoit issir del castel vne lPtcl damoisele toute nue en sa chemise	33
34	si le menoient troi vilain molt vilainement a	si le menoient|iiij	34|35
		ribaut moult felenessement	36
35	et tenoit chescuns une hache en sa main;	et tenoit Cascuns en sa main|i	37|38
		coutel trenchant	39
36	et ele crioit quanque ele pooit crier	Et elle crioit quamque elle pooit	40
37	por els	por chiaus	41
38	qui li faisoient tel honte	qui li faisoient tel laidure	42
39	et tel laidure		
40	qu' il la venoient batant tot contreval la riviere	quar il lenmenoient tot contreual la riuiere batant	43
41	Et quant la damoisele vit le chevalier de l' autre part de ! l' eve	Et quant elle vit le cheualier de lautre part de laigue	44
42	si commence a crier Ha gentilz chevaliers secorés ceste damoisele	si li commenche a crier|Ha : gentils homs	45|46
		quar secoures ceste damoisele	47
43	que cist ribaut vuelent ocirre	que cist ribaut voelent ochirre	48
44	Ha frans hom ne m' i laissiés morir se vos onques eustes pitié de nule gentil damoisele	Pour dieu ne mi laissies ore mie morir|se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame Nuant bohors oy	49|50
45	Quant Boors ot ce		
46	qu' ele li prie	que la damoisele li prioit	51
47	si pitousement qu'il la secore	si piteusement de li secorre	52
48	si ne set	si One sot	53
49	que fere	que (col|cl faire	54|55
50	kar volentiers li aidast s' il peust;	quar volentiers li alast aidier sil peust estre	56
51	mais il voit l' eve noire	mais il voit laigue parfonde	57
52	et parfonde	& perillouse	58
53	et si perilluse	et noire	59
54	qu' il cuide bien noier s' il se met dedens;	si quide bien morir se il|si met	60|61
55	et d'autre part il voit cele	Et dautre part voit il cels	62
56	qui si durement crie merci;	qui si piteusement li crie merci	63
57|58	si l'em prent tels pitiés|qu' il en laisse totes poors	si len prent tele ° pitsiles quil en laisse toute paour	64
59	et fet le signe de la crois en mi son vis	et met le signe de la vraie crois en mi son front	65
		& en mi son pis	66
60	puis enbrace l' escu	puis enbrace son escu	67
61	et broche le cheval des esperons	et fiert le cheual des esperons	68
62	et se fiert en l' eve	et se lance en laigue	69
63|64	Et li chevals fu fors|si commence a noer	Et li cheuaus commence a noier:	70
65	si tost com il ot terre perdue	si tost quil a terre perdue	71
66|67	si l' enporte d' autre part de la rive a quelque paine|mais ançois ot beu de l' eve li uns	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns	72
68	et li autre	& li autres	73
69	et se li chevals ne fust	Et se li cheuaus ne fust	74
70|71	si buens noié fuissent ambedui|kar li chevaliers estoit pesans	si boins noie fussent ambedui Car li cheualiers estoit pesans pour lez armes quil auoit uestues	75
72	por les armes	si en fu moult en peril|uant bohors ot passe laigue pour la damfolisele secorre ainsi	76|77
73	qu' il avoit vestues	que vous poes oir	78
74	Quant il fu de l' autre part de l' eve		
75	si ne descendi pas ains cort vers cels	si ne descendi mie ains cort sus a chiaus	79
76	qui la damoisele tenoient	qui la damoisele tenoient	80
77|78	et fiert|si le premier	si fiert le premier quil encontre	81
79|80	qu' il aconsieut|qu' il li met le glaive par mi le cors	si durement quil li met le glaiue parmi le cors	82
81	si l' abat a terre	si labat a la terre	83
82|83	et li autre s' enfuient erraument|por ce	Et li autre senfuient pour chou	84
84	que desarmé estoient	que desarme estoient	85
85	Et la damoisele	Et la damoisele	86
		qui deliure se uoit	87
86	qui delivree se voit se met a genols devant Boort	se met maintenant a genouls deuant [col|l bohort	88|89
87	et dist Ha gentils chevaliers de Dieu soiés vos beneois	et dist|ha: gentiex cheualiers de dies oess vous beneois	90|91
88	quant vos m' avés de mort rescosse	quar vous maues de mort rescousse	92
89	et aorés en soit Diex	Et aoures en soit diex	93
90	quant il ceste part vos amena	quant il ceste part vous amena	94
91	kar cist gloton m' euissent ja morte	Car cist glouton meussent morte se vous ne fuissies	95
92	— Damoisele fet il		
93|94	por quoi|? — Sire fet ele jel vos dirai bien	[szsal Damoisele ce dist bohors pourcoi vous voloient il mal faire Sire fait elle iou le vous dirai bien	96
95|96	mais que vos m' aiés mise a sauveté|— Coment	mais que vous maies mise a sauuete Comment fait il aues vous encore paour	97
97|98	? fet il|Avés vos	Sire fait elle ia asseuree ne serai	98
99|100	dont garde|? — Certes fet ele ja asseur ne seraî fant com je sache laiens le seignor del chastel	tant que iou y sache le seignor del chastel :	99
101	kar c' est li plus fel chevaliers del monde	quar cest li plus fel cheualiers del monde	100
102	et li plus traîtres	et li plus desloiaus	101
103	A ces paroles voient issir I	In is el ches paroles voient|j	102|103
104	chevalier del chastel	cheualier issir du castel	104
105	et la ou il vit Boort	Et la ou il voit bohors	105
		TX	106
106	si li escrie Laissiés dans chevaliers la damoisele	si li escrie dans cheualiers laissies ester la damoisele	107
107	que vos n' enmenrois mie! Par mon chief mar le rescosistes	quar vous ne lenmenrois pas|et par mon chief mar le rescousistes	108|109
108	Si li cort quanqu' il puet le glaive alongié;	quar vous le comperres se iou ro	110
109	et Boors retrait son glaîve a lui del cors a celui	puis moult chier|Et quant bohors lentent	111|112
110|111	qu' il avoit ocis;|si laisse le cheval corre	si point vers lui quanque il pot del cheual traire le glaiue alongie quil auoit trait del cors a celui quil auoit ochis	113
112	et le fiert	Si fiert celui	114
113|114	si tres durement|qu' il l' abat a terre	si durement quil labat a terre	115
115|116	si estordi|qu' il n' a pooir de relever ains gist pasmés	si estordi quil not pooir de lui releuer	116
		Ains iut illueques tous pasmes	117
117	kar il chai	quar il cai	118
118	si felenessement	si felenessement	119
119	qu' a poi	que a poi	120
120	que la canole del col n'avoit brisee	que la canoele del col ne li est brisie	121
121	Et Boors li vet a cheval par desus le cors	Et bohors li uait tout a cheual par desus le cors	122
122	tant que tot le debrise	Si que tout le debrise	123
123	Et lors est la damoisele	Et lors est la IPIisal damoisele	124
124	si liee	si lie	125
125	qu' ele ne puet plus	que plus ne puet	126
126	et dist a Boort Sire nos n' avons mes garde	Si dist a bohort sire nous nauons hui mes garde	127
127|128	kar je ne cuit|qu' il eust plus de chevaliers çaiens	Car iou quit quil ni a plus de cheualiers laiens	128
129	que cestui;	que cestui	129
130	si vos dirai ore seurement ce	Si vous dirai ce	130
131	que vos me demandastes n' a encor gaires	que vous me denmandastes|ore le me dites	131|132
132	— Dites fet il	dont fait bohors	133
133	— Sire fet ele entre moi	Par foy sire fait elle entre moi et	134
134	et I	i	135
135	chevalier	cheualier	136
136	qui mes amis estoit chevalchions hui matin par mi cest chastel	qui mes amis estoit cheualchiemes parmi zo chest chastel	137
137	et quant li freres a celui	Et quant li frescol|elres a celui	138|139
138	que vos avés abatu me vit	qui vous aues abatu me uit	140
139	si me volt a force prendre	si me volt auoir|et prendre par force	141|142
140	kar il m' avoit molt longuement amee;	quar il mauoit lonc tamps amee	143
141	si me prist al frain	Si me prist au frain	144
142	et m' en volt mener a force mes mes amis se combati a lui tant	et men volt mener a force|Mais mes anis se combati a luitant quil locist	145|146
143	qu' il l' ocist	[s al	147
144	Et quant cist	Et quant chils cheualiers	148
145	que vos veez ci ore vit son frere mort	que vous uees chi vit son frere mort	149
146	si fist mon ami prendre a force de vilains	si fist mon ami prendre par force de vilains	150
147	et de gens	et locist	151
148	et l' ocist en venjance de son frere		
149	Mais de moi		
150	por cui Ses freres avoit esté ocis dist il	por uen¬ gance de son frere [Rsal quil auoit ochis	152
151	qu' il se vengeroit sans main metre;	Et dist quil se vengeroit de moi sans main metre	153
152	si me fist prendre a ces ribaus	et me fist tantost prendre a ches|iiij	154|155
		ribaus	156
153	que vos veistes	que vous ueistes ore	157
154|155	et lor commanda|qu' il me noiaissent	et lor commanda quil me noiassent	158
156	kar par armes dist il ne vueil je mie	Car par armes dist il ne voeil iou mie	159
157	qu' ele muire ;	que elle muire	160
158|159	si m'enmenoient|si com vos veistes morir	Si me menoient ensi com vous ueistes	161
		por noier	162
