0	avoir trové	Sire fait elle|pour ce que ie le uoudroie auoir trouue	0|1
1	Si li conte tote s aventure issi com vos avés oi dire ça arrieres	si luy compte toute sauanture|ansi comme le comte la dit cy deuant	2|3
2	tant qu il conoist bien	tant que il cognoist bien	4
3	que c est il qu ele quiert a	que cest il quelle quiert	5
4|5	Mais por le coros de la mort al seneschal ne se volt fere conoistre|ains li respont Certes	Mais pour le courroux quil a de la mort au seneschal ne se ueult il faire cognoistre Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier	6
6	damoisele		
7|8	chevalier|qui porte escu blanc ne conois je nul	qui porte escu blanc	7
9	— En non Dieu		
10	sire		
11|12	fet ele|ce poise moi chierement	Certes sire fait elle ce me poise	8
13	Et il n en tient plus a li parole	et il ne tient plus parole a luy	9
14	ains part	ains sem part	10
15	si tost com il l ot commandee a Dieu a	si tost quil leut commandee a dieu	11
16	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;	et cheuauche en telle maniere iucqua tierce tant quil uient a lissue de la fourest	12
17	et il torne a destre vers un chemin viés	et il tourne a destre vers ung chemin uieil	13
18	et ancien;	et ancien	14
19	si ne demora gueres qu il vint a une eve P lee	Si ne demoura gueres quil uient a une caue lee	15
20	et parfonde	et parfonde	16
21	mais il n i trueve pont ne gué ne passage nul	mais il ny treuue pont ne gue ne passage nul	17
22|23	Et il regarde d autre part de l eve|si voit I	et il regarde de lautrepart de leaue	18
24|25	petit chastel molt bien seant|clos de mur bateillié tot entor a la roonde	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde	19
26	ll regarde grant piece le chastel	Il regarde grant piece le chastel	20
27	dont la façons li plest molt a regarder	dont la facon luy plaist moult a regarder	21
28	puis s en torne contreval la riviere por savoir s il i peust trover ne pont ne gué	puis sen retourne tout contreual la riuiere pour sauoir sil pourroit trouuer ne pont ne gue	22
29	mais il n en trueve point	Mais il ny en treuue point	23
30	et quant il voit qu il n i passera	Et quant il uoit quil ne puet passer	24
31	si ne set	si ne scet	25
32	que fere	que faire	26
33	que retorner ne voldroit il mie	car retourner ne uouldroit il pas	27
34	Atant voit issir del chastel une damoisele	Adonc uoit yssir du chastel une damoisele	28
35	qui ert tote nue en sa chemise	qui estoit toute nue en sa chemise	29
36	si le menoient troi vilain molt vilainement a	si la menoyent quatre nibaux moult uilainement	30
37	et tenoit chescuns une hache en sa main;	et tenoit ch̃un une hache en sa main	31
38	et ele crioit quanque ele pooit crier por els	et elle crioit tant quelle pouoit crier pour ceulx	32
39	qui li faisoient tel honte	qui luy faisoient tel honte	33
40	et tel laidure qu il la venoient batant tot contreval la riviere	et telle laidure|qui la uenoient batant tout contreual la riuiere	34|35
41	Et quant la damoisele vit le chevalier de l autre part de ! l eve	Et quant la damoisele uoit le cheualier de lautre part de leaue	36
42|43	si commence a crier Ha|gentilz chevaliers	si luy commence a crier haa gentili cheualier secourez ceste damoisele	37
44	secorés ceste damoisele		
45|46	que cist ribaut vuelent ocirre|Ha	que ces ribaux ueulent occire	38
47|48	frans hom|ne m i laissiés morir	Haa franc homme ne me lessez mourir	39
49	se vos onques eustes pitié de nule gentil damoisele	si uous eustes onc pitie de nulle gentilz damoisele	40
50	Quant Boors ot ce qu ele li prie	quant boort ouy celle|qui le prie	41|42
51|52	si pitousement qu'il la secore|si ne set	si piteusement quil la sequeure il ne scait	43
53	que fere	que faire	44
54	kar volentiers li aidast s il peust;	car uoulentiers luy alast aider sil peust	45
55	mais il voit l eve noire	mais il uoit leaue parfonde noire	46
56	et parfonde	et perilleuse	47
57	et si perilluse qu il cuide bien noier	que il cuide bien mourir sil	48
58	s il se met dedens;	si mect dedans	49
59	et d'autre part il voit cele	Et dautre part il uoit celle	50
60	qui si durement crie merci;	qui si fort luy crie mercy	51
61	si l'em prent tels pitiés qu il en laisse totes poors	si luy en prent telle pitie quil en laisse toute paour	52
62	et fet le signe de la crois en mi son vis	si en fait le signe de la croix enmy son uis	53
63	puis enbrace l escu	puis embrace lescu	54
64	et broche le cheval des esperons	et broche le cheual des esperons	55
65	et se fiert en l eve	et se fiert erraument en leaue	56
66	Et li chevals fu fors	et le cheual fu fort	57
67	si commence a noer	si commence a nouer	58
68	si tost com il ot terre perdue	si tost quil eut terre perdue	59
69	si l enporte d autre part de la rive a quelque paine	si lemporte de lautre part de ma riue a quelque peine	60
70	mais ançois ot beu de l eve li uns	mais ancois eut beu de leaue lun	61
71	et li autre	et lautre	62
72	et se li chevals ne fust	et se le cheual ne eust este	63
73|74	si buens|noié fuissent ambedui	si bon ilz fuszent tous deux noyez	64
75	kar li chevaliers estoit pesans por les armes qu il avoit vestues	car le cħlr estoit pesant pour les armes quil auoit uestues	65
76	Quant il fu de l autre part de l eve	Quant il fu de lautre part de leaue|si ne descendy pas	66|67
		ains court uers ceulx	68
		qui tenoient la damoisele	69
		et fiert	70
		si fort le premier quil actaint quil luy mect le glaiue parmy le corps	71
		si labat a terre	72
		et les autres senfuyent erraument par ce qͥlz estoient desarme	73
		Et la damoisle	74
		qui se uoit deliure se mect a genoux deuant boort	75
		Haa gentilz cheualier fait elle	76
		de dieu soyez uous beneist	77
		dont uous mauez de mort rescousse	78
		et aoure en soit dieu	79
		dont il uous amena ceste part	80
