0	avoir trové	Sire fait elle enuellopee quil ne la pouoit cengnoistre pour|pour ce que ie le uouldroie auoir trouue	0|1
1|2	Si li conte tote s aventure issi com vos avés oi dire ça arrieres|tant qu il conoist bien	si luy compte toute son auanture tant quil cengnoit bien	2
3	que c est il qu ele quiert a	que cest celle|qui le quiert	3|4
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre	Mais pour le couroust quil a du sencchal|et de sa mort ne se uoult faire congnoistre	5|6
5|6	ains li respont Certes|damoisele	mes leur respont certes damoiselle ie ne cengnois mie le cheualier	7
7|8	chevalier|qui porte escu blanc ne conois je nul	qui porte les blances armes	8
9|10	— En non Dieu|sire	En nen dieu fait elle il me poyse monlt chierement	9
11	fet ele		
12|13	ce poise moi chierement|Et il n en tient plus a li parole	A	10
14	ains part	donc sen part	11
15	si tost com il l ot commandee a Dieu a	et ne uoult plus parler il la commandee a dieu|et sen ua	12|13
16	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest	14
17|18	et il torne a destre vers un chemin viés|et ancien;	et il tourna a destre uers ung petit chemyn uieil:	15
19	si ne demora gueres qu il vint a une eve P lee	si ne demoura gueres quil uint en une uallee|ou il couroit une eau monlt roidde la quelle estoit grande	16|17
20	et parfonde	et parfonde	18
21	mais il n i trueve pont ne gué ne passage nul	et ne treuue ne pont ne planche par ou il puisse passer	19
22	Et il regarde d autre part de l eve	Sy regarde de laultre part de leaue	20
23|24	si voit I|petit chastel molt bien seant	et uoit ung beau chastel monlt bien seant	21
25	clos de mur bateillié tot entor a la roonde	et bien cloz de muraille tout entour	22
26	ll regarde grant piece le chastel	Il regarde le chastel grant pieche	23
27	dont la façons li plest molt a regarder	car monlt luy plaisoit a uoir	24
28	puis s en torne contreval la riviere por savoir s il i peust trover ne pont ne gué	puis sen tourne contre ual la riuiere pour scauoir sil pouroit trouuer ne pont ne gue par le|quel il puisse passer	25|26
29	mais il n en trueve point	mes il nen truue point	27
30	et quant il voit qu il n i passera	Et il uoit ce	28
31	si ne set	si ne scait	29
32	que fere	que faire	30
33	que retorner ne voldroit il mie	car retourner ne uoulloit pas	31
34|35	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise	32
36	si le menoient troi vilain molt vilainement a	sy la menoient quatre ribaulx monlt felonneusement	33
37	et tenoit chescuns une hache en sa main;	et tenoient chascun en sa main ung coustel trenchant	34
38	et ele crioit quanque ele pooit crier por els	Et la damoiselle crioit tant comme elle pouoit pour la laidure	35
39	qui li faisoient tel honte	et honte|que telx ribaulx luy faisoient	36|37
40	et tel laidure qu il la venoient batant tot contreval la riviere	et la menoient batant contre ual la riuiere	38
41	Et quant la damoisele vit le chevalier de l autre part de ! l eve	Et quant la damoyselle uoit le cheualier de lautre coste de la ry	39
42	si commence a crier Ha	uiere commenca a crier|et dire en tell maniere Haa beau	40|41
43|44	gentilz chevaliers|secorés ceste damoisele	et gentil cheualier secoures ceste damoiselle	42
45	que cist ribaut vuelent ocirre	que ces ribaulx ueullent occire	43
46	Ha	haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars	44
47	frans hom	et se uous pitie de moy	45
48|49	ne m i laissiés morir|se vos onques eustes pitié de nule gentil damoisele	car se uous ne me secoures ie suys a la mort liurer	46
50	Quant Boors ot ce qu ele li prie	Et quant boort ouyt quelle le prioit	47
51	si pitousement qu'il la secore	si piteusement	48
52	si ne set	si ne scait	49
53	que fere	que faire	50
54	kar volentiers li aidast s il peust;	car uoulentiers luy allast aider se il peult estre	51
55	mais il voit l eve noire	mes il uoit la riuiere parfonde	52
56	et parfonde	et dangereuse a passer	53
57|58	et si perilluse qu il cuide bien noier|s il se met dedens;	et scait bien sil entre dedens qu il se met en peril de mort	54
59	et d'autre part il voit cele	Et daultre part il uoit celle	55
60	qui si durement crie merci;	qui si piteusement fui crie mercy	56
61	si l'em prent tels pitiés qu il en laisse totes poors	Si luy en prent telle pitie quil en laisse toute paour	57
62|63	et fet le signe de la crois en mi son vis|puis enbrace l escu	et fait le signe de la croix deuant son uisaige puys embrache son escu	58
64	et broche le cheval des esperons	et fiert son cheual des esperens	59
65|66	et se fiert en l eve|Et li chevals fu fors	et se lanche dedens leaue tout erraument:	60
67	si commence a noer	et le cheual commence a noer	61
68	si tost com il ot terre perdue	si tost quil eust terre perdue	62
69	si l enporte d autre part de la rive a quelque paine	et sen passe le cheual iusques de laultre part de leaue mes ce fust a grant paine	63
70	mais ançois ot beu de l eve li uns	car ains quilz feussent passes beurent de leaue lun	64
71	et li autre	et laultre	65
72	et se li chevals ne fust	et se le cheual neust este fort	66
73	si buens	et bon ilz feussent noyes	67
74	noié fuissent ambedui	et lun|et laultre	68|69
75	kar li chevaliers estoit pesans por les armes qu il avoit vestues	car le cheualier estoit fort pesant pour les armes quil auoit uestues|Quant il fut de lautre part de leaue	70|71
		si ne descendist oncques ains courust uers ceulx	72
		qui la damoiselle tenoient:	73
		et fiert tellement le premier quil encontre qu il lui met le glauie parmy le corps	74
76	Quant il fu de l autre part de l eve	si labat a terre|et les autres se met tent en fuite	75|76
		La damoiselle	77
		qui deliuree se sent se met a genoulx deuant lui	78
		et lui dit	79
		Haa gentil cheualier de dieu soiez uous benoit:	80
		car ces gloutens me eussent occiz se ne feussez uous	81
		Damoiselle fait il pour quoy	82
		Sire fait elle ie le uous diray	83
