0	avoir trové	avere trovato	0
1	Si li conte tote s aventure issi com vos avés oi dire ça arrieres	Si gli conta tutta sua aventura|si come el libro l à trattato qua adietro	1|2
2	tant qu il conoist bien	tanto che conosce bene	3
3	que c est il qu ele quiert a	che ciò est elli quelli cui ella chiede ma per lo cruccio	4
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre	ch egli à della morte del siniscalco non	5
5	ains li respont Certes	si vuole fare cognoscere anzi le risponde	6
6|7	damoisele|chevalier	'Certo damigella il cavaliere	7
8	qui porte escu blanc ne conois je nul	che porta lo scudo bianco non ne so io nulla	8
9|10	— En non Dieu|sire	—A nome di Dio dis ella ciò pesa a mes	9
11	fet ele		
12	ce poise moi chierement		
13	Et il n en tient plus a li parole	E non tenne più a llei parole anzi	10
14	ains part	si parti	11
15	si tost com il l ot commandee a Dieu a	si tosto come l à comandata a dDio	12
16	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;	e cavalca tanto in tale maniera infino qua a terza|tanto che viene a l uscita della foresta	13|14
17	et il torne a destre vers un chemin viés	Ed|e torna a destra inverso uno camino vecchio	15|16
18	et ancien;	e antico	17
19	si ne demora gueres qu il vint a une eve P lee	si non dimora guari|che viene a una acqua lata	18|19
20|21	et parfonde|mais il n i trueve pont ne gué ne passage nul	e perfonda ma e' non vi truova né ponte né guado né passaggio nullo	20
22|23	Et il regarde d autre part de l eve|si voit I	Ed elli isguarda d altra parte dell acqua	21
24|25	petit chastel molt bien seant|clos de mur bateillié tot entor a la roonde	si vide uno piccolo castello molto ben sedente chiuso d uno muro battagliato tutto intorno alla ritonda	22
26	ll regarde grant piece le chastel	eElli riguarda gran peza il castello	23
27|28	dont la façons li plest molt a regarder|puis s en torne contreval la riviere por savoir s il i peust trover ne pont ne gué	donde la fazion gli piace molto al riguardare poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare né ponte né guado ma	24
29	mais il n en trueve point	e non ve ne truova punto|e quand	25|26
30	et quant il voit qu il n i passera	e vede|che non potrà passare	27|28
31	si ne set	si non sa	29
32|33	que fere|que retorner ne voldroit il mie	che fare ché ritornare non vorebbe elli mica	30
34	Atant voit issir del chastel une damoisele	Atanto vide uscire una damigella del castello	31
35	qui ert tote nue en sa chemise	ch era tutta ignuda in sua camicia solamente	32
36	si le menoient troi vilain molt vilainement a	si lla menavano iiii|rubaldi molto villanamente	33|34
37	et tenoit chescuns une hache en sa main;	e tenieno ciascuno una acciaia in sua mano	35
38	et ele crioit quanque ele pooit crier por els	Ed ella grida quanto|ch ella può gridare per coloro	36|37
39	qui li faisoient tel honte	che lle facieno cotale onta	38
40	et tel laidure qu il la venoient batant tot contreval la riviere	e tal ladiura|ch elli la menavano battendo tutto contravalle la riviera	39|40
41	Et quant la damoisele vit le chevalier de l autre part de ! l eve	E quando la damigella vide lo cavaliere dall altra parte dell acqua	41
42	si commence a crier Ha	si gli comincia a gridare	42
43|44	gentilz chevaliers|secorés ceste damoisele	Hal gentile huomo soccorete questa damigella	43
45|46	que cist ribaut vuelent ocirre|Ha	che questi rubaldi vogliono uccidere	44
47	frans hom		
48|49	ne m i laissiés morir|se vos onques eustes pitié de nule gentil damoisele	Hal franco cavaliere non mi lasciate uccidere se voi unque aveste piatà di nulla gentile damigella	45
50	Quant Boors ot ce qu ele li prie	“Quando Boordo ode colei|che l priega	46|47
51	si pitousement qu'il la secore	si piatosamente|che lla soccorra	48|49
52	si ne set	si non sa	50
53|54	que fere|kar volentiers li aidast s il peust;	che fare ché volentieri l andasse ad atare se potesse ma	51
55	mais il voit l eve noire	e vede l acqua nera|e profonda	52|53
56	et parfonde	e perigliosa	54
57	et si perilluse qu il cuide bien noier	che crede bene morire s elli	55
58	s il se met dedens;	si mette di dentro	56
59	et d'autre part il voit cele	e d altra parte|e vede colei	57|58
60	qui si durement crie merci;	che si duramente gli grida mercé	59
61	si l'em prent tels pitiés qu il en laisse totes poors	si ne gli prende tale piatà|che ne lascia tutte paure	60|61
62|63	et fet le signe de la crois en mi son vis|puis enbrace l escu	e si fa el segno della santa croce nel miluogo del suo viso poscia imbraccia lo scudo	62
64	et broche le cheval des esperons	e broca il cavallo degli sproni	63
65	et se fiert en l eve	si fiede nell acqua isnellamente	64
66|67	Et li chevals fu fors|si commence a noer	El cavallo fu forte incominciò a notare	65
68	si tost com il ot terre perdue	si tosto com'elli ebbe terra perduta	66
69	si l enporte d autre part de la rive a quelque paine	si ne l portò d altra parte della riva a qualche pena 'ma inanzi furono amenduni tutti molli|e se l cavallo non fosse stato	67|68
70	mais ançois ot beu de l eve li uns	si forte anegati fossono amenduni ché l cavaliere era pesante per l arme|ch elli avea vestite	69|70
71	et li autre	Quand|e fu da l altra parte dell acqua	71|72
72	et se li chevals ne fust	si non discende passo anzi muove il cavallo inverso di coloro	73
73	si buens	che lla T tenieno|e fiede	74|75
		si il primaio	76
		ch elli agiugne	77
		che gli mette la lancia per me' il corpo	78
		si llo abatte a terra	79
		e gli altri se ne fugono tosto per ciò	80
74	noié fuissent ambedui	che disarmati erano|E la damigella	81|82
		che si vide dilivera	83
75	kar li chevaliers estoit pesans por les armes qu il avoit vestues	si mette a ginocchia davanti Boordo|Hal gentile cavaliere diss ella da Dio siate vo' benedetto quando vo m avete di morte riscossa	84|85
76	Quant il fu de l autre part de l eve	e adorato ne sia lddio quand elli in queste parti vo menò ché questi guiglioni m avessono già morta se vo' non foste|— Damigella disse Boordo perché	86|87
		Il vo dirò diss ella bene ma'	88
		che vo' m abiate messa a salvamento	89
		— Come disse elli avete vo' dunque guardia	90
		Certo sire diss'ella già sicura non sarò tanto com io sappia là entro il signore del castello ché ciò è il più fiero cavaliere del mondo	91
		e I più traditore	92
		A queste parole vidono uscire un cavaliere del castello	93
		e là ov egli vide Boordo	94
		si llo isgrida	95
		Danzi cavaliere lasciate la damigella ché vonon la menere mica	96
