0	avoir trové	auoir troue fait elle	0
1	Si li conte tote s aventure issi com vos avés oi dire ça arrieres	si li conte toute sauenture|si com li contes la retrait cha en arriere	1|2
2|3	tant qu il conoist bien|que c est il qu ele quiert a	Tant que il connoist bien quele le quiert	3
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre	Mais pour le courous quil a del senescal|ne se volt il faire aconnoistre	4|5
5	ains li respont Certes	Ains li respont	6
6|7	damoisele|chevalier	Certes damoisele le cheualier	7
8	qui porte escu blanc ne conois je nul	qui porte blanches armes ne connois iou mie	8
9|10	— En non Dieu|sire	Enon dieu sire fait elle che poise moi moult durement	9
11|12	fet ele|ce poise moi chierement	ors le commande a dieu	10
13|14	Et il n en tient plus a li parole|ains part	& puis sen part de li	11
15	si tost com il l ot commandee a Dieu a		
16	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;	& cheuauche en tel maniere iusques a tierce|Tant que il vint a lissue de la forest	12|13
17|18	et il torne a destre vers un chemin viés|et ancien;	et torne a destre en vn petit chemin viez	14
19	si ne demora gueres qu il vint a une eve P lee	Si ne demora gaires quil vint en vne moult grant ualee ou il couroit vne aigue grant|et roide	15|16
20	et parfonde	et parfunde	17
21	mais il n i trueve pont ne gué ne passage nul	mais il ni troeue ne pont ne passage	18
22	Et il regarde d autre part de l eve	Et il regarde de lautre part de laigue	19
23	si voit I	si y uoit|j	20|21
24	petit chastel molt bien seant	castel moult bien seant	22
25	clos de mur bateillié tot entor a la roonde	clos de mur bateillie tout entor a la reonde	23
26	ll regarde grant piece le chastel	Il regarde le chastel grant piece	24
27	dont la façons li plest molt a regarder	dont la fachons li plaisoit moult a regarder	25
28	puis s en torne contreval la riviere por savoir s il i peust trover ne pont ne gué	puis sen torne contremont la riuiere pour sauoir se il troueroit ne pont ne gue	26
29	mais il n en trueve point	mais il ni trueue nul passage	27
30	et quant il voit qu il n i passera	Et quant il voit chou	28
31	si ne set	si ne set	29
32	que fere	que faire	30
33	que retorner ne voldroit il mie	quar retorner ne volroit il en nulle maniere	31
34|35	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	Lors uoit issir del castel vne damoisele toute nue en sa chemise	32
36	si le menoient troi vilain molt vilainement a	si le menoient|iiij	33|34
		ribaut moult felenessement	35
37	et tenoit chescuns une hache en sa main;	et tenoit Cascuns en sa main|i	36|37
38	et ele crioit quanque ele pooit crier por els	coutel trenchant|Et elle crioit quamque elle pooit por chiaus	38|39
39	qui li faisoient tel honte	qui li faisoient tel laidure	40
40	et tel laidure qu il la venoient batant tot contreval la riviere	quar il lenmenoient tot contreual la riuiere batant	41
41	Et quant la damoisele vit le chevalier de l autre part de ! l eve	Et quant elle vit le cheualier de lautre part de laigue	42
42	si commence a crier Ha	si li commenche a crier	43
43	gentilz chevaliers	Ha : gentils homs	44
44	secorés ceste damoisele	quar secoures ceste damoisele	45
45|46	que cist ribaut vuelent ocirre|Ha	que cist ribaut voelent ochirre	46
47|48	frans hom|ne m i laissiés morir	Pour dieu ne mi laissies ore mie morir	47
49	se vos onques eustes pitié de nule gentil damoisele	se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame	48
50	Quant Boors ot ce qu ele li prie	Quant bohors oy|que la damoisele li prioit	49|50
51	si pitousement qu'il la secore	si piteusement de li secorre	51
52	si ne set	si One sot	52
53	que fere	que faire	53
54	kar volentiers li aidast s il peust;	quar volentiers li alast aidier sil peust estre	54
55	mais il voit l eve noire	mais il voit laigue parfonde	55
56	et parfonde	& perillouse	56
57	et si perilluse qu il cuide bien noier	et noire|si quide bien morir se il	57|58
58	s il se met dedens;	si met	59
59	et d'autre part il voit cele	Et dautre part voit il cels	60
60	qui si durement crie merci;	qui si piteusement li crie merci	61
61	si l'em prent tels pitiés qu il en laisse totes poors	si len prent tele pitsiles quil en laisse toute paour	62
62	et fet le signe de la crois en mi son vis	et met le signe de la vraie crois en mi son front|& en mi son pis	63|64
63	puis enbrace l escu	puis enbrace son escu	65
64	et broche le cheval des esperons	et fiert le cheual des esperons	66
65	et se fiert en l eve	et se lance en laigue	67
66|67	Et li chevals fu fors|si commence a noer	Et li cheuaus commence a noier:	68
68	si tost com il ot terre perdue	si tost quil a terre perdue	69
69|70	si l enporte d autre part de la rive a quelque paine|mais ançois ot beu de l eve li uns	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns	70
71	et li autre	& li autres	71
72	et se li chevals ne fust	Et se li cheuaus ne fust	72
73	si buens	si boins noie fussent ambedui Car li cheualiers estoit pesans pour lez armes quil auoit uestues	73
74	noié fuissent ambedui	si en fu moult en peril	74
75	kar li chevaliers estoit pesans por les armes qu il avoit vestues	uant bohors ot passe laigue pour la damfolisele secorre ainsi|que vous poes oir	75|76
76	Quant il fu de l autre part de l eve	si ne descendi mie ains cort sus a chiaus	77
