,-i,ii-48,-o,lancelot_1,-mw
0,0,0|1,0|1,0|1,0|1,0
1|2|3|4|5|6|7|8,1|2|3|4|5|6|7|8,2|3|4|5|6|7|8|9,2|3|4|5|6|7,2|3|4|5|6|7,2|3|4|5|6|7|8,1|2|3|4|5|6|7|8
9|10,9,,8,,9,9
11|12|13|14|15,10|11,10|11|12|13,9|10|11|12|13,8|9|10|11,10|11|12|13,10|11|12
16|17|18,12|13|14,14|15|16|17,14|15,12|13|14,14|15,13|14|15|16|17
19,15|16,18,16|17,15,16|17,18|19
20|21,17|18,19|20,18|19|20|21,16|17,18|19,20
22|23|24|25|26,19|20|21|22|23|24,21|22|23|24|25,22|23|24,18|19|20,20|21|22|23,21|22|23
27|28,25|26,26|27|28,25|26|27,21|22,24|25|26,24
29,27,29,28|29,23,27,25|26
30|31,28|29,30,30,24|25,28|29,27|28|29
32|33|34|35,30|31|32,31|32|33,31|32|33,26|27|28|29,30|31|32,30|31|32
,,34,,,,
36,33|34,35|36,34,30,33,33|34
,35,,,,,
37,36|37,37,35,31,34,35
38,38|39,38|39,36,32,35,36|37
39,40,40,37,33,36|37,38
40,41,41|42,38,34|35,38,39|40
41|42|43|44,42|43|44|45,43|44|45,39|40,36|37,39|40|41|42,41|42|43
45|46|47|48|49|50,46|47|48|49|50,46|47|48|49,41|42|43|44|45|46,38|39|40|41|42,43|44|45|46|47,44|45|46|47
51|52,51|52,50|51|52,47,43,48|49,48|49|50
53|54,53|54,53|54,48|49,44|45,50|51,51
55,55,55,50,46,52,52|53
56,56,56,51,47,53,54
57|58,57|58|59,57|58,52|53|54,48|49,54,55|56
59,60,59,55,50,55,57|58
60,61,60|61,56,51,56,59
61,62,62,57|58,52,57,60|61
62|63,63|64|65,63|64,59|60,53|54,58,62
64,66,65,61,55,59,63
65|66|67,67|68,66|67|68,62|63,56|57|58,60|61,64|65
68,69,69,64,59,62,66
69|70,70,70,65|66|67|68,60|61,63|64,67|68|69|70
71|72|73|74,71|72|73|74,71|72,69|70,62|63|64,65|66|67|68|69,71|72|73|74|75|76|77|78|79|80|81|82
,,,,,,83
75,75|76,73|74,71|72,65,70|71,84|85
,,,,,72,
,,,,,73,
,,,,,74,
76,77,75,73|74,66|67,75|76,86|87
