-i,ii-48,-o,lancelot_1,-mw
avoir trové,auoir troue fait elle,Sire fait ele porce que io le uodroie auoir troue,queria fallar muy de grado e luego le conto todo,Sire fait elle pour ce que ie le uoudroie auoir trouue,Sire fait elle enuellopee quil ne la pouoit cengnoistre pour pour ce que ie le uouldroie auoir trouue,avere trovato
Si li conte tote s aventure issi com vos avés oi dire ça arrieres tant qu il conoist bien que c est il qu ele quiert a Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier qui porte escu blanc ne conois je nul,si li conte toute sauenture si com li contes la retrait cha en arriere Tant que il connoist bien quele le quiert Mais pour le courous quil a del senescal ne se volt il faire aconnoistre Ains li respont Certes damoisele le cheualier qui porte blanches armes ne connois iou mie,Si li conte tote sauenture ainsi con li contes la retraite Tant que il quenoit bien que cest ele que il le quiert mais por le corrous quil auoit de la mort au seneschal: ne se wet faire quenoistre a li si li dit Certes damoisele qui port escu blanc ne sai ie nul,como le auia conel contesçido asi como el cuento lo a deuisado e luego entendio boores que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente e boores non quiso conella mas estar,si luy compte toute sauanture ansi comme le comte la dit cy deuant tant que il cognoist bien que cest il quelle quiert Mais pour le courroux quil a de la mort au seneschal ne se ueult il faire cognoistre Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier qui porte escu blanc,si luy compte toute son auanture tant quil cengnoit bien que cest celle qui le quiert Mais pour le couroust quil a du sencchal et de sa mort ne se uoult faire congnoistre mes leur respont certes damoiselle ie ne cengnois mie le cheualier qui porte les blances armes,Si gli conta tutta sua aventura si come el libro l à trattato qua adietro tanto che conosce bene che ciò est elli quelli cui ella chiede ma per lo cruccio ch egli à della morte del siniscalco non si vuole fare cognoscere anzi le risponde 'Certo damigella il cavaliere che porta lo scudo bianco non ne so io nulla
— En non Dieu sire,Enon dieu sire fait elle che poise moi moult durement,,e acomendo la a dios,,En nen dieu fait elle il me poyse monlt chierement,—A nome di Dio dis ella ciò pesa a mes
fet ele ce poise moi chierement Et il n en tient plus a li parole ains part si tost com il l ot commandee a Dieu a,ors le commande a dieu & puis sen part de li,En no dieu fait ele de ce me poise il trop durement et il ne tient plus a li parole Ains sen part si tost comme il lot comandee a dieu,e fuese e andubo tanto que salio dela floresta e dexo el camino e tomo a mano derecha vn camino pequeño,Certes sire fait elle ce me poise et il ne tient plus parole a luy ains sem part si tost quil leut commandee a dieu,A donc sen part et ne uoult plus parler il la commandee a dieu et sen ua,E non tenne più a llei parole anzi si parti si tosto come l à comandata a dDio
et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest; et il torne a destre vers un chemin viés et ancien;,& cheuauche en tel maniere iusques a tierce Tant que il vint a lissue de la forest et torne a destre en vn petit chemin viez,et cheuauche en tel maniere tant quil uient a lissue de la forest et il torne a destre uers lr chemin uiee et acien,e biejo lleno de yerba e non andubo mucho,et cheuauche en telle maniere iucqua tierce tant quil uient a lissue de la fourest et il tourne a destre vers ung chemin uieil et ancien,et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest et il tourna a destre uers ung petit chemyn uieil:,e cavalca tanto in tale maniera infino qua a terza tanto che viene a l uscita della foresta Ed e torna a destra inverso uno camino vecchio e antico
si ne demora gueres qu il vint a une eve P lee,Si ne demora gaires quil vint en vne moult grant ualee ou il couroit vne aigue grant et roide,Si ne demora gaires quil uient a une eue lee,porque llego a vn valle Por do corria vn agua muy negra,Si ne demoura gueres quil uient a une caue lee,si ne demoura gueres quil uint en une uallee ou il couroit une eau monlt roidde la quelle estoit grande,si non dimora guari che viene a una acqua lata
et parfonde mais il n i trueve pont ne gué ne passage nul,et parfunde mais il ni troeue ne pont ne passage,et parfonde mais il ni trueue ne pont ne gue ne passaige nul,e fea e fonda e non fallo puente por do Pudiese pasar,et parfonde mais il ny treuue pont ne gue ne passage nul,et parfonde et ne treuue ne pont ne planche par ou il puisse passer,e perfonda ma e' non vi truova né ponte né guado né passaggio nullo
Et il regarde d autre part de l eve si voit I petit chastel molt bien seant clos de mur bateillié tot entor a la roonde ll regarde grant piece le chastel,Et il regarde de lautre part de laigue si y uoit j castel moult bien seant clos de mur bateillie tout entor a la reonde Il regarde le chastel grant piece,et lors regarde il dautre part de leue Si uoit i petit chastelet moult bien feant qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel,e cato dela otra parte Del agua e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor e el cato gran pieça el castillo,et il regarde de lautrepart de leaue si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde Il regarde grant piece le chastel,Sy regarde de laultre part de leaue et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour Il regarde le chastel grant pieche,Ed elli isguarda d altra parte dell acqua si vide uno piccolo castello molto ben sedente chiuso d uno muro battagliato tutto intorno alla ritonda eElli riguarda gran peza il castello
dont la façons li plest molt a regarder puis s en torne contreval la riviere por savoir s il i peust trover ne pont ne gué,dont la fachons li plaisoit moult a regarder puis sen torne contremont la riuiere pour sauoir se il troueroit ne pont ne gue,dont Ia fasons li plait moult a esgarder et puis sen torne tot contreual la riuere Por sauoir se il i troueroit ne pont ne gue,ca mucho se pagaua delo catar e despues torno la rribera ayuso Por saber,dont la facon luy plaist moult a regarder puis sen retourne tout contreual la riuiere pour sauoir sil pourroit trouuer ne pont ne gue,car monlt luy plaisoit a uoir puis sen tourne contre ual la riuiere pour scauoir sil pouroit trouuer ne pont ne gue par le quel il puisse passer,donde la fazion gli piace molto al riguardare poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare né ponte né guado ma
mais il n en trueve point,mais il ni trueue nul passage,mais il nen i trurue point :,si podria fallar puente Por do pasase mas el no pudo fallar ninguna,Mais il ny en treuue point,mes il nen truue point,e non ve ne truova punto e quand
