0	avoir trové. » 	Sire fait elle enuellopee |quil ne la pouoit cengnoistre pour pour ce	0|1
1	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres. 	que ie le uouldroie auoir trouue |si luy compte toute son auanture tant 	2|3
2	tant qu’il conoist bien 	quil cengnoit bien 	4
3	que c’est il 	que cest celle 	5
4	qu’ele quiert a, 	qui le quiert/ 	6
5	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	Mais pour le couroust |quil a du sencchal 	7|8
6	ains li respont: « 	et de sa mort ne se uoult faire congnoistre/ 	9
7	Certes, damoisele, chevalier 	mes leur respont certes damoiselle ie ne cengnois mie le cheualier 	10
8	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, ce poise moi chierement. » 	qui porte les blances armes. |En nen dieu fait elle il me poyse monlt chierement. 	11|12
		A donc sen part 	13
9	Et il n’en tient plus a li parole, 	et ne uoult plus parler il la commandee a dieu |et sen ua. 	14|15
10	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant|quil uint a lissue de la forest 	16|17
11	et il torne a destre vers un chemin viés et ancien; 	et il tourna a destre uers ung petit chemyn uieil: 	18
12	si ne demora gueres 	si ne demoura gueres 	19
13	qu’il vint a une eve P lee et parfonde, 	quil uint en une uallee/ |ou il couroit une eau monlt roidde la quelle estoit grande et parfonde/ 	20|21
14	mais il n’i trueve pont ne gué ne passage nul. 	et ne treuue ne pont ne planche par ou il puisse passer. 	22
15	Et il regarde d’autre part de l’eve, 	Sy regarde de laultre part de leaue 	23
16	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. Il regarde le chastel grant pieche 	24
17	dont la façons li plest molt a regarder, 	car monlt luy plaisoit a uoir/ 	25
18	puis s’en torne contreval la riviere	puis sen tourne contre ual la riuiere |pour scauoir 	26|27
19|20	por savoir s’il i peust trover ne pont ne gué, |mais il n’en trueve point 	sil pouroit trouuer ne pont ne gue par le quel il puisse passer/ mes il nen truue point. 	28
21|22	et quant il voit |qu’il n’i passera, 	Et il uoit ce 	29
23	si ne set que fere, 	si ne scait |que faire/ 	30|31
24	que retorner ne voldroit il mie. 	car retourner ne uoulloit pas. 	32
25	Atant voit issir del chastel une damoisele 	A tant uoit yssir une damoiselle du chastel la 	33
26	qui ert tote nue en sa chemise,	quelle estoit toute nue en sa chemise/ 	34
27	si le menoient troi vilain molt vilainement a 	sy la menoient quatre ribaulx monlt felonneusement 	35
28	et tenoit chescuns une hache en sa main; 	et tenoient chascun en sa main ung coustel trenchant. 	36
29|30	et ele crioit |quanque ele pooit crier por els 	Et la damoiselle crioit tant comme elle pouoit pour la laidure et honte 	37
31	qui li faisoient tel honte et tel laidure 	que telx ribaulx luy faisoient/ 	38
32	qu’il la venoient batant tot contreval la riviere. 	et la menoient batant contre ual la riuiere. 	39
33	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ uiere commenca a crier 	40
