0	avoir trové. » 	avere trovato». 	0
1	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres. 	Si gli conta tutta sua aventura |si come el libro l’à trattato qua adietro, 	1|2
2	tant qu’il conoist bien 	tanto che conosce bene 	3
3|4	que c’est il |qu’ele quiert a, 	che ciò est elli quelli cui ella chiede, 	4
5	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	ma per lo cruccio |ch’egli à della morte del siniscalco non si vuole fare cognoscere, 	5|6
6|7	ains li respont: « |Certes, damoisele, chevalier 	anzi le risponde: 'Certo, damigella, il cavaliere 	7
8	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, ce poise moi chierement. » 	che porta lo scudo bianco non ne so io nulla.|—A nome di Dio, dis’ella, ciò pesa a mes. 	8|9
9	Et il n’en tient plus a li parole, 	E non tenne più a-llei parole, 	10
		anzi si parti si tosto come l’à comandata a dDio 	11
10	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	e cavalca tanto in tale maniera infino qua a terza, tanto|che viene a l’uscita della foresta. 	12|13
11	et il torne a destre vers un chemin viés et ancien; 	Ed e torna a destra inverso uno camino vecchio e antico, 	14
12	si ne demora gueres 	si non dimora guari 	15
13	qu’il vint a une eve P lee et parfonde, 	che viene a una acqua lata e perfonda, 	16
14	mais il n’i trueve pont ne gué ne passage nul. 	ma e' non vi truova né ponte né guado né passaggio nullo. 	17
15	Et il regarde d’autre part de l’eve, 	Ed elli isguarda d’altra parte dell’acqua,	18
16	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	si vide uno piccolo castello molto ben sedente, chiuso d’uno muro battagliato tutto intorno alla ritonda. |eElli riguarda gran peza il castello, 	19|20
17	dont la façons li plest molt a regarder, 	donde la fazion gli piace molto al riguardare, 	21
18	puis s’en torne contreval la riviere	poscia ritorna tutto contravalle la riviera per sapere 	22
19	por savoir s’il i peust trover ne pont ne gué, 	se potrebbe trovare né ponte né guado, 	23
20	mais il n’en trueve point 	ma e non ve ne truova punto, 	24
21	et quant il voit 	e quand’e vede 	25
22	qu’il n’i passera, 	che non potrà passare, 	26
23	si ne set que fere, 	si non sa |che fare, 	27|28
24|25	que retorner ne voldroit il mie. |Atant voit issir del chastel une damoisele 	ché ritornare non vorebbe elli mica. ?Atanto vide uscire una damigella del castello 	29
26	qui ert tote nue en sa chemise,	ch’era tutta ignuda in sua camicia solamente,	30
27	si le menoient troi vilain molt vilainement a 	si-lla menavano iiii. rubaldi molto villanamente 	31
28	et tenoit chescuns une hache en sa main; 	e tenieno ciascuno una acciaia in sua mano. 	32
29	et ele crioit 	Ed ella grida 	33
30	quanque ele pooit crier por els 	quanto ch’ella può gridare per coloro 	34
31	qui li faisoient tel honte et tel laidure 	che-lle facieno cotale onta e tal ladiura, 	35
32	qu’il la venoient batant tot contreval la riviere. 	ch’elli la menavano battendo tutto contravalle la 	36
33	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	riviera.E quando la damigella vide lo cavaliere dall’altra parte dell’acqua, 	37
34|35	si commence a crier: « |Ha, gentilz chevaliers, secorés ceste damoisele 	si gli comincia a gridare: Hal, gentile huomo, soccorete questa damigella 	38
36	que cist ribaut vuelent ocirre. 		
37|38	Ha, frans hom, ne m’i laissiés morir, |se vos onques eustes pitié de nule gentil damoisele !» 	che questi rubaldi vogliono uccidere! Hal, franco cavaliere, non mi lasciate uccidere, se voi unque aveste piatà di nulla gentile damigella». 	39
39	Quant Boors ot ce qu’ele li prie si pitousement 	“Quando Boordo ode colei|che l priega si piatosamente 	40|41
40	qu'il la secore, 	che-lla soccorra, 	42
41	si ne set que fere, 	si non sa 	43
42|43	kar volentiers li aidast |s’il peust; 	che fare, ché volentieri l’andasse ad atare se potesse, 	44
44|45	mais il voit l’eve noire et parfonde |et si perilluse 	ma e vede l’acqua nera e profonda e perigliosa 	45
46	qu’il cuide bien noier, 	che crede bene morire 	46
47	s’il se met dedens; 	s’elli si mette di dentro; 	47
48	et d'autre part il voit cele 	e d’altra parte e vede colei 	48
49	qui si durement crie merci; 	che si duramente gli grida mercé, 	49
50	si l'em prent tels pitiés 	si ne gli prende tale piatà 	50
51	qu’il en laisse totes poors 	che ne lascia tutte paure 	51
52	et fet le signe de la crois en mi son vis, 	e si fa el segno della santa croce nel miluogo del suo viso, 	52
53|54	puis enbrace l’escu |et broche le cheval des esperons 	poscia imbraccia lo scudo e broca il cavallo degli sproni, 	53
55|56	et se fiert en l’eve. |Et li chevals fu fors,	si fiede nell’acqua isnellamente. El cavallo fu forte, incominciò a notare 	54
57	si commence a noer 		
58	si tost com il ot terre perdue, 	si tosto com'elli ebbe terra perduta, 	55
59|60	si l’enporte d’autre part de la rive a quelque paine, |mais ançois ot beu de l’eve li uns et li autre, 	si ne l portò d’altra parte della riva a qualche pena, 'ma inanzi furono amenduni tutti molli, 	56
61	et se li chevals ne fust si buens, noié fuissent ambedui, 	e se l cavallo non fosse stato si forte, anegati fossono amenduni, 	57
62	kar li chevaliers estoit pesans por les armes 	ché l cavaliere era pesante per l’arme 	58
63	qu’il avoit vestues. 	ch’elli avea vestite. 	59
64	Quant il fu de l’autre part de l’eve, 	Quand’e fu da l’altra parte dell’acqua, 	60
65	si ne descendi pas, 	si non discende passo, 	61
66	ains cort vers cels 	anzi muove il cavallo inverso di coloro 	62
67	qui la damoisele tenoient 	che lla T tenieno 	63
68	et fiert si le premier 	e fiede si il primaio 	64
69	qu’il aconsieut 	ch’elli agiugne 	65
70	qu’il li met le glaive par mi le cors, 	che gli mette la lancia per me' il corpo, 	66
71	si l’abat a terre, 	si-llo abatte a terra, 	67
72	et li autre s’enfuient erraument 	e gli altri se ne fugono tosto per ciò 	68
73	por ce que desarmé estoient. 	che disarmati erano. 	69
74	Et la damoisele	E la damigella, 	70
75|76	qui delivree se voit se met a genols devant Boort |et dist: « 	che si vide dilivera, si mette a ginocchia davanti Boordo: Hal, gentile cavaliere, diss’ella, da Dio siate vo' benedetto 	71
77	Ha, gentils chevaliers, de Dieu soiés vos beneois, 		
78	quant vos m’avés de mort rescosse, 	quando vo m’avete di morte riscossa, 	72
79	et aorés en soit Diex, 	e adorato ne sia lddio 	73
80	quant il ceste part vos amena, 	quand’elli in queste parti vo menò, 	74
81	kar cist gloton m’euissent ja morte. — Damoisele, fet il,	ché questi guiglioni m’avessono già morta, |se vo' non foste. 	75|76
82	por quoi ? — Sire fet ele, jel vos dirai bien, 	— Damigella, disse Boordo, perché? -Il vo dirò, diss’ella, bene, 	77
83	mais	ma' che vo' m’abiate messa a salvamento.	78
84|85	que vos m’aiés mise a sauveté. — Coment ? fet il. Avés vos dont garde ? — |Certes, fet ele, ja asseur ne seraî fant com je sache laiens le seignor del chastel, 	— Come, disse elli, avete vo' dunque guardia? - Certo, sire, diss'ella, già sicura non sarò tanto com’io sappia là entro il signore del castello, 	79
86	kar c’est li plus fel chevaliers del monde et li plus traîtres. » A ces paroles voient issir I. chevalier del chastel 	ché ciò è il più fiero cavaliere del mondo |e I più traditore». A queste parole vidono uscire un cavaliere del castello, 	80|81
		e là 	82
87|88	et la ou il vit Boort, |si li escrie : « Laissiés, dans chevaliers, la damoisele	ov’egli vide Boordo si-llo isgrida: «Danzi cavaliere, lasciate la damigella, 	83
89	que vos n’enmenrois mie! 	ché vonon la menere mica, 	84
90	Par mon chief, mar le rescosistes!» 	e per mio capo male la |riscoteste!».Si gli corre suso 	85|86
91	Si li cort 	quanto ch’elli puote, la lancia islungata, |e Boordo il fiede si duramente in suo venire 	87|88
92	quanqu’il puet le glaive alongié; 	che llo scudo né llo asbergo no-llo guerentisce |che non gli metta per me' il corpo e ferro e fusto, 	89|90
93	et Boors retrait son glaîve a lui del cors a celui 	e que' cade a terra tutto isteso |che più nonn-à mestier di medico. 	91|92
94	qu’il avoit ocis; 	E quando que del castello vidono insi lor cavaliere abatuto,|si ve ne rimandarono immantanente uno altro per quello vendicare, 	93|94
95	si laisse le cheval corre 	che disse a Boordo |che ssi guardi da- llui, 	95|96
96	et le fiert si tres durement 	ch’elli il disfida, |ed e' dice 	97|98
		che disfida lui. PAllora trae la lancia del corpo a colui ch’elli avea morto, 	99
		si lascia il cavallo andare e l fiede si duramente 	100
97	qu’il l’abat a terre si estordi 	ch’elli Il’labatte a terra si stordito 	101
98	qu’il n’a pooir de relever, 	che non à podere di sé rilevare, 	102
99	ains gist pasmés, 	anzi giace ispasimato, 	103
100	kar il chai si felenessement 	ché fu caduto si fellonosamente 	104
101	qu’a poi que la canole del col n'avoit brisee. 	che a poco che non si ruppe il collo, 	105
102	Et Boors li vet a cheval par desus le cors 	e Boordo gli va cavalcando per di suso il corpo 	106
103|104	tant que tot le debrise. |Et lors est la damoisele si liee 	tanto che di tutto il dibriscia. Allora est la damigella si lieta 	107
105	qu’ele ne puet plus 	ch’ella non può più, 	108
106	et dist a Boort : « Sire, nos n’avons mes garde,	e disse a Boordo: Sire, non no abiamo oggimai guardia, 	109
107	kar je ne cuit 	ch’io non credo mica 	110
108	qu’il eust plus de chevaliers çaiens que cestui;	ch’egli abbia là entro più cavalieri |che questi, 	111|112
109	si vos dirai ore seurement ce 	si vi dirò ora sicuramente ciò 	113
		che voi mi domandaste. 	114
