0	avoir trové. » 	queria fallar muy de grado |e luego le conto todo 	0|1
1	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres. 	como le auia conel contesçido |asi como el cuento lo a deuisado 	2|3
2|3	tant qu’il conoist bien |que c’est il 	e luego entendio boores 	4
4|5	qu’ele quiert a, |Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	que ael andaua ella buscando mas porel pesar dela muerte del senescal 	5
6	ains li respont: « 	no se quiso fazer 	6
7	Certes, damoisele, chevalier 	conosçer antele rrespondio çierto donçella al cauallero 	7
8	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, ce poise moi chierement. » 	que traia blancas armas no conozco yo |Pardios dixo la donçella mucho me Pesa caramjente 	8|9
9	Et il n’en tient plus a li parole, 	e boores non quiso conella mas estar |e acomendo la a dios 	10|11
10	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	e fuese e andubo tanto |que salio dela floresta 	12|13
11	et il torne a destre vers un chemin viés et ancien; 	e dexo el camino e tomo a mano derecha vn camino pequeño 	14
12	si ne demora gueres 	e biejo lleno de yerba |e non andubo mucho porque llego a vn valle 	15|16
13	qu’il vint a une eve P lee et parfonde, 	Por do corria vn agua muy negra e fea e fonda 	17
14	mais il n’i trueve pont ne gué ne passage nul. 	e non fallo puente |por do Pudiese pasar 	18|19
15	Et il regarde d’autre part de l’eve, 	e cato dela otra parte Del agua 	20
16	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	e vio vn castillo muy bien asentado |çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	21|22
17	dont la façons li plest molt a regarder, 	ca mucho se pagaua delo catar 	23
18	puis s’en torne contreval la riviere	e despues torno la rribera ayuso 	24
19	por savoir s’il i peust trover ne pont ne gué, 	Por saber si podria fallar puente 	25
20|21	mais il n’en trueve point |et quant il voit 	Por do pasase mas el no pudo fallar ninguna 	26
22|23	qu’il n’i passera, |si ne set que fere, 	e boores desque esto vido no sabia que se façer 	27
24	que retorner ne voldroit il mie. 	ca el no se queria tomar en ninguna manera 	28
25|26	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise,	Ansi estando vio del castillo salir vna donçella en camisa 	29
27	si le menoient troi vilain molt vilainement a 	que traian quatro rribaldos muy sañudamente 	30
28	et tenoit chescuns une hache en sa main; 	e cadavno traia enla mano vna lança 	31
29	et ele crioit 	e ella daua vozes 	32
30|31	quanque ele pooit crier por els |qui li faisoient tel honte et tel laidure 	quanto podia dar 	33
32	qu’il la venoient batant tot contreval la riviere. 	e ellos la lleuaron muy desonrrada mente contra la rribera |porla yr ha echar 	34|35
33	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	e quando la donçella vio a bores dela otra parte del agua 	36
34	si commence a crier: « 	començo a dar vozes |e a deçir 	37|38
35	Ha, gentilz chevaliers, secorés ceste damoisele 	ay jentil cauallero acorred a esta donçella 	39
36|37	que cist ribaut vuelent ocirre. |Ha, frans hom, ne m’i laissiés morir, 	que estos Ribaldos me quieren ansi matar 	40
38|39	se vos onques eustes pitié de nule gentil damoisele !» |Quant Boors ot ce qu’ele li prie si pitousement 	ay buen cauallero 	41
40	qu'il la secore, 	si nunca oviste piedad de donçella auelda agora de mi 	42
41|42	si ne set que fere, |kar volentiers li aidast 	e no me dexedes asi morir Quando boores oyo lo que la donçella deçia no supo 	43
43|44	s’il peust; |mais il voit l’eve noire et parfonde 	que façer 	44
45	et si perilluse 	ca muy de grado la quisiera acorrer si pudiese 	45
46	qu’il cuide bien noier, 	Mas el agua hera muy fonda e peligrosa e negra e bien cuidaua morir 	46
47	s’il se met dedens; 	si se y Metiese 	47
48	et d'autre part il voit cele 	e dela otra parte veya la donçella 	48
49	qui si durement crie merci; 	que muy afincada mente le pedia merçed 	49
50	si l'em prent tels pitiés 	e ovo tal piedad della 	50
51	qu’il en laisse totes poors 	que le fiço todo el miedo perder 	51
52	et fet le signe de la crois en mi son vis, 	e fiço la señal dela cruz sobre si 	52
53|54	puis enbrace l’escu |et broche le cheval des esperons 	e enbraço el escudo e firio al cauallo de las espuelas 	53
55	et se fiert en l’eve. 		
