0	avoir trové. » 	auoir troue fait elle. 	0
1	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres. 	si li conte toute sauenture |si com li contes la retrait cha en arriere. 	1|2
2	tant qu’il conoist bien 	Tant que il connoist bien 	3
3|4	que c’est il |qu’ele quiert a, 	quele le quiert. 	4
5	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	Mais pour le courous |quil a del senescal. ne se volt il faire aconnoistre. 	5|6
6	ains li respont: « 	Ains li respont. 	7
7	Certes, damoisele, chevalier 	Certes damoisele le cheualier 	8
8	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, ce poise moi chierement. » 	qui porte blanches armes ne connois iou mie. Enon dieu sire fait elle che poise moi moult durement. 	9
9	Et il n’en tient plus a li parole, 	Lors le commande a dieu |et puis sen part de li 	10|11
10	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	et cheuauche en tel maniere iusques a tierce.|Tant que il vint a lissue de la forest. 	12|13
11	et il torne a destre vers un chemin viés et ancien; 	et torne a destre en vn petit chemin viez 	14
12	si ne demora gueres 	Si ne demora gaires 	15
13	qu’il vint a une eve P lee et parfonde, 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	16|17
14	mais il n’i trueve pont ne gué ne passage nul. 	mais il ni troeue ne pont ne passage. 	18
15	Et il regarde d’autre part de l’eve, 	Et il regarde de lautre part de laigue 	19
16	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. Il regarde le chastel grant piece 	20
17	dont la façons li plest molt a regarder, 	dont la fachons li plaisoit moult a regarder. 	21
18	puis s’en torne contreval la riviere	puis sen torne contremont la riuiere 	22
19	por savoir s’il i peust trover ne pont ne gué, 	pour sauoir |se il troueroit ne pont ne gue. 	23|24
20	mais il n’en trueve point 	mais il ni trueue nul passage. 	25
21	et quant il voit 	Et|quant il voit chou 	26|27
22	qu’il n’i passera, 		
23	si ne set que fere, 	si ne set que faire 	28
24	que retorner ne voldroit il mie. 	quar retorner ne volroit il en nulle maniere. 	29
25|26	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise,	Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	30
27	si le menoient troi vilain molt vilainement a 	si le menoient. iiij. ribaut moult felenessement	31
28	et tenoit chescuns une hache en sa main; 	et tenoit Cascuns en sa main. i. coutel trenchant. 	32
29	et ele crioit 	Et elle crioit	33
30	quanque ele pooit crier por els 	quamque elle pooit por chiaus 	34
31	qui li faisoient tel honte et tel laidure 	qui li faisoient tel laidure. 	35
32	qu’il la venoient batant tot contreval la riviere. 	quar il lenmenoient tot contreual la riuiere batant 	36
33	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	Et quant elle vit le cheualier de lautre part de laigue. 	37
34	si commence a crier: « 	si li commenche a crier. 	38
35	Ha, gentilz chevaliers, secorés ceste damoisele 	Ha : gentils homs |quar secoures ceste damoisele 	39|40
36	que cist ribaut vuelent ocirre. 	que cist ribaut voelent ochirre. 	41
37	Ha, frans hom, ne m’i laissiés morir, 	Pour dieu ne mi laissies ore mie morir. 	42
38	se vos onques eustes pitié de nule gentil damoisele !» 	se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame 	43
39	Quant Boors ot ce qu’ele li prie si pitousement 	Quant bohors oy 	44
40	qu'il la secore, 	que la damoisele li prioit si piteusement de li secorre 	45
41	si ne set que fere, 	si One sot|que faire 	46|47
42	kar volentiers li aidast 	quar volentiers li alast aidier 	48
43	s’il peust; 	sil peust estre 	49
44|45	mais il voit l’eve noire et parfonde |et si perilluse 	mais il voit laigue parfonde et perillouse et noire. 	50
46|47	qu’il cuide bien noier, |s’il se met dedens; 	si quide bien morir se il si met 	51
48	et d'autre part il voit cele 	Et dautre part voit il cels 	52
49	qui si durement crie merci; 	qui si piteusement li crie merci. 	53
50	si l'em prent tels pitiés 	si len prent tele pities 	54
51	qu’il en laisse totes poors 	quil en laisse toute paour 	55
52	et fet le signe de la crois en mi son vis, 	et met le signe de la vraie crois en mi son front |et en mi son pis. 	56|57
53|54	puis enbrace l’escu |et broche le cheval des esperons 	puis enbrace son escu et fiert le cheual des esperons 	58
55	et se fiert en l’eve. 	et se lance en laigue. 	59
56|57	Et li chevals fu fors,|si commence a noer 	Et li cheuaus commence a noier: 	60
58	si tost com il ot terre perdue, 	si tost |quil a terre perdue. 	61|62
59|60	si l’enporte d’autre part de la rive a quelque paine, |mais ançois ot beu de l’eve li uns et li autre, 	si lenporte de lautre part a grant paine mes aincois ot beu de laigue li vns et li autres. 	63
61	et se li chevals ne fust si buens, noié fuissent ambedui, 	Et se li cheuaus ne fust si boins noie fussent ambedui 	64
62	kar li chevaliers estoit pesans por les armes 	Car li cheualiers estoit pesans pour lez armes	65
63	qu’il avoit vestues. 	quil auoit uestues 	66
64	Quant il fu de l’autre part de l’eve, 	si en fu moult en peril. . |uant bohors ot passe laigue pour la damoisele secorre 	67|68
		ainsi que vous poes oir.	69
65|66	si ne descendi pas, |ains cort vers cels 	si ne descendi mie ains cort sus a chiaus 	70
67|68	qui la damoisele tenoient |et fiert si le premier 	qui la damoisele tenoient si fiert le premier 	71
69	qu’il aconsieut 	quil encontre si durement 	72
70|71	qu’il li met le glaive par mi le cors, |si l’abat a terre, 	quil li met le glaiue parmi le cors si labat a la terre. 	73
72	et li autre s’enfuient erraument 	Et li autre senfuient pour chou 	74
73	por ce que desarmé estoient. 	que desarme estoient. 	75
74	Et la damoisele	Et la damoisele 	76
75	qui delivree se voit se met a genols devant Boort 	qui deliure se uoit. se met maintenant a genouls deuant bohort 	77
76|77	et dist: « |Ha, gentils chevaliers, de Dieu soiés vos beneois, 	et dist. ha: gentiex cheualiers de dies oess vous beneois 	78
78	quant vos m’avés de mort rescosse, 	quar vous maues de mort rescousse. 	79
79	et aorés en soit Diex, 	Et aoures en soit diex 	80
80	quant il ceste part vos amena, 	quant il ceste part vous amena. 	81
81	kar cist gloton m’euissent ja morte. — Damoisele, fet il,	Car cist glouton meussent morte 	82
82	por quoi ? — Sire fet ele, jel vos dirai bien, 	se vous ne fuissies. Damoisele ce dist bohors pourcoi vous voloient il mal faire Sire fait elle iou le vous dirai bien. 	83
83|84	mais|que vos m’aiés mise a sauveté. — Coment ? fet il. Avés vos dont garde ? — 	mais que vous maies mise a sauuete 	84
85	Certes, fet ele, ja asseur ne seraî fant com je sache laiens le seignor del chastel, 	Comment fait il aues vous encore paour. Sire fait elle ia asseuree ne serai tant que iou y sache le seignor del chastel :	85
86	kar c’est li plus fel chevaliers del monde et li plus traîtres. » A ces paroles voient issir I. chevalier del chastel 	quar cest li plus fel cheualiers del monde et li plus desloiaus. ches paroles voient. j. cheualier issir du castel. 	86
87	et la ou il vit Boort, 	Et la ou il voit bohors. 	87
88	si li escrie : « Laissiés, dans chevaliers, la damoisele	si li escrie dans cheualiers laissies ester la damoisele 	88
89	que vos n’enmenrois mie! 	quar vous ne lenmenrois pas 	89
90	Par mon chief, mar le rescosistes!» 	et par mon chief mar le rescousistes 	90
91	Si li cort 	quar vous le comperres se iou puis moult chier. |Et quant bohors lentent si point vers lui 	91|92
92	quanqu’il puet le glaive alongié; 	quanque il pot del cheual traire le glaiue alongie 	93
93	et Boors retrait son glaîve a lui del cors a celui 	quil auoit trait del cors a celui 	94
94|95	qu’il avoit ocis; |si laisse le cheval corre 	quil auoit ochis. 	95
96	et le fiert si tres durement 	Si fiert celui si durement 	96
97	qu’il l’abat a terre si estordi 	quil labat a terre si estordi	97
98	qu’il n’a pooir de relever, 	quil not pooir de lui releuer. 	98
99	ains gist pasmés, 	Ains iut illueques tous pasmes 	99
100	kar il chai si felenessement 	quar il cai si felenessement 	100
101	qu’a poi que la canole del col n'avoit brisee. 	que a poi que la canoele del col ne li est brisie. 	101
102	Et Boors li vet a cheval par desus le cors 	Et bohors li uait tout a cheual par desus le cors 	102
103	tant que tot le debrise. 	Si que tout le debrise. 	103
104	Et lors est la damoisele si liee 	Et lors est la damoisele si lie 	104
105	qu’ele ne puet plus 	que plus ne puet. 	105
106	et dist a Boort : « Sire, nos n’avons mes garde,	Si dist a bohort sire nous nauons hui mes garde. 	106
107	kar je ne cuit 	Car iou quit 	107
108	qu’il eust plus de chevaliers çaiens que cestui;	quil ni a plus de cheualiers laiens que cestui. 	108
109	si vos dirai ore seurement ce 	Si vous dirai ce |que vous me denmandastes. 	109|110
110	que vos me demandastes n’a encor gaires. — Dites, fet il. — Sire, fet ele, entre moi et I. chevalier 	ore le me dites dont fait bohors. |Par foy sire fait elle entre moi et. i. cheualier 	111|112
111	qui mes amis estoit chevalchions hui matin par mi cest chastel 	qui mes amis estoit cheualchiemes parmi chest chastel. 	113
112	et quant li freres a celui 	Et quant li freres a celui 	114
113	que vos avés abatu me vit, 	qui vous aues abatu me uit. 	115
114	si me volt a force prendre, 	si me volt auoir et prendre par force 	116
115	kar il m’avoit molt longuement amee; 	quar il mauoit lonc tamps amee. 	117
116	si me prist al frain 	Si me prist au frain 	118
117	et m’en volt mener a force, mes mes amis se combati a lui tant qu’il l’ocist. 	et men volt mener a force. |Mais mes anis se combati a lui 	119|120
		tant	121
		quil locist. 	122
118	Et quant cist 	Et quant chils cheualiers 	123
119	que vos veez ci ore vit son frere mort, si fist mon ami prendre a force de vilains et de gens et l’ocist en venjance de son frere. 	que vous uees chi vit son frere mort. |si fist mon ami prendre par force de vilains. et locist por uengance de son frere 	124|125
120	Mais de moi, 		
121	por cui Ses freres avoit esté ocis, dist il 	quil auoit ochis. |Et dist 	126|127
122	qu’il se vengeroit sans main metre;	quil se vengeroit de moi sans main metre. 	128
123	si me fist prendre a ces ribaus 	et me fist tantost prendre a ches. iiij. ribaus 	129
