	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
0	avoir trové. » 	porce |que io le uodroie auoir troue 	auoir troue fait elle. 	Sire fait elle pour ce |que ie le uoudroie auoir trouue. 	Sire fait elle enuellopee |quil ne la pouoit cengnoistre pour pour ce	queria fallar muy de grado |e luego le conto todo 	avere trovato». 
1|2|3|4|5	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres. |tant qu’il conoist bien |que c’est il |qu’ele quiert a, |Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	Si li conte tote sauenture ainsi com li contes la retraite. |Tant que il quenoit bien |que cest ele |que il le quiert. |mais por le corrous |quil auoit de la mort au seneschal: ne se wet faire 	si li conte toute sauenture |si com li contes la retrait cha en arriere. |Tant que il connoist bien |quele le quiert. |Mais pour le courous |quil a del senescal. ne se volt il faire aconnoistre. 	si luy compte toute sauanture ansi comme le comte la dit cy deuant tant que il cognoist bien |que cest il |quelle quiert. |Mais pour le courroux |quil a de la mort au seneschal ne se ueult il faire cognoistre 	que ie le uouldroie auoir trouue |si luy compte toute son auanture tant |quil cengnoit bien |que cest celle |qui le quiert/ |Mais pour le couroust |quil a du sencchal 	como le auia conel contesçido |asi como el cuento lo a deuisado |e luego entendio boores |que ael andaua ella buscando mas porel pesar dela muerte del senescal 	Si gli conta tutta sua aventura |si come el libro l’à trattato qua adietro, |tanto che conosce bene |che ciò est elli quelli cui ella chiede, |ma per lo cruccio |ch’egli à della morte del siniscalco non si vuole fare cognoscere, 
6|7	ains li respont: « |Certes, damoisele, chevalier 	quenoistre a li|si li dit. |Certes damoisele 	Ains li respont. |Certes damoisele le cheualier 	Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier 	et de sa mort ne se uoult faire congnoistre/ |mes leur respont certes damoiselle ie ne cengnois mie le cheualier 	no se quiso fazer |conosçer antele rrespondio çierto donçella al cauallero 	anzi le risponde: 'Certo, damigella, il cavaliere 
8	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, ce poise moi chierement. » 	qui port escu blanc ne sai ie nul. |En no dieu fait ele de ce me poise il trop durement. 	qui porte blanches armes ne connois iou mie. Enon dieu sire fait elle che poise moi moult durement. 	qui porte escu blanc. |Certes sire fait elle ce me poise 	qui porte les blances armes. |En nen dieu fait elle il me poyse monlt chierement. 	que traia blancas armas no conozco yo |Pardios dixo la donçella mucho me Pesa caramjente 	che porta lo scudo bianco non ne so io nulla.|—A nome di Dio, dis’ella, ciò pesa a mes. 
					A donc sen part 		
9	Et il n’en tient plus a li parole, 	et il ne tient plus a li parole. |Ains sen part	Lors le commande a dieu |et puis sen part de li 	et il ne tient plus parole a luy.|ains sem part 	et ne uoult plus parler il la commandee a dieu |et sen ua. 	e boores non quiso conella mas estar |e acomendo la a dios 	E non tenne più a-llei parole, 
							anzi si parti si tosto come l’à comandata a dDio 
				si tost 			
10	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	si tost comme il lot comandee a dieu. |et cheuauche en tel maniere. 	et cheuauche en tel maniere iusques a tierce.|Tant que il vint a lissue de la forest. 	quil leut commandee a dieu et cheuauche en telle maniere iucqua tierce tant |quil uient a lissue de la fourest. 	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant|quil uint a lissue de la forest 	e fuese e andubo tanto |que salio dela floresta 	e cavalca tanto in tale maniera infino qua a terza, tanto|che viene a l’uscita della foresta. 
		tant quil uient a lissue de la forest 					
11	et il torne a destre vers un chemin viés et ancien; 	et il torne a destre uers le chemin uiee et acien 	et torne a destre en vn petit chemin viez 	et il tourne a destre vers ung chemin uieil et ancien.	et il tourna a destre uers ung petit chemyn uieil: 	e dexo el camino e tomo a mano derecha vn camino pequeño 	Ed e torna a destra inverso uno camino vecchio e antico, 
12	si ne demora gueres 	Si ne demora gaires	Si ne demora gaires 	Si ne demoura gueres 	si ne demoura gueres 	e biejo lleno de yerba |e non andubo mucho porque llego a vn valle 	si non dimora guari 
13	qu’il vint a une eve P lee et parfonde, 	quil uient a une eue lee et parfonde. 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	quil uient a une caue lee et parfonde	quil uint en une uallee/ |ou il couroit une eau monlt roidde la quelle estoit grande et parfonde/ 	Por do corria vn agua muy negra e fea e fonda 	che viene a una acqua lata e perfonda, 
14	mais il n’i trueve pont ne gué ne passage nul. 	mais il ni trueue ne pont ne gue ne passaige nul. 	mais il ni troeue ne pont ne passage. 	mais il ny treuue pont ne gue ne passage nul. 	et ne treuue ne pont ne planche par ou il puisse passer. 	e non fallo puente |por do Pudiese pasar 	ma e' non vi truova né ponte né guado né passaggio nullo. 
15	Et il regarde d’autre part de l’eve, 	et lors regarde il dautre part de leue. 	Et il regarde de lautre part de laigue 	et il regarde de lautrepart de leaue 	Sy regarde de laultre part de leaue 	e cato dela otra parte Del agua 	Ed elli isguarda d’altra parte dell’acqua,
16	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel 	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. Il regarde le chastel grant piece 	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde . Il regarde grant piece le chastel 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. Il regarde le chastel grant pieche 	e vio vn castillo muy bien asentado |çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	si vide uno piccolo castello molto ben sedente, chiuso d’uno muro battagliato tutto intorno alla ritonda. |eElli riguarda gran peza il castello, 
17	dont la façons li plest molt a regarder, 	dont Ia fasons li plait mout a esgarder. 	dont la fachons li plaisoit moult a regarder. 	dont la facon luy plaist moult a regarder 	car monlt luy plaisoit a uoir/ 	ca mucho se pagaua delo catar 	donde la fazion gli piace molto al riguardare, 
18	puis s’en torne contreval la riviere	et puis sen torne tot contreual la riuere. 	puis sen torne contremont la riuiere 	puis sen retourne tout contreual la riuiere 	puis sen tourne contre ual la riuiere |pour scauoir 	e despues torno la rribera ayuso 	poscia ritorna tutto contravalle la riviera per sapere 
19|20|21|22|23	por savoir s’il i peust trover ne pont ne gué, |mais il n’en trueve point |et quant il voit |qu’il n’i passera, |si ne set que fere, 	Por sauoir se il i troueroit ne pont ne gue. |mais il nen i trurue point : |si ne sot |que faire 	pour sauoir |se il troueroit ne pont ne gue. |mais il ni trueue nul passage. |Et|quant il voit chou |si ne set que faire 	pour sauoir |sil pourroit trouuer ne pont ne gue |Mais il ny en treuue point. |Et|quant il uoit |quil ne puet passer |si ne scet |que faire	sil pouroit trouuer ne pont ne gue par le quel il puisse passer/ mes il nen truue point. |Et il uoit ce |si ne scait |que faire/ 	Por saber si podria fallar puente |Por do pasase mas el no pudo fallar ninguna |e boores desque esto vido no sabia que se façer 	se potrebbe trovare né ponte né guado, |ma e non ve ne truova punto, |e quand’e vede |che non potrà passare, |si non sa |che fare, 
24|25|26	que retorner ne voldroit il mie. |Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise,	car retorner ne wet il mie atant uoit issir une damoisele dou chastel |qui estoit tote nue en sa chemisse 	quar retorner ne volroit il en nulle maniere. |Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	car retourner ne uouldroit il pas. Adonc uoit yssir du chastel une damoisele |qui estoit toute nue en sa chemise. 	car retourner ne uoulloit pas. |A tant uoit yssir une damoiselle du chastel la |quelle estoit toute nue en sa chemise/ 	ca el no se queria tomar en ninguna manera |Ansi estando vio del castillo salir vna donçella en camisa 	ché ritornare non vorebbe elli mica. ?Atanto vide uscire una damigella del castello |ch’era tutta ignuda in sua camicia solamente,
27	si le menoient troi vilain molt vilainement a 	si la menoient. iiii.tre ribaus mout uilment. 	si le menoient. iiij. ribaut moult felenessement	si la menoyent quatre nibaux moult uilainement 	sy la menoient quatre ribaulx monlt felonneusement 	que traian quatro rribaldos muy sañudamente 	si-lla menavano iiii. rubaldi molto villanamente 
28	et tenoit chescuns une hache en sa main; 	et tenoit chascuns une hache en sa main. 	et tenoit Cascuns en sa main. i. coutel trenchant. 	et tenoit ch̃un une hache en sa main. 	et tenoient chascun en sa main ung coustel trenchant. 	e cadavno traia enla mano vna lança 	e tenieno ciascuno una acciaia in sua mano. 
29|30|31	et ele crioit |quanque ele pooit crier por els |qui li faisoient tel honte et tel laidure 	et ele crioit |quantque le pooit crier. por ciax |qui li fasoient tele honte. et tel laidure 	Et elle crioit|quamque elle pooit por chiaus |qui li faisoient tel laidure. 	et elle crioit tant |quelle pouoit crier pour ceulx |qui luy faisoient tel honte et telle laidure 	Et la damoiselle crioit tant comme elle pouoit pour la laidure et honte |que telx ribaulx luy faisoient/ 	e ella daua vozes |quanto podia dar 	Ed ella grida |quanto ch’ella può gridare per coloro |che-lle facieno cotale onta e tal ladiura, 
32	qu’il la venoient batant tot contreval la riviere. 	que il la menoient batant tout contrtual la riuiere t 	quar il lenmenoient tot contreual la riuiere batant 	qui la uenoient batant tout contreual la riuiere.	et la menoient batant contre ual la riuiere. 	e ellos la lleuaron muy desonrrada mente contra la rribera |porla yr ha echar 	ch’elli la menavano battendo tutto contravalle la 
33	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	quant la damoisele uoit le cheualier dautre part la riuiere. 	Et quant elle vit le cheualier de lautre part de laigue. 	Et quant la damoisele uoit le cheualier de lautre part de leaue 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ uiere commenca a crier 	e quando la donçella vio a bores dela otra parte del agua 	riviera.E quando la damigella vide lo cavaliere dall’altra parte dell’acqua, 
34|35	si commence a crier: « |Ha, gentilz chevaliers, secorés ceste damoisele 	si li comance a crier. ha: gentis cheualiers secores ceste damoisele 	si li commenche a crier. |Ha : gentils homs |quar secoures ceste damoisele 	si luy commence a crier |haa gentili cheualier secourez ceste damoisele 	et dire en tell maniere |Haa beau et gentil cheualier secoures ceste damoiselle 	començo a dar vozes |e a deçir |ay jentil cauallero acorred a esta donçella 	si gli comincia a gridare: Hal, gentile huomo, soccorete questa damigella 
36|37|38|39	que cist ribaut vuelent ocirre. |Ha, frans hom, ne m’i laissiés morir, |se vos onques eustes pitié de nule gentil damoisele !» |Quant Boors ot ce qu’ele li prie si pitousement 	que ciz ribaut wellet ocire. ha; frans hons ne mi laissiez morir |se uos eutes onques pitie de franche damosele. |quant boh̾. oit cele |que si piteusement lapele et li prie 	que cist ribaut voelent ochirre. |Pour dieu ne mi laissies ore mie morir. |se vous eustes onques pitie de nulle damoisele ne de nulle gentil dame |Quant bohors oy 	que ces ribaux ueulent occire. |Haa franc homme ne me lessez mourir |si uous eustes onc pitie de nulle gentilz damoisele. |quant boort ouy celle |qui le prie si piteusement 	que ces ribaulx ueullent occire/ |haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars. |et se uous pitie de moy |car se uous ne me secoures ie suys a la mort liurer. |Et quant boort ouyt |quelle le prioit si piteusement 	que estos Ribaldos me quieren ansi matar |ay buen cauallero 	che questi rubaldi vogliono uccidere! Hal, franco cavaliere, non mi lasciate uccidere, se voi unque aveste piatà di nulla gentile damigella». |“Quando Boordo ode colei|che l priega si piatosamente 
40|41|42|43|44|45|46|47	qu'il la secore, |si ne set que fere, |kar volentiers li aidast |s’il peust; |mais il voit l’eve noire et parfonde |et si perilluse |qu’il cuide bien noier, |s’il se met dedens; 	quil la sekeure. Sire set que faire. |car uolentiers li alait aidier |se il poist. |Mais il uoit leue si parfonde et si perilleuse |que il cuide bien perir |se il se met dedans. 	que la damoisele li prioit si piteusement de li secorre |si One sot|que faire |quar volentiers li alast aidier |sil peust estre |mais il voit laigue parfonde et perillouse et noire. |si quide bien morir se il si met 	quil la sequeure il ne scait que faire |car uoulentiers luy alast aider sil peust mais il uoit leaue parfonde noire et perilleuse |que il cuide bien mourir sil si mect dedans. 	si ne scait que faire |car uoulentiers luy allast aider |se il peult estre/ mes il uoit la riuiere parfonde et dangereuse a passer. |et scait bien sil entre dedens |qu il se met en peril de mort.	si nunca oviste piedad de donçella auelda agora de mi |e no me dexedes asi morir Quando boores oyo lo que la donçella deçia no supo |que façer |ca muy de grado la quisiera acorrer si pudiese |Mas el agua hera muy fonda e peligrosa e negra e bien cuidaua morir |si se y Metiese 	che-lla soccorra, |si non sa |che fare, ché volentieri l’andasse ad atare se potesse, |ma e vede l’acqua nera e profonda e perigliosa |che crede bene morire |s’elli si mette di dentro; 
48	et d'autre part il voit cele 	et dautre part il uoit cele 	Et dautre part voit il cels 	Et dautre part il uoit celle 	Et daultre part il uoit celle 	e dela otra parte veya la donçella 	e d’altra parte e vede colei 
49	qui si durement crie merci; 	qui si docemet li prie nc .ci.	qui si piteusement li crie merci. 	qui si fort luy crie mercy. 	qui si piteusement fui crie mercy.	que muy afincada mente le pedia merçed 	che si duramente gli grida mercé, 
50	si l'em prent tels pitiés 	Si len prent tes pitiez 	si len prent tele pities 	si luy en prent telle pitie 	Si luy en prent telle pitie 	e ovo tal piedad della 	si ne gli prende tale piatà 
51|52	qu’il en laisse totes poors |et fet le signe de la crois en mi son vis, 	quil en laisse totes paours. |Si fait le signe de la crois enmi son uis. 	quil en laisse toute paour |et met le signe de la vraie crois en mi son front |et en mi son pis. 	quil en laisse toute paour. |si en fait le signe de la croix enmy son uis. 	quil en laisse toute paour et fait le signe de la croix deuant son uisaige puys embrache son escu 	que le fiço todo el miedo perder |e fiço la señal dela cruz sobre si 	che ne lascia tutte paure |e si fa el segno della santa croce nel miluogo del suo viso, 
53|54|55|56|57	puis enbrace l’escu |et broche le cheval des esperons |et se fiert en l’eve. |Et li chevals fu fors,|si commence a noer 	puis enbrace lescu. et broche le cheual des esperons |et se fiert en leue tot errantment.|Et li cheuaus fu fors si comance a noer 	puis enbrace son escu et fiert le cheual des esperons |et se lance en laigue. |Et li cheuaus commence a noier: 	puis embrace lescu |et broche le cheual des esperons et se fiert erraument en leaue. |et le cheual fu fort |si commence a nouer si tost 	et fiert son cheual des esperens |et se lanche dedens leaue tout erraument: |et le cheual commence a noer si tost 	e enbraço el escudo e firio al cauallo de las espuelas |e lanço se en el agua e el cauallo començo de nadar luego 	poscia imbraccia lo scudo e broca il cavallo degli sproni, |si fiede nell’acqua isnellamente. El cavallo fu forte, incominciò a notare 
58	si tost com il ot terre perdue, 	si tost com il ot terre perdue 	si tost |quil a terre perdue. 	quil eut terre perdue 	quil eust terre perdue. 	e perdio tierra en tal manera 	si tosto com'elli ebbe terra perduta, 
