0	avoir trové. » 	Sire fait elle pour ce |que ie le uoudroie auoir trouue. 	0|1
1	Si li conte tote s’aventure issi 	si luy compte toute sauanture ansi 	2
2	com vos avés oi dire ça arrieres. 	comme le comte la dit |cy deuant	3|4
3	tant qu’il conoist bien 	tant |que il cognoist bien 	5|6
4	que c’est il 	que cest il 	7
5	qu’ele quiert a, 	quelle quiert. 	8
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	Mais pour le courroux |quil a de la mort au seneschal ne se ueult il faire cognoistre 	9|10
7|8	ains li respont: « |Certes, damoisele, chevalier 	Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier 	11
9	qui porte escu blanc ne conois je nul. — 	qui porte escu blanc. 	12
10|11	En non Dieu, sire, fet ele, |ce poise moi chierement. » 	Certes sire fait elle ce me poise 	13
12	Et il n’en tient plus a li parole, 	et il ne tient plus parole a luy.	14
13	ains part si tost 	ains sem part |si tost 	15|16
14|15	com il l’ot commandee a Dieu a |et chevalche en tel maniere jusqu’a tierce 	quil leut commandee a dieu et cheuauche en telle maniere 	17
16	tant qu’il vint a l’issue de la forest; 	iucqua tierce |tant quil uient a lissue de la fourest. 	18|19
17	et il torne a destre vers un chemin viés et ancien; 	et il tourne a destre vers ung chemin uieil et ancien.	20
18	si ne demora gueres 	Si ne demoura gueres 	21
19	qu’il vint a une eve P lee et parfonde, 	quil uient a une caue lee et parfonde	22
20	mais il n’i trueve pont 	mais il ny treuue pont 	23
21	ne gué ne passage nul. 	ne gue ne passage nul. 	24
22	Et il regarde d’autre part de l’eve, 	et il regarde de lautrepart de leaue 	25
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde . Il regarde grant piece le chastel 	26
24	dont la façons li plest molt a regarder, 	dont la facon luy plaist moult a regarder 	27
25	puis s’en torne contreval la riviere	puis sen retourne tout contreual la riuiere 	28
26	por savoir 	pour sauoir 	29
27	s’il i peust trover ne pont ne gué, 	sil pourroit trouuer ne pont ne gue 	30
28	mais il n’en trueve point 	Mais il ny en treuue point. 	31
29	et quant il voit 	Et|quant il uoit 	32|33
30	qu’il n’i passera, 	quil ne puet passer 	34
31	si ne set 	si ne scet 	35
32	que fere, 	que faire	36
33	que retorner ne voldroit il mie. 	car retourner ne uouldroit il pas. 	37
