0	avoir trové. » 	porce |que io le uodroie auoir troue 	0|1
1	Si li conte tote s’aventure issi 	Si li conte tote sauenture	2
2	com vos avés oi dire ça arrieres. 	ainsi com li contes la retraite. 	3
3	tant qu’il conoist bien 	Tant que il quenoit bien 	4
4	que c’est il 	que cest ele 	5
5	qu’ele quiert a, 	que il le quiert. 	6
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	mais por le corrous |quil auoit de la mort au seneschal: 	7|8
		ne se wet faire 	9
7	ains li respont: « 	quenoistre a li|si li dit. 	10|11
8	Certes, damoisele, chevalier 	Certes damoisele 	12
9	qui porte escu blanc ne conois je nul. — 	qui port escu blanc ne sai ie nul. 	13
10|11	En non Dieu, sire, fet ele, |ce poise moi chierement. » 	En no dieu fait ele de ce me poise il trop durement. 	14
12	Et il n’en tient plus a li parole, 	et il ne tient plus a li parole. 	15
13	ains part si tost 	Ains sen part	16
14	com il l’ot commandee a Dieu a 	si tost comme il lot comandee a dieu. 	17
15	et chevalche en tel maniere jusqu’a tierce 	et cheuauche en tel maniere. 	18
16	tant qu’il vint a l’issue de la forest; 	tant quil uient a lissue de la forest 	19
17	et il torne a destre vers un chemin viés et ancien; 	et il torne a destre uers le chemin uiee et acien 	20
18	si ne demora gueres 	Si ne demora gaires	21
19	qu’il vint a une eve P lee et parfonde, 	quil uient a une eue lee et parfonde. 	22
20	mais il n’i trueve pont 	mais il ni trueue ne pont 	23
21	ne gué ne passage nul. 	ne gue ne passaige nul. 	24
22	Et il regarde d’autre part de l’eve, 	et lors regarde il dautre part de leue. 	25
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel 	26|27
24	dont la façons li plest molt a regarder, 	dont Ia fasons li plait mout a esgarder. 	28
25	puis s’en torne contreval la riviere	et puis sen torne tot contreual la riuere. 	29
26|27	por savoir |s’il i peust trover ne pont ne gué, 	Por sauoir se il i troueroit ne pont ne gue. 	30
