0	avoir trové. » 	porce |que io le uodroie auoir troue 	0|1
1	Si li conte tote 	Si li conte tote sauenture 	2
2	s’aventure issi 	ainsi 	3
3	com vos avés oi dire ça arrieres. 	com li contes la retraite. 	4
4	tant qu’il conoist bien	Tant que il quenoit bien 	5
5	que c’est il 	que cest ele 	6
6	qu’ele quiert a, 	que il le quiert.	7
7	Mais por le coros de la mort 	mais por le corrous 	8
8	al seneschal ne se volt fere conoistre,	quil auoit de la mort au seneschal: |ne se wet faire 	9|10
9	ains li respont: « 	quenoistre a li |si li dit. 	11|12
10	Certes, damoisele, chevalier 	Certes damoisele 	13
11	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, 	qui port escu blanc ne sai ie nul. 	14
12	ce poise moi chierement. » 	En no dieu fait ele de ce me poise il trop durement. 	15
13	Et il n’en tient plus a li parole, 	et il ne tient plus a li parole. 	16
14	ains part si tost	Ains sen part |si tost 	17|18
15	com il l’ot commandee a Dieu a 	comme il lot comandee a dieu. 	19
16	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	et cheuauche en tel maniere. |tant quil uient a lissue de la forest 	20|21
17	et il torne a destre vers un chemin viés et ancien; 	et il torne a destre uers le chemin uiee |et acien 	22|23
18	si ne demora gueres 	Si ne demora gaires	24
19	qu’il vint a une eve P lee et parfonde, 	quil uient a une eue lee et parfonde. 	25
20	mais il n’i trueve pont ne gué ne passage nul. 	mais il ni trueue ne pont 	26
21	Et il regarde d’autre part de l’eve, 	ne gue ne passaige nul. et lors regarde il dautre part de leue. 	27
22	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel 	28|29
23	dont la façons li plest molt a regarder, 	dont Ia fasons li plait mout a esgarder. 	30
24	puis s’en torne contreval la riviere	et puis sen torne tot contreual la riuere. 	31
25	por savoir 	Por sauoir 	32
26	s’il i peust trover ne pont ne gué,	se il i troueroit ne pont ne gue. 	33
27	mais il n’en trueve point 	mais il nen i trurue point : 	34
28	et quant il voit 	si ne sot 	35
29|30	qu’il n’i passera, |si ne set que fere, 	que faire 	36
31	que retorner ne voldroit il mie. 	car retorner 	37
32	Atant voit issir del chastel une damoisele 	ne wet il mie atant uoit issir une damoisele dou chastel 	38
33	qui ert tote nue en sa chemise, 	qui estoit tote nue en sa chemisse 	39
34	si le menoient troi vilain molt vilainement a 	si la menoient. iiii.tre ribaus mout uilment. 	40
35	et tenoit chescuns une hache en sa main; 	et tenoit chascuns une hache en sa main. 	41
36	et ele crioit 	et ele crioit 	42
37	quanque ele pooit crier por els 	quantque le pooit crier. por ciax 	43
