0	avoir trové. » 	Sire fait elle enuellopee |quil ne la pouoit cengnoistre pour pour ce 	0|1
1	Si li conte tote 	que ie le uouldroie auoir trouue 	2
2|3	s’aventure issi |com vos avés oi dire ça arrieres. 	si luy compte toute son auanture 	3
4	tant qu’il conoist bien	tant quil cengnoit bien 	4
5	que c’est il 	que cest celle 	5
6	qu’ele quiert a, 	qui le quiert/ 	6
7	Mais por le coros de la mort 	Mais pour le couroust 	7
8	al seneschal ne se volt fere conoistre,	quil a du sencchal et de sa mort |ne se uoult faire congnoistre/ 	8|9
9|10	ains li respont: « |Certes, damoisele, chevalier 	mes leur respont certes damoiselle ie ne cengnois mie le cheualier 	10
11|12	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, |ce poise moi chierement. » 	qui porte les blances armes. En nen dieu fait elle il me poyse monlt chierement. 	11
13	Et il n’en tient plus a li parole, 	A donc sen part |et ne uoult plus parler il la commandee a dieu et sen ua. 	12|13
14	ains part si tost	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies 	14
15	com il l’ot commandee a Dieu a 	tant 	15
16	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	quil uint a lissue de la forest 	16
17	et il torne a destre vers un chemin viés et ancien; 	et il tourna a destre uers ung petit chemyn uieil: 	17
18	si ne demora gueres 	si ne demoura gueres 	18
19	qu’il vint a une eve P lee et parfonde, 	quil uint en une uallee/ |ou il couroit une eau monlt roidde la 	19|20
		quelle estoit grande et parfonde/ 	21
20	mais il n’i trueve pont ne gué ne passage nul. 	et ne treuue ne pont ne planche |par ou il puisse passer. 	22|23
21	Et il regarde d’autre part de l’eve, 	Sy regarde de laultre part de leaue 	24
22	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. Il regarde le chastel grant pieche 	25
23	dont la façons li plest molt a regarder, 	car monlt luy plaisoit a uoir/ 	26
24|25	puis s’en torne contreval la riviere|por savoir 	puis sen tourne contre ual la riuiere pour scauoir 	27
26	s’il i peust trover ne pont ne gué,	sil pouroit trouuer ne pont ne gue par le |quel il puisse passer/ 	28|29
27	mais il n’en trueve point 	mes il nen truue point.	30
28|29	et quant il voit |qu’il n’i passera, 	Et il uoit ce 	31
30	si ne set que fere, 	si ne scait |que faire/ 	32|33
31	que retorner ne voldroit il mie. 	car retourner ne uoulloit pas. 	34
32	Atant voit issir del chastel une damoisele 	A tant uoit yssir une damoiselle du chastel la 	35
33	qui ert tote nue en sa chemise, 	quelle estoit toute nue en sa chemise/	36
34	si le menoient troi vilain molt vilainement a 	sy la menoient quatre ribaulx monlt felonneusement 	37
35	et tenoit chescuns une hache en sa main; 	et tenoient chascun en sa main ung coustel trenchant. 	38
36	et ele crioit 	Et la damoiselle crioit	39
37	quanque ele pooit crier por els 	tant comme elle pouoit pour la laidure et honte 	40
38	qui li faisoient tel honte et tel laidure 	que telx ribaulx luy faisoient/ 	41
