0	avoir trové. » 	avere trovato». Si gli conta tutta sua aventura 	0
1	Si li conte tote 	si come el libro l’à trattato 	1
2|3	s’aventure issi |com vos avés oi dire ça arrieres. 	qua 	2
4	tant qu’il conoist bien	adietro, tanto che conosce bene 	3
5	que c’est il 	che ciò est elli 	4
6	qu’ele quiert a, 	quelli cui ella chiede, ma per lo cruccio 	5
7	Mais por le coros de la mort 	ch’egli à della morte del siniscalco 	6
8	al seneschal ne se volt fere conoistre,	non si vuole fare |cognoscere, anzi le 	7|8
9|10	ains li respont: « |Certes, damoisele, chevalier 	risponde: 'Certo, damigella, il cavaliere 	9
11	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, 	che porta lo scudo bianco |non ne so io nulla. —A nome di 	10|11
12	ce poise moi chierement. » 	Dio, 	12
13	Et il n’en tient plus a li parole, 	dis’ella, ciò pesa a mes. E non tenne più a-llei 	13
14	ains part si tost	parole, anzi si parti |si tosto 	14|15
15	com il l’ot commandee a Dieu a 	come l’à comandata a dDio 	16
16	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	e cavalca tanto in tale maniera infino qua a |terza, tanto che viene a l’uscita della foresta. Ed e torna a destra inverso uno camino vecchio e 	17|18
17	et il torne a destre vers un chemin viés et ancien; 	antico, 	19
18|19	si ne demora gueres |qu’il vint a une eve P lee et parfonde, 	si non dimora guari che viene a una acqua lata e 	20
20|21	mais il n’i trueve pont ne gué ne passage nul. |Et il regarde d’autre part de l’eve, 	perfonda, ma e' non vi truova né ponte né guado né passaggio nullo. Ed elli isguarda d’altra parte 	21
22	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	dell’acqua, si vide uno piccolo castello molto ben sedente, chiuso d’uno muro battagliato tutto intorno alla ritonda. eElli riguarda gran peza il 	22
23	dont la façons li plest molt a regarder, 	castello, donde la fazion gli piace molto al 	23
24|25	puis s’en torne contreval la riviere|por savoir 	riguardare, poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare 	24
26	s’il i peust trover ne pont ne gué,	né ponte né 	25
27	mais il n’en trueve point 	guado, ma e non ve ne truova 	26
28	et quant il voit 	punto, |e quand’e vede che non potrà 	27|28
29	qu’il n’i passera, 	passare, 	29
30	si ne set que fere, 	si non sa che 	30
31|32	que retorner ne voldroit il mie. |Atant voit issir del chastel une damoisele 	fare, ché ritornare non vorebbe elli mica. ?Atanto vide uscire una damigella del castello 	31
33	qui ert tote nue en sa chemise, 	ch’era tutta ignuda in sua camicia 	32
34	si le menoient troi vilain molt vilainement a 	solamente, si-lla menavano iiii. rubaldi molto villanamente 	33
35|36	et tenoit chescuns une hache en sa main; |et ele crioit 	e tenieno ciascuno una acciaia in sua mano. Ed ella grida 	34
37	quanque ele pooit crier por els 	quanto ch’ella può gridare |per coloro 	35|36
38|39	qui li faisoient tel honte et tel laidure |qu’il la venoient batant tot contreval la riviere. 	che-lle facieno cotale onta 	37
40	Et	e tal 	38
41	quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	ladiura, ch’elli la menavano battendo tutto contravalle la riviera.E quando la damigella vide lo cavaliere dall’altra parte 	39
42	si commence a crier: « 	dell’acqua, si gli comincia a 	40
43	Ha, gentilz chevaliers, secorés ceste damoisele 	gridare: Hal, gentile |huomo, soccorete questa damigella 	41|42
44|45	que cist ribaut vuelent ocirre. |Ha, frans hom, 	che questi rubaldi vogliono uccidere! Hal, franco 	43
46|47	ne m’i laissiés morir, |se vos onques eustes pitié de nule gentil damoisele !» 	cavaliere, non mi lasciate uccidere, se voi unque aveste piatà di nulla gentile damigella». “Quando Boordo ode colei che l priega 	44
48	Quant Boors ot ce		
49	qu’ele li prie si pitousement 	si piatosamente che-lla 	45
50	qu'il la secore, 	soccorra, 	46
51|52	si ne set |que fere, 	si non sa che 	47
53	kar volentiers li aidast 		
54|55	s’il peust; |mais il voit l’eve noire et parfonde et si perilluse 	fare, ché volentieri l’andasse ad atare se potesse, ma e vede l’acqua nera e profonda e perigliosa 	48
56	qu’il cuide bien noier, 	che crede bene morire s’elli 	49
57	s’il se met dedens; 	si mette di dentro; 	50
58	et d'autre part il voit cele 	e d’altra parte 	51
59	qui si durement crie merci; 	e vede colei che si duramente gli grida 	52
60	si l'em prent tels pitiés 	mercé, si ne gli prende tale piatà 	53
61	qu’il en laisse totes poors 	che ne lascia tutte paure 	54
62	et fet le signe de la crois en mi son vis, 	e si fa el segno della santa croce |nel miluogo del suo 	55|56
63|64	puis enbrace l’escu |et broche le cheval des esperons 	viso, poscia imbraccia lo scudo e broca il cavallo degli 	57
		sproni, 	58
65|66	et se fiert en l’eve. |Et li chevals fu fors, 	si fiede nell’acqua isnellamente. El cavallo fu 	59
67	si commence a noer 	forte, incominciò a notare 	60
68	si tost com il ot terre perdue, 	si tosto com'elli ebbe terra |perduta, 	61|62
69	si l’enporte d’autre part de la rive a quelque paine, 	si ne l portò d’altra parte della riva a qualche 	63
70	mais ançois ot beu de l’eve li uns et li autre,	pena, 'ma inanzi furono amenduni tutti |molli, 	64|65
71	et se li chevals ne fust si buens, noié fuissent ambedui, 	e se l cavallo non fosse stato |si 	66|67
72	kar li chevaliers estoit pesans por les armes 	forte, anegati fossono |amenduni, ché l cavaliere era pesante per l’arme ch’elli avea 	68|69
73	qu’il avoit vestues. 	vestite. 	70
74	Quant il fu de l’autre part de l’eve, 	Quand’e fu da l’altra parte |dell’acqua, 	71|72
75	si ne descendi pas, 	si non discende 	73
76	ains cort vers cels 	passo, anzi muove il cavallo inverso di coloro 	74
77	qui la damoisele tenoient 	che lla T tenieno 	75
78|79	et fiert si le premier |qu’il aconsieut	e fiede si il primaio ch’elli agiugne 	76
80	qu’il li met le glaive par mi le cors, 	che gli mette la lancia |per me' il 	77|78
81	si l’abat a terre, 	corpo, si-llo abatte a |terra, 	79|80
82|83	et li autre s’enfuient erraument |por ce	e gli altri se ne fugono tosto 	81
84|85	que desarmé estoient. |Et la damoisele 	per ciò che disarmati erano. E la damigella, che si vide 	82
86	qui delivree se voit se met a genols devant Boort 	dilivera, si mette a ginocchia davanti |Boordo: Hal, gentile 	83|84
87	et dist: « 	cavaliere, 	85
88	Ha, gentils chevaliers, de Dieu soiés vos beneois, 	diss’ella, da Dio siate vo' benedetto 	86
89|90	quant vos m’avés de mort rescosse, |et aorés en soit Diex, 	quando vo m’avete di morte riscossa, e adorato ne sia lddio quand’elli in queste parti vo 	87
91	quant il ceste part vos amena, 	menò, ché questi guiglioni m’avessono già 	88
92	kar cist gloton m’euissent ja morte. — Damoisele, fet il, 	morta, se vo' non foste. — Damigella, disse Boordo, perché? -Il vo 	89
93	por quoi ? — Sire fet ele, jel vos dirai bien, 	dirò, diss’ella, bene, ma' che vo' m’abiate messa a 	90
94	mais que vos m’aiés mise a sauveté. — 	salvamento. — Come, disse 	91
95	Coment ? fet il. Avés vos dont garde ? — 	elli, avete vo' dunque guardia? - Certo, |sire, 	92|93
96	Certes, fet ele, ja asseur ne seraî fant 	diss'ella, già sicura non sarò 	94
97|98	com je sache laiens le seignor del chastel, |kar c’est li plus fel chevaliers del monde et li plus traîtres. » 	tanto com’io sappia là entro il signore del castello, ché ciò è il più fiero cavaliere del mondo 	95
		e I più 	96
99	A ces paroles voient issir I. chevalier del chastel 	traditore». A queste parole vidono uscire un cavaliere del |castello, 	97|98
100	et la 	e là 	99
101	ou il vit Boort, 	ov’egli vide Boordo 	100
102	si li escrie : « Laissiés, dans chevaliers, la damoisele 	si-llo isgrida: «Danzi cavaliere, lasciate la |damigella, ché vonon la menere mica, 	101|102
103	que vos n’enmenrois mie! 	e per mio capo male la riscoteste!».Si gli corre suso 	103
104	Par mon chief, mar le rescosistes!» 	quanto ch’elli puote, la lancia islungata, e Boordo il fiede si duramente in suo venire |che llo scudo né llo asbergo no-llo guerentisce 	104|105
105	Si li cort 	che non gli metta |per me' il corpo e ferro e fusto, 	106|107
106	quanqu’il puet le glaive alongié; 	e que' cade a terra tutto isteso che più nonn-à mestier di medico. E quando que del castello vidono insi lor cavaliere |abatuto, si ve ne rimandarono immantanente uno altro 	108|109
107	et Boors retrait son glaîve a lui del cors a celui 	per quello |vendicare, che disse a Boordo che ssi guardi da- 	110|111
