0	avoir trové. » 	queria fallar muy de grado 	0
1|2	Si li conte tote |s’aventure issi 	e luego le conto todo 	1
3|4	com vos avés oi dire ça arrieres. |tant qu’il conoist bien	como le auia conel contesçido 	2
5|6	que c’est il |qu’ele quiert a, 	asi como el cuento lo a deuisado 	3
7	Mais por le coros de la mort 	e luego entendio boores 	4
8	al seneschal ne se volt fere conoistre,	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer 	5
9|10	ains li respont: « |Certes, damoisele, chevalier 	antele rrespondio çierto donçella al cauallero 	6
11	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, 	que traia blancas armas |no conozco yo Pardios dixo la donçella mucho me Pesa caramjente 	7|8
12	ce poise moi chierement. » 		
13|14	Et il n’en tient plus a li parole, |ains part si tost	e boores non quiso conella mas estar 	9
15	com il l’ot commandee a Dieu a 	e acomendo la a dios |e fuese 	10|11
16	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	e andubo tanto |que salio dela floresta 	12|13
17	et il torne a destre vers un chemin viés et ancien; 	e dexo el camino e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	14|15
18	si ne demora gueres 	e non andubo mucho 	16
19	qu’il vint a une eve P lee et parfonde, 	porque llego a vn valle |Por do corria vn agua muy negra e fea e fonda 	17|18
20	mais il n’i trueve pont ne gué ne passage nul. 	e non fallo puente |por do Pudiese pasar 	19|20
21	Et il regarde d’autre part de l’eve, 	e cato dela otra parte Del agua 	21
22	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	22
23	dont la façons li plest molt a regarder, 	ca mucho se pagaua delo catar 	23
24	puis s’en torne contreval la riviere	e despues torno la rribera ayuso 	24
25|26	por savoir |s’il i peust trover ne pont ne gué,	Por saber si podria fallar puente 	25
27|28	mais il n’en trueve point |et quant il voit 	Por do pasase mas el no pudo fallar ninguna 	26
29|30	qu’il n’i passera, |si ne set que fere, 	e boores desque esto vido no sabia que se façer 	27
31	que retorner ne voldroit il mie. 	ca el no se queria tomar en ninguna manera 	28
32|33	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise, 	Ansi estando vio del castillo salir vna donçella en camisa 	29
34	si le menoient troi vilain molt vilainement a 	que traian quatro rribaldos muy sañudamente 	30
35	et tenoit chescuns une hache en sa main; 	e cadavno traia enla mano vna lança 	31
36	et ele crioit 	e ella daua vozes 	32
37|38	quanque ele pooit crier por els |qui li faisoient tel honte et tel laidure 	quanto podia dar 	33
39	qu’il la venoient batant tot contreval la riviere. 	e ellos la lleuaron muy desonrrada mente contra la rribera 	34
40	Et	porla yr ha echar 	35
