0	avoir trové. » 	auoir troue fait elle. 	0
1|2	Si li conte tote |s’aventure issi 	si li conte toute sauenture si	1
3	com vos avés oi dire ça arrieres. 	com li contes la retrait cha en arriere. 	2
4	tant qu’il conoist bien	Tant que il connoist bien 	3
5|6	que c’est il |qu’ele quiert a, 	quele le quiert. 	4
7	Mais por le coros de la mort 	Mais pour le courous	5
8	al seneschal ne se volt fere conoistre,	quil a del senescal. |ne se volt il faire aconnoistre.	6|7
9	ains li respont: « 	Ains li respont. 	8
10	Certes, damoisele, chevalier 	Certes damoisele le cheualier 	9
11|12	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, |ce poise moi chierement. » 	qui porte blanches armes ne connois iou mie. Enon dieu sire fait elle che poise moi moult durement. 	10
13	Et il n’en tient plus a li parole, 	Lors le commande a dieu	11
14|15	ains part si tost|com il l’ot commandee a Dieu a 	et puis sen part de li 	12
16	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	et cheuauche en tel maniere iusques a tierce. |Tant que il vint a lissue de la forest. 	13|14
17	et il torne a destre vers un chemin viés et ancien; 	et torne a destre en vn petit chemin viez 	15
18	si ne demora gueres 	Si ne demora gaires 	16
19	qu’il vint a une eve P lee et parfonde, 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	17|18
20	mais il n’i trueve pont ne gué ne passage nul. 	mais il ni troeue ne pont |ne passage. 	19|20
21|22	Et il regarde d’autre part de l’eve, |si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	Et il regarde de lautre part de laigue si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. Il regarde le chastel grant piece 	21
23	dont la façons li plest molt a regarder, 	dont la fachons li plaisoit moult a regarder.	22
24	puis s’en torne contreval la riviere	puis sen torne contremont la riuiere 	23
25	por savoir 	pour sauoir 	24
26	s’il i peust trover ne pont ne gué,	se il troueroit |ne pont ne gue. 	25|26
27	mais il n’en trueve point 	mais il ni trueue nul passage. 	27
28|29	et quant il voit |qu’il n’i passera, 	Et quant il voit chou 	28
30	si ne set que fere, 	si ne set |que faire 	29|30
