micha-ii-48	lancellotto-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48
avoir trové. » 	avere trovato». Si gli conta tutta sua aventura 	porce  que io le uodroie auoir troue 	auoir troue fait elle. 	Sire fait elle  pour ce 	Sire fait elle enuellopee  quil ne la pouoit cengnoistre pour pour ce 	queria fallar muy de grado 
Si li conte tote  s’aventure issi  com vos avés oi dire ça arrieres.  tant qu’il conoist bien	si come el libro l’à trattato  qua  adietro, tanto che conosce bene 	Si li conte tote sauenture  ainsi  com li contes la retraite.  Tant que il quenoit bien 	si li conte toute sauenture si com li contes la retrait cha en arriere.  Tant que il connoist bien 	que ie le uoudroie  auoir trouue.  si luy compte toute sauanture ansi  comme le comte la dit cy deuant tant  que il cognoist bien 	que ie le uouldroie auoir trouue  si luy compte toute son auanture  tant quil cengnoit bien 	e luego le conto todo  como le auia conel contesçido 
que c’est il  qu’ele quiert a, 	che ciò est elli  quelli cui ella chiede, ma per lo cruccio 	que cest ele  que il le quiert.	quele le quiert. 	que cest il  quelle quiert. 	que cest celle  qui le quiert/ 	asi como el cuento lo a deuisado 
Mais por le coros de la mort 	ch’egli à della morte del siniscalco 	mais por le corrous 	Mais pour le courous	Mais pour le courroux 	Mais pour le couroust 	e luego entendio boores 
al seneschal ne se volt fere conoistre,	non si vuole fare  cognoscere, anzi le 	quil auoit de la mort au seneschal:  ne se wet faire 	quil a del senescal.  ne se volt il faire aconnoistre.	quil a de la mort au seneschal  ne se ueult il faire cognoistre 	quil a du sencchal et de sa mort  ne se uoult faire congnoistre/ 	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer 
ains li respont: «  Certes, damoisele, chevalier 	risponde: 'Certo, damigella, il cavaliere 	quenoistre a li  si li dit.  Certes damoisele 	Ains li respont.  Certes damoisele le cheualier 	Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier 	mes leur respont certes damoiselle ie ne cengnois mie le cheualier 	antele rrespondio çierto donçella al cauallero 
qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele,  ce poise moi chierement. » 	che porta lo scudo bianco  non ne so io nulla. —A nome di  Dio, 	qui port escu blanc ne sai ie nul.  En no dieu fait ele de ce me poise il trop durement. 	qui porte blanches armes ne connois iou mie. Enon dieu sire fait elle che poise moi moult durement. 	qui porte escu blanc.  Certes sire fait elle  ce me poise 	qui porte les blances armes. En nen dieu fait elle il me poyse monlt chierement. 	que traia blancas armas  no conozco yo Pardios dixo la donçella mucho me Pesa caramjente 
Et il n’en tient plus a li parole,  ains part si tost com il l’ot commandee a Dieu a 	dis’ella, ciò pesa a mes. E non tenne più a-llei  parole, anzi si parti  si tosto  come l’à comandata a dDio 	et il ne tient plus a li parole.  Ains sen part  si tost  comme il lot comandee a dieu. 	Lors le commande a dieu et puis sen part de li 	et il ne tient plus parole a luy.  ains sem part si tost  quil leut commandee a dieu 	A donc sen part  et ne uoult plus parler il la commandee a dieu et sen ua.  et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies  tant 	e boores non quiso conella mas estar  e acomendo la a dios  e fuese 
et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	e cavalca tanto in tale maniera infino qua a  terza, tanto che viene a l’uscita della foresta. Ed e torna a destra inverso uno camino vecchio e 	et cheuauche en tel maniere.  tant quil uient a lissue de la forest 	et cheuauche en tel maniere iusques a tierce.  Tant que il vint a lissue de la forest. 	et cheuauche en telle maniere iucqua tierce  tant quil uient a lissue de la fourest. 	quil uint a lissue de la forest 	e andubo tanto  que salio dela floresta 
et il torne a destre vers un chemin viés et ancien; 	antico, 	et il torne a destre uers le chemin uiee  et acien 	et torne a destre en vn petit chemin viez 	et il tourne a destre vers ung chemin uieil et ancien.	et il tourna a destre uers ung petit chemyn uieil: 	e dexo el camino e tomo a mano derecha vn camino pequeño  e biejo lleno de yerba 
si ne demora gueres  qu’il vint a une eve P lee et parfonde, 	si non dimora guari che viene a una acqua lata e 	Si ne demora gaires quil uient a une eue lee et parfonde. 	Si ne demora gaires  quil vint en vne moult grant ualee  ou il couroit vne aigue grant et roide et parfunde. 	Si ne demoura gueres  quil uient a une caue lee et parfonde  mais il ny treuue pont 	si ne demoura gueres  quil uint en une uallee/  ou il couroit une eau monlt roidde la 	e non andubo mucho  porque llego a vn valle  Por do corria vn agua muy negra e fea e fonda 
					quelle estoit grande et parfonde/ 	
mais il n’i trueve pont ne gué ne passage nul.  Et il regarde d’autre part de l’eve,  si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	perfonda, ma e' non vi truova né ponte né guado né passaggio nullo. Ed elli isguarda d’altra parte  dell’acqua, si vide uno piccolo castello molto ben sedente, chiuso d’uno muro battagliato tutto intorno alla ritonda. eElli riguarda gran peza il 	mais il ni trueue ne pont  ne gue ne passaige nul. et lors regarde il dautre part de leue.  Si uoit .i. petit chastelet mout bien feant  qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel 	mais il ni troeue ne pont  ne passage.  Et il regarde de lautre part de laigue si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. Il regarde le chastel grant piece 	ne  gue ne passage nul.  et il regarde de lautrepart de leaue si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde . Il regarde grant piece le chastel 	et ne treuue ne pont ne planche  par ou il puisse passer.  Sy regarde de laultre part de leaue  et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. Il regarde le chastel grant pieche 	e non fallo puente  por do Pudiese pasar  e cato dela otra parte Del agua  e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 
dont la façons li plest molt a regarder, 	castello, donde la fazion gli piace molto al 	dont Ia fasons li plait mout a esgarder. 	dont la fachons li plaisoit moult a regarder.	dont la facon luy plaist moult a regarder 	car monlt luy plaisoit a uoir/ 	ca mucho se pagaua delo catar 
puis s’en torne contreval la riviere por savoir  s’il i peust trover ne pont ne gué,	riguardare, poscia ritorna tutto contravalle la riviera per sapere se potrebbe trovare  né ponte né 	et puis sen torne tot contreual la riuere.  Por sauoir  se il i troueroit ne pont ne gue. 	puis sen torne contremont la riuiere  pour sauoir  se il troueroit  ne pont ne gue. 	puis sen retourne tout contreual la riuiere  pour sauoir sil pourroit trouuer ne pont ne gue 	puis sen tourne contre ual la riuiere pour scauoir  sil pouroit trouuer ne pont ne gue par le  quel il puisse passer/ 	e despues torno la rribera ayuso  Por saber si podria fallar puente 
mais il n’en trueve point  et quant il voit  qu’il n’i passera,  si ne set que fere, 	guado, ma e non ve ne truova  punto,  e quand’e vede che non potrà  passare,  si non sa che 	mais il nen i trurue point :  si ne sot  que faire 	mais il ni trueue nul passage.  Et quant il voit chou  si ne set  que faire 	Mais il ny en treuue point.  Et quant il uoit  quil ne puet passer  si ne scet  que faire 	mes il nen truue point. Et il uoit ce  si ne scait  que faire/ 	Por do pasase mas el no pudo fallar ninguna  e boores desque esto vido no sabia que se façer 
