0	avoir trové. » 	Sire fait elle pour ce |que ie le uoudroie auoir trouue. 	0|1
1	Si li conte tote s’aventure issi 	si luy compte toute sauanture ansi 	2
2	com vos avés oi dire ça arrieres. 	comme le comte la dit cy deuant tant 	3
3	tant qu’il conoist bien 	que il cognoist bien 	4
4	que c’est il 	que cest il 	5
5	qu’ele quiert a, 	quelle quiert. 	6
6	Mais por le coros de la mort al seneschal ne	Mais pour le courroux |quil a de la mort au seneschal ne se ueult il faire cognoistre 	7|8
7	se volt fere conoistre, 		
8|9	ains li respont: « |Certes, damoisele, chevalier 	Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier 	9
10	qui porte escu blanc 	qui porte escu blanc. 	10
11|12	ne conois je nul. — En non Dieu, sire, fet ele, |ce poise moi chierement. » 	Certes sire fait elle ce me poise 	11
13	Et il n’en tient plus a li parole, 	et il ne tient plus parole a luy.	12
14	ains part si tost 	ains sem part |si tost 	13|14
15	com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	quil leut commandee a dieu et cheuauche en telle maniere iucqua tierce 	15
16	tant qu’il vint a l’issue de la forest; 	tant quil uient a lissue de la fourest. 	16
17	et il torne a destre vers un chemin viés et ancien; 	et il tourne a destre vers ung chemin uieil et ancien.	17
18	si ne demora gueres 	Si ne demoura gueres 	18
19	qu’il vint a une eve P lee et parfonde, 	quil uient a une caue lee et parfonde	19
20	mais il n’i trueve pont 	mais il ny treuue pont 	20
21	ne gué ne passage nul. 	ne gue ne passage nul. 	21
22	Et il regarde d’autre part de l’eve, 	et il regarde de lautrepart de leaue 	22
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde . Il regarde grant piece le chastel 	23
24	dont la façons li plest molt a regarder, 	dont la facon luy plaist moult a regarder 	24
25	puis s’en torne contreval la riviere	puis sen retourne tout contreual la riuiere 	25
26	por savoir 	pour sauoir 	26
27	s’il i peust trover ne pont ne gué, 	sil pourroit trouuer ne pont ne gue 	27
28	mais il n’en trueve point 	Mais il ny en treuue point. 	28
29	et quant il voit 	Et|quant il uoit 	29|30
30	qu’il n’i passera, 	quil ne puet passer 	31
31	si ne set 	si ne scet 	32
32	que fere, 	que faire	33
33	que retorner ne voldroit il mie. 	car retourner ne uouldroit il pas. 	34
