		Sire fait elle enuellopee 	0
		quil ne la pouoit cengnoistre 	1
0	avoir trové. » 	pour pour ce	2
1	Si li conte tote s’aventure issi 	que ie le uouldroie auoir trouue |si luy compte toute son auanture	3|4
2	com vos avés oi dire ça arrieres. 	tant 	5
3	tant qu’il conoist bien 	quil cengnoit bien 	6
4	que c’est il 	que cest celle 	7
5	qu’ele quiert a, 	qui le quiert/ 	8
6	Mais por le coros de la mort al seneschal ne	Mais pour le couroust 	9
7	se volt fere conoistre, 	quil a du sencchal et de sa mort ne se uoult faire congnoistre/ 	10
8	ains li respont: « 	mes leur respont 	11
9	Certes, damoisele, chevalier 	certes damoiselle ie ne cengnois mie le cheualier 	12
10	qui porte escu blanc 	qui porte les blances armes. 	13
11|12	ne conois je nul. — En non Dieu, sire, fet ele, |ce poise moi chierement. » 	En nen dieu fait elle il me poyse monlt chierement. 	14
13	Et il n’en tient plus a li parole, 	A donc sen part |et ne uoult plus parler il la commandee a dieu 	15|16
14	ains part si tost 	et sen ua. 	17
15	com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	et cheuauche iusques a tierce eustes onques pitie |de nulle gentille dane aies tant	18|19
16	tant qu’il vint a l’issue de la forest; 	quil uint a lissue de la forest 	20
17	et il torne a destre vers un chemin viés et ancien; 	et il tourna a destre uers ung petit chemyn uieil: 	21
18	si ne demora gueres 	si ne demoura gueres 	22
19	qu’il vint a une eve P lee et parfonde, 	quil uint en une uallee/ |ou il couroit une eau monlt roidde la 	23|24
20	mais il n’i trueve pont 	quelle estoit grande et parfonde/ 	25
21	ne gué ne passage nul. 	et ne treuue ne pont ne planche |par ou il puisse passer. 	26|27
22	Et il regarde d’autre part de l’eve, 	Sy regarde de laultre part de leaue 	28
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. Il regarde le chastel grant pieche 	29
24	dont la façons li plest molt a regarder, 	car monlt luy plaisoit a uoir/ 	30
25	puis s’en torne contreval la riviere	puis sen tourne contre ual la riuiere 	31
26	por savoir 	pour scauoir 	32
27	s’il i peust trover ne pont ne gué, 	sil pouroit trouuer ne pont ne gue par le quel il puisse passer/ 	33
28	mais il n’en trueve point 	mes il nen truue point. 	34
29|30	et quant il voit |qu’il n’i passera, 	Et il uoit ce 	35
31	si ne set 	si ne scait 	36
32	que fere, 	que faire/ 	37
33	que retorner ne voldroit il mie. 	car retourner ne uoulloit pas. 	38
34	Atant voit issir del chastel une damoisele 	A tant uoit yssir une damoiselle du chastel la 	39
35	qui ert tote nue en sa chemise,	quelle estoit toute nue en sa chemise/ 	40
36	si le menoient troi vilain molt vilainement a 	sy la menoient quatre ribaulx monlt felonneusement 	41
37	et tenoit chescuns une hache en sa main; 	et tenoient chascun en sa main ung coustel trenchant. 	42
38	et ele crioit 	Et la damoiselle crioit 	43
39|40	quanque ele pooit crier |por els 	tant comme elle pouoit pour la laidure et honte 	44
41	qui li faisoient tel honte et tel laidure 	que telx ribaulx luy faisoient/ 	45
42	qu’il la venoient batant tot contreval la riviere. 	et la menoient batant contre ual la riuiere. 	46
43|44	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, |si commence a crier: « 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ uiere commenca a crier et dire en tell maniere 	47
