0	avoir trové. » 	avere |trovato». 	0|1
1	Si li conte tote s’aventure issi 	Si gli conta tutta sua aventura 	2
2	com vos avés oi dire ça arrieres. 	si come el libro l’à trattato qua 	3
3	tant qu’il conoist bien 	adietro, tanto che conosce bene 	4
4	que c’est il 	che ciò est elli quelli 	5
5	qu’ele quiert a, 	cui ella |chiede, 	6|7
6	Mais por le coros de la mort al seneschal ne	ma per lo cruccio |ch’egli à della morte del siniscalco non si vuole fare 	8|9
7	se volt fere conoistre, 	cognoscere, |anzi le 	10|11
8|9	ains li respont: « |Certes, damoisele, chevalier 	risponde: 'Certo, damigella, il cavaliere 	12
10|11	qui porte escu blanc |ne conois je nul. — En non Dieu, sire, fet ele, 	che porta lo scudo bianco non ne so io nulla. —A nome di Dio, dis’ella, ciò pesa a mes. 	13
12	ce poise moi chierement. » 		
13	Et il n’en tient plus a li parole, 	E non tenne più a-llei |parole, 	14|15
14	ains part si tost 	anzi si parti si tosto come l’à comandata a dDio 	16
15	com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	e cavalca tanto in tale maniera infino qua a |terza, tanto	17|18
16	tant qu’il vint a l’issue de la forest; 	che viene a l’uscita della |foresta. 	19|20
17	et il torne a destre vers un chemin viés et ancien; 	Ed e torna a destra inverso uno camino vecchio e |antico, 	21|22
18	si ne demora gueres 	si non dimora guari 	23
19	qu’il vint a une eve P lee et parfonde, 	che viene a una acqua lata e |perfonda, 	24|25
20|21	mais il n’i trueve pont |ne gué ne passage nul. 	ma e' non vi truova né ponte né guado né passaggio nullo. 	26
22	Et il regarde d’autre part de l’eve, 	Ed elli isguarda d’altra parte dell’acqua,	27
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	si vide uno piccolo castello molto ben sedente, chiuso d’uno muro battagliato tutto intorno alla |ritonda. eElli riguarda gran peza il 	28|29
		castello, 	30
24	dont la façons li plest molt a regarder, 	donde la fazion gli piace molto al |riguardare, 	31|32
25	puis s’en torne contreval la riviere	poscia ritorna tutto contravalle la riviera	33
26	por savoir 	per sapere 	34
27	s’il i peust trover ne pont ne gué, 	se potrebbe trovare né ponte né |guado, 	35|36
28	mais il n’en trueve point 	ma e non ve ne truova |punto, 	37|38
29	et quant il voit 	e quand’e vede 	39
30	qu’il n’i passera, 	che non potrà 	40
31	si ne set 	passare, si non sa 	41
32	que fere, 	che |fare, 	42|43
33	que retorner ne voldroit il mie. 	ché ritornare non vorebbe elli mica. 	44
34	Atant voit issir del chastel une damoisele 	?Atanto vide uscire una damigella del castello 	45
35	qui ert tote nue en sa chemise,	ch’era tutta ignuda in sua camicia solamente,	46
36	si le menoient troi vilain molt vilainement a 	si-lla menavano iiii. rubaldi molto villanamente 	47
37	et tenoit chescuns une hache en sa main; 	e tenieno ciascuno una acciaia in sua mano. 	48
38	et ele crioit 	Ed ella grida 	49
		quanto 	50
39|40	quanque ele pooit crier |por els 	ch’ella può gridare per coloro 	51
41	qui li faisoient tel honte et tel laidure 	che-lle facieno cotale onta e tal |ladiura, 	52|53
42	qu’il la venoient batant tot contreval la riviere. 	ch’elli la menavano battendo tutto contravalle la 	54
43	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	riviera.E quando la damigella vide lo cavaliere dall’altra parte 	55
44	si commence a crier: « 	dell’acqua, si gli comincia a 	56
45	Ha, gentilz chevaliers, secorés ceste damoisele 	gridare: Hal, gentile huomo, soccorete questa damigella 	57
46|47	que cist ribaut vuelent ocirre. |Ha, frans hom, 	che questi rubaldi vogliono uccidere! Hal, franco 	58
48	ne m’i laissiés morir, 	cavaliere, non mi lasciate 	59
49	se vos onques eustes pitié de nule gentil damoisele !» 	uccidere, se voi unque aveste piatà di nulla gentile damigella». 	60
50	Quant Boors ot ce 	“Quando Boordo ode colei	61
51|52	qu’ele li prie |si pitousement 	che l priega si piatosamente 	62
53	qu'il la secore, 	che-lla |soccorra, 	63|64
54	si ne set que fere, 	si non sa |che fare,	65|66
55	kar volentiers li aidast 	ché volentieri l’andasse ad atare 	67
56	s’il peust; 	se |potesse, 	68|69
57	mais il voit l’eve noire et parfonde et si perilluse 	ma e vede l’acqua nera e profonda e perigliosa 	70
58	qu’il cuide bien noier, 	che crede bene morire 	71
59	s’il se met dedens; 	s’elli si mette di dentro; 	72
60	et d'autre part il voit cele 	e d’altra parte |e vede colei 	73|74
61	qui si durement crie merci; 	che si duramente gli grida |mercé, 	75|76
62	si l'em prent tels pitiés 	si ne gli prende tale piatà 	77
63	qu’il en laisse totes poors 	che ne lascia tutte paure 	78
64	et fet le signe de la crois en mi son vis, 	e si fa el segno della santa croce nel miluogo del suo |viso, 	79|80
65	puis enbrace l’escu 	poscia imbraccia lo scudo 	81
66	et broche le cheval des esperons 	e broca il cavallo degli	82
67	et se fiert en l’eve. 	sproni, si fiede nell’acqua 	83
68	Et li chevals fu fors,	isnellamente. El cavallo fu 	84
69	si commence a noer 	forte, incominciò a notare 	85
70	si tost com il ot terre perdue, 	si tosto com'elli ebbe terra |perduta, 	86|87
