0	avoir trové. » 	queria fallar muy de grado 	0
1	Si li conte tote s’aventure issi 	e luego le conto todo 	1
2	com vos avés oi dire ça arrieres. 	como le auia conel contesçido 	2
3|4	tant qu’il conoist bien |que c’est il 	asi como el cuento lo a deuisado 	3
5	qu’ele quiert a, 	e luego entendio boores 	4
6|7	Mais por le coros de la mort al seneschal ne|se volt fere conoistre, 	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer 	5
8|9	ains li respont: « |Certes, damoisele, chevalier 	antele rrespondio çierto donçella al cauallero 	6
10	qui porte escu blanc 	que traia blancas armas 	7
11|12	ne conois je nul. — En non Dieu, sire, fet ele, |ce poise moi chierement. » 	no conozco yo Pardios dixo la donçella mucho me Pesa caramjente 	8
13|14	Et il n’en tient plus a li parole, |ains part si tost 	e boores non quiso conella mas estar 	9
15	com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	e acomendo la a dios |e fuese 	10|11
16	tant qu’il vint a l’issue de la forest; 	e andubo tanto |que salio dela floresta 	12|13
17	et il torne a destre vers un chemin viés et ancien; 	e dexo el camino e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	14|15
18	si ne demora gueres 	e non andubo mucho 	16
19	qu’il vint a une eve P lee et parfonde, 	porque llego a vn valle |Por do corria vn agua muy negra e fea e fonda 	17|18
20	mais il n’i trueve pont 	e non fallo puente 	19
21	ne gué ne passage nul. 	por do Pudiese pasar 	20
22	Et il regarde d’autre part de l’eve, 	e cato dela otra parte Del agua 	21
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	22
24	dont la façons li plest molt a regarder, 	ca mucho se pagaua delo catar 	23
25	puis s’en torne contreval la riviere	e despues torno la rribera ayuso 	24
26|27	por savoir |s’il i peust trover ne pont ne gué, 	Por saber si podria fallar puente 	25
28|29	mais il n’en trueve point |et quant il voit 	Por do pasase mas el no pudo fallar ninguna 	26
30	qu’il n’i passera, 		
31|32	si ne set |que fere, 	e boores desque esto vido no sabia que se façer 	27
33	que retorner ne voldroit il mie. 	ca el no se queria tomar en ninguna manera 	28
34|35	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise,	Ansi estando vio del castillo salir vna donçella en camisa 	29
36	si le menoient troi vilain molt vilainement a 	que traian quatro rribaldos muy sañudamente 	30
37	et tenoit chescuns une hache en sa main; 	e cadavno traia enla mano vna lança 	31
38	et ele crioit 	e ella daua vozes 	32
39	quanque ele pooit crier 	quanto podia dar 	33
40|41	por els |qui li faisoient tel honte et tel laidure 	e ellos la lleuaron muy desonrrada mente contra la rribera 	34
42	qu’il la venoient batant tot contreval la riviere. 	porla yr ha echar 	35
43|44	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, |si commence a crier: « 	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes 	36
45|46	Ha, gentilz chevaliers, secorés ceste damoisele |que cist ribaut vuelent ocirre. 	e a deçir ay jentil cauallero acorred a esta donçella 	37
47|48	Ha, frans hom, |ne m’i laissiés morir, 	que estos Ribaldos me quieren ansi matar ay buen cauallero 	38
49|50	se vos onques eustes pitié de nule gentil damoisele !» |Quant Boors ot ce 	si nunca oviste piedad de donçella auelda agora de mi 	39
51	qu’ele li prie 		
52	si pitousement 		
53|54	qu'il la secore, |si ne set que fere, 	e no me dexedes asi morir Quando boores oyo lo que la donçella deçia no supo 	40
55|56	kar volentiers li aidast |s’il peust; 	que façer ca muy de grado la quisiera acorrer si pudiese 	41
57|58	mais il voit l’eve noire et parfonde et si perilluse |qu’il cuide bien noier, 	Mas el agua hera muy fonda e peligrosa e negra e bien cuidaua morir 	42
59	s’il se met dedens; 	si se y Metiese 	43
60	et d'autre part il voit cele 	e dela otra parte veya la donçella 	44
61	qui si durement crie merci; 	que muy afincada mente le pedia merçed 	45
62	si l'em prent tels pitiés 	e ovo tal piedad della 	46
63	qu’il en laisse totes poors 	que le fiço todo el miedo perder 	47
64	et fet le signe de la crois en mi son vis, 	e fiço la señal dela cruz sobre si 	48
65	puis enbrace l’escu 	e enbraço el escudo 	49
66|67	et broche le cheval des esperons |et se fiert en l’eve. 	e firio al cauallo de las espuelas 	50
68|69	Et li chevals fu fors,|si commence a noer 	e lanço se en el agua e el cauallo començo de nadar luego 	51
70	si tost com il ot terre perdue, 	e perdio tierra |en tal manera 	52|53
71	si l’enporte d’autre part de la rive a quelque paine, 	que paso dela otra parte del agua 	54
72	mais ançois ot beu de l’eve li uns et li autre, 	mas ante beuio el cauallo del agua 	55
73	et se li chevals ne fust si buens, noié fuissent ambedui, 	e si el caballo tan bueno no fuera sin dubda |el moriera enel agua 	56|57
74	kar li chevaliers estoit pesans por les armes 	e boores |porel peso delas armas 	58|59
75	qu’il avoit vestues. 	que llebaua 	60
76|77	Quant il fu de l’autre part de l’eve, |si ne descendi pas, 	e desque fue dela otra Parte del agua dexo se correr aquellos que la donçella tenian 	61
78	ains cort vers cels 		
79	qui la damoisele tenoient 		
80	et fiert si le premier 	e firio al primero 	62
81	qu’il aconsieut 	que encontro en tal manera 	63
82|83	qu’il li met le glaive par mi le cors, |si l’abat a terre, 	que le metio la lança porel cuerpo 	64
84|85	et li autre s’enfuient erraument |por ce 	e los otros dos que aquello vieron fuyeron luego por miedo de no ser muertos 	65
86	que desarmé estoient. 	ca todos estauan desarmados 	66
87|88	Et la damoisele|qui delivree se voit se met a genols devant Boort 	e la donçella desque aquello vido finco los ynojos ante boores 	67
