0	avoir trové. » 	auoir troue fait elle. 	0
1	Si li conte tote s’aventure issi 	si li conte toute sauenture 	1
2	com vos avés oi dire ça arrieres. 	si com li contes la retrait cha en arriere. 	2
3	tant qu’il conoist bien 	Tant que il connoist bien 	3
4|5	que c’est il |qu’ele quiert a, 	quele le quiert. 	4
6	Mais por le coros de la mort al seneschal ne	Mais pour le courous |quil a del senescal. 	5|6
7	se volt fere conoistre, 	ne se volt il faire aconnoistre. 	7
8	ains li respont: « 	Ains li respont. 	8
9	Certes, damoisele, chevalier 	Certes damoisele le cheualier 	9
10|11	qui porte escu blanc |ne conois je nul. — En non Dieu, sire, fet ele, 	qui porte blanches armes ne connois iou mie. 	10
12	ce poise moi chierement. » 	Enon dieu sire fait elle che poise moi moult durement. 	11
13	Et il n’en tient plus a li parole, 	Lors le commande a dieu 	12
14	ains part si tost 	et puis sen part de li 	13
15	com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	et cheuauche en tel maniere iusques a tierce.	14
16	tant qu’il vint a l’issue de la forest; 	Tant que il vint a lissue de la forest. 	15
17	et il torne a destre vers un chemin viés et ancien; 	et torne a destre en vn petit chemin viez 	16
18	si ne demora gueres 	Si ne demora gaires 	17
19	qu’il vint a une eve P lee et parfonde, 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	18|19
20|21	mais il n’i trueve pont |ne gué ne passage nul. 	mais il ni troeue ne pont ne passage. 	20
22	Et il regarde d’autre part de l’eve, 	Et il regarde de lautre part de laigue 	21
23	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. Il regarde le chastel grant piece 	22
24	dont la façons li plest molt a regarder, 	dont la fachons li plaisoit moult a regarder. 	23
25	puis s’en torne contreval la riviere	puis sen torne contremont la riuiere 	24
26	por savoir 	pour sauoir 	25
27	s’il i peust trover ne pont ne gué, 	se il troueroit |ne pont ne gue. 	26|27
28	mais il n’en trueve point 	mais il ni trueue nul passage. 	28
29	et quant il voit 	Et|quant il voit chou 	29|30
30	qu’il n’i passera, 		
31|32	si ne set |que fere, 	si ne set que faire 	31
33	que retorner ne voldroit il mie. 	quar retorner ne volroit il en nulle maniere. 	32
