	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
0	avoir trové. » 	porce |que io le uodroie auoir troue 	auoir troue fait elle. 	Sire fait elle pour ce |que ie le uoudroie auoir trouue. 	Sire fait elle enuellopee |quil ne la pouoit cengnoistre |pour pour ce	queria fallar muy de grado 	avere |trovato». 
1	Si li conte tote s’aventure issi 	Si li conte tote sauenture	si li conte toute sauenture 	si luy compte toute sauanture ansi 	que ie le uouldroie auoir trouue |si luy compte toute son auanture	e luego le conto todo 	Si gli conta tutta sua aventura 
2	com vos avés oi dire ça arrieres. 	ainsi com li contes la retraite. 	si com li contes la retrait cha en arriere. 	comme le comte la dit cy deuant tant 	tant 	como le auia conel contesçido 	si come el libro l’à trattato qua 
3|4|5	tant qu’il conoist bien |que c’est il |qu’ele quiert a, 	Tant que il quenoit bien |que cest ele |que il le quiert. 	Tant que il connoist bien |quele le quiert. 	que il cognoist bien |que cest il |quelle quiert. 	quil cengnoit bien |que cest celle |qui le quiert/ 	asi como el cuento lo a deuisado |e luego entendio boores 	adietro, tanto che conosce bene |che ciò est elli quelli |cui ella |chiede, 
6|7	Mais por le coros de la mort al seneschal ne|se volt fere conoistre, 	mais por le corrous |quil auoit de la mort au seneschal: |ne se wet faire |quenoistre a li	Mais pour le courous |quil a del senescal. |ne se volt il faire aconnoistre. 	Mais pour le courroux |quil a de la mort au seneschal ne se ueult il faire cognoistre 	Mais pour le couroust |quil a du sencchal et de sa mort ne se uoult faire congnoistre/ 	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer 	ma per lo cruccio |ch’egli à della morte del siniscalco non si vuole fare |cognoscere, |anzi le 
8|9	ains li respont: « |Certes, damoisele, chevalier 	si li dit. |Certes damoisele 	Ains li respont. |Certes damoisele le cheualier 	Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier 	mes leur respont |certes damoiselle ie ne cengnois mie le cheualier 	antele rrespondio çierto donçella al cauallero 	risponde: 'Certo, damigella, il cavaliere 
10|11|12	qui porte escu blanc |ne conois je nul. — En non Dieu, sire, fet ele, |ce poise moi chierement. » 	qui port escu blanc ne sai ie nul. |En no dieu fait ele |de ce me poise il trop durement. 	qui porte blanches armes ne connois iou mie. |Enon dieu sire fait elle che poise moi moult durement. 	qui porte escu blanc. |Certes sire fait elle ce me poise 	qui porte les blances armes. |En nen dieu fait elle il me poyse monlt chierement. 	que traia blancas armas |no conozco yo Pardios dixo la donçella mucho me Pesa caramjente 	che porta lo scudo bianco non ne so io nulla. —A nome di Dio, dis’ella, ciò pesa a mes. 
13|14	Et il n’en tient plus a li parole, |ains part si tost 	et il ne tient plus a li parole. |Ains sen part	Lors le commande a dieu |et puis sen part de li 	et il ne tient plus parole a luy.|ains sem part |si tost 	A donc sen part |et ne uoult plus parler il la commandee a dieu |et sen ua. 	e boores non quiso conella mas estar 	E non tenne più a-llei |parole, |anzi si parti si tosto come l’à comandata a dDio 
15	com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	si tost comme il lot comandee a dieu. |et cheuauche en tel maniere. 	et cheuauche en tel maniere iusques a tierce.	quil leut commandee a dieu et cheuauche en telle maniere iucqua tierce 	et cheuauche iusques a tierce eustes onques pitie |de nulle gentille dane aies tant	e acomendo la a dios |e fuese 	e cavalca tanto in tale maniera infino qua a |terza, tanto
16	tant qu’il vint a l’issue de la forest; 	tant quil uient a lissue de la forest 	Tant que il vint a lissue de la forest. 	tant quil uient a lissue de la fourest. 	quil uint a lissue de la forest 	e andubo tanto |que salio dela floresta 	che viene a l’uscita della |foresta. 
