0	avoir trové. » 	porce |que io le uodroie auoir troue 	0|1
1	Si li conte tote s’aventure issi 	Si li conte tote sauenture ainsi 	2
2	com vos avés oi dire ça arrieres. 	com li contes la retraite. 	3
3	tant qu’il conoist bien 	Tant que il quenoit bien 	4
4	que c’est il 	que cest ele 	5
5	qu’ele quiert a, 	que il le quiert.	6
6	Mais por le coros de la mort 	mais por le corrous 	7
7	al seneschal ne se volt fere conoistre, 	quil auoit de la mort au seneschal: ne se wet faire 	8
8	ains li respont: « 	quenoistre a li si li dit. 	9
9	Certes, damoisele, chevalier 	Certes damoisele 	10
10	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, 	qui port escu blanc ne sai ie nul. 	11
11	ce poise moi chierement. » 	En no dieu fait ele de ce me poise il trop durement. 	12
12	Et il n’en tient plus a li parole, 	et il ne tient plus a li parole. 	13
13	ains part si tost com il l’ot commandee a Dieu a 	Ains sen part |si tost comme il lot comandee a dieu. 	14|15
14	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	et cheuauche en tel maniere. |tant quil uient a lissue de la forest 	16|17
15	et il torne a destre vers un chemin viés et ancien; 	et il torne a destre uers le chemin uiee et acien 	18
16	si ne demora gueres 	Si ne demora gaires	19
17	qu’il vint a une eve P lee et parfonde, 	quil uient a une eue lee et parfonde. 	20
18	mais il n’i trueve pont ne gué ne passage nul. 	mais il ni trueue ne pont ne gue ne passaige nul. 	21
19	Et il regarde d’autre part de l’eve, 	et lors regarde il dautre part de leue. 	22
20	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel 	23|24
21	dont la façons li plest molt a regarder, 	dont Ia fasons li plait mout a esgarder. 	25
22	puis s’en torne contreval la riviere	et puis sen torne tot contreual la riuere. 	26
23	por savoir s’il i peust trover ne pont ne gué, 	Por sauoir |se il i troueroit ne pont ne gue. 	27|28
24|25	mais il n’en trueve point |et quant il voit 	mais il nen i trurue point : 	29
26	qu’il n’i passera, 		
27	si ne set que fere, 	si ne sot que faire 	30
28|29	que retorner ne voldroit il mie. |Atant voit issir del chastel une damoisele 	car retorner ne wet il mie atant uoit issir une damoisele dou chastel 	31
30	qui ert tote nue en sa chemise, 	qui estoit tote nue en sa chemisse 	32
31	si le menoient troi vilain molt vilainement a 	si la menoient. iiii.tre ribaus mout uilment. 	33
32	et tenoit chescuns une hache en sa main; 	et tenoit chascuns une hache en sa main. 	34
33	et ele crioit 	et ele crioit 	35
34	quanque ele pooit crier por els 	quantque le pooit crier. por ciax 	36
35	qui li faisoient tel honte et tel laidure 	qui li fasoient tele honte. et tel laidure 	37
36|37	qu’il la venoient batant tot contreval la riviere. |Et	que il la menoient batant tout contrtual la riuiere t 	38
38	quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	quant la damoisele uoit le cheualier dautre part la riuiere. 	39
39	si commence a crier: « 	si li comance a crier. 	40
40	Ha, gentilz chevaliers, secorés ceste damoisele 	ha: gentis cheualiers secores ceste damoisele 	41
41	que cist ribaut vuelent ocirre. 	que ciz ribaut wellet ocire. 	42
42	Ha, frans hom, ne m’i laissiés morir, 	ha; frans hons ne mi laissiez morir 	43
43	se vos onques eustes pitié de nule gentil damoisele !» 	se uos eutes onques pitie de franche damosele. 	44
44	Quant Boors ot ce 	quant boh̾. oit cele 	45
45	qu’ele li prie si pitousement 	que si piteusement lapele 	46
46	qu'il la secore, 	et li prie 	47
47	si ne set que fere, 	quil la sekeure. Sire set|que faire. 	48|49
48	kar volentiers li aidast 	car uolentiers li alait aidier 	50
49	s’il peust; 	se il poist. 	51
50	mais il voit l’eve noire et parfonde et si perilluse 	Mais il uoit leue si parfonde et si perilleuse 	52
