0	avoir trové. » 	auoir troue fait elle. 	0
1	Si li conte tote s’aventure issi 	si li conte toute sauenture 	1
2	com vos avés oi dire ça arrieres. 	si com li contes la retrait cha en arriere. 	2
3	tant qu’il conoist bien 	Tant que il connoist bien 	3
4|5	que c’est il |qu’ele quiert a, 	quele le quiert. 	4
6	Mais por le coros de la mort 	Mais pour le courous	5
7	al seneschal ne se volt fere conoistre, 	quil a del senescal. ne se volt il faire aconnoistre. 	6
8	ains li respont: « 	Ains li respont. 	7
9	Certes, damoisele, chevalier 	Certes damoisele le cheualier 	8
10	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, 	qui porte blanches armes ne connois iou mie. 	9
11|12	ce poise moi chierement. » |Et il n’en tient plus a li parole, 	Enon dieu sire fait elle che poise moi moult durement. 	10
13	ains part si tost com il l’ot commandee a Dieu a 	Lors le commande a dieu 	11
14	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	et puis sen part de li et cheuauche en tel maniere iusques a tierce. |Tant que il vint a lissue de la forest. 	12|13
15	et il torne a destre vers un chemin viés et ancien; 	et torne a destre en vn petit chemin viez 	14
16	si ne demora gueres 	Si ne demora gaires 	15
17	qu’il vint a une eve P lee et parfonde, 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	16|17
18	mais il n’i trueve pont ne gué ne passage nul. 	mais il ni troeue ne pont ne passage. 	18
19	Et il regarde d’autre part de l’eve, 	Et il regarde de lautre part de laigue 	19
20	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. Il regarde le chastel grant piece 	20
21	dont la façons li plest molt a regarder, 	dont la fachons li plaisoit moult a regarder. 	21
22	puis s’en torne contreval la riviere	puis sen torne contremont la riuiere 	22
23	por savoir s’il i peust trover ne pont ne gué, 	pour sauoir |se il troueroit ne pont ne gue. 	23|24
24	mais il n’en trueve point 	mais il ni trueue nul passage. 	25
25|26	et quant il voit |qu’il n’i passera, 	Et quant il voit chou 	26
27	si ne set que fere, 	si ne set que faire 	27
28	que retorner ne voldroit il mie. 	quar retorner ne volroit il en nulle maniere. 	28
29|30	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise, 	Lors uoit issir del castel vne damoisele toute nue en sa chemise. 	29
