	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
0|1|2|3	avoir trové. » |Si li conte tote s’aventure issi |com vos avés oi dire ça arrieres. |tant qu’il conoist bien 	porce |que io le uodroie auoir troue |Si li conte tote sauenture ainsi |com li contes la retraite. |Tant que il quenoit bien 	auoir troue fait elle. |si li conte toute sauenture |si com li contes la retrait cha en arriere. |Tant que il connoist bien 	Sire fait elle pour ce |que ie le uoudroie auoir trouue. |si luy compte toute sauanture ansi comme le comte la dit cy deuant tant |que il cognoist bien 	Sire fait elle enuellopee |quil ne la pouoit cengnoistre pour pour ce |que ie le uouldroie auoir trouue |si luy compte toute son auanture |tant quil cengnoit bien 	queria fallar muy de grado |e luego le conto todo 	avere trovato». |Si gli conta tutta sua aventura |si come el libro l’à trattato qua adietro, |tanto che conosce bene 
4|5	que c’est il |qu’ele quiert a, 	que cest ele |que il le quiert.	quele le quiert. 	que cest il |quelle quiert. 	que cest celle |qui le quiert/ 	como le auia conel contesçido 	che ciò est elli quelli cui ella chiede, 
6|7|8|9|10|11|12|13	Mais por le coros de la mort |al seneschal ne se volt fere conoistre, |ains li respont: « |Certes, damoisele, chevalier |qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, |ce poise moi chierement. » |Et il n’en tient plus a li parole, |ains part si tost com il l’ot commandee a Dieu a 	mais por le corrous |quil auoit de la mort au seneschal: ne se wet faire |quenoistre a li si li dit. |Certes damoisele |qui port escu blanc ne sai ie nul. |En no dieu fait ele de ce me poise il trop durement. |et il ne tient plus a li parole. |Ains sen part |si tost comme il lot comandee a dieu. 	Mais pour le courous|quil a del senescal. ne se volt il faire aconnoistre. |Ains li respont. |Certes damoisele le cheualier |qui porte blanches armes ne connois iou mie. |Enon dieu sire fait elle che poise moi moult durement. |Lors le commande a dieu 	Mais pour le courroux |quil a de la mort au seneschal ne se ueult il faire cognoistre |Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier |qui porte escu blanc. |Certes sire fait elle ce me poise |et il ne tient plus parole a luy. |ains sem part si tost |quil leut commandee a dieu 	Mais pour le couroust |quil a du sencchal et de sa mort ne se uoult faire congnoistre/ |mes leur respont certes damoiselle ie ne cengnois mie le cheualier |qui porte les blances armes. |En nen dieu fait elle il me poyse monlt chierement. |A donc sen part |et ne uoult plus parler il la commandee a dieu et sen ua. 	asi como el cuento lo a deuisado |e luego entendio boores |que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero |que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente |e boores non quiso conella mas estar |e acomendo la a dios |e fuese e andubo tanto 	ma per lo cruccio |ch’egli à della morte del siniscalco non si vuole fare cognoscere, |anzi le risponde: |'Certo, damigella, il cavaliere |che porta lo scudo bianco non ne so io nulla. —A nome di Dio, dis’ella, ciò pesa a mes. |E non tenne più a-llei parole, |anzi si parti si tosto come l’à comandata a dDio 
14	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	et cheuauche en tel maniere. |tant quil uient a lissue de la forest 	et puis sen part de li et cheuauche en tel maniere iusques a tierce. |Tant que il vint a lissue de la forest. 	et cheuauche en telle maniere iucqua tierce |tant quil uient a lissue de la fourest. 	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies |tant quil uint a lissue de la forest 	que salio dela floresta 	e cavalca tanto in tale maniera infino qua a terza, |tanto che viene a l’uscita della foresta. 
15	et il torne a destre vers un chemin viés et ancien; 	et il torne a destre uers le chemin uiee et acien 	et torne a destre en vn petit chemin viez 	et il tourne a destre vers ung chemin uieil et ancien.	et il tourna a destre uers ung petit chemyn uieil: 	e dexo el camino e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	Ed e torna a destra inverso uno camino vecchio e antico, 
16	si ne demora gueres 	Si ne demora gaires	Si ne demora gaires 	Si ne demoura gueres 	si ne demoura gueres 	e non andubo mucho 	si non dimora guari 
17	qu’il vint a une eve P lee et parfonde, 	quil uient a une eue lee et parfonde. 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	quil uient a une caue lee et parfonde 	quil uint en une uallee/ |ou il couroit une eau monlt roidde la 	porque llego a vn valle 	che viene a una acqua lata e perfonda, 
					quelle estoit grande et parfonde/ 		
18	mais il n’i trueve pont ne gué ne passage nul. 	mais il ni trueue ne pont ne gue ne passaige nul. 	mais il ni troeue ne pont ne passage. 	mais il ny treuue pont ne gue ne passage nul. 	et ne treuue ne pont ne planche |par ou il puisse passer. 	Por do corria vn agua muy negra e fea e fonda e non fallo puente |por do Pudiese pasar 	ma e' non vi truova né ponte né guado né passaggio nullo. 
19|20	Et il regarde d’autre part de l’eve, |si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	et lors regarde il dautre part de leue. |Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel 	Et il regarde de lautre part de laigue |si y uoit. j. castel moult bien seant. clos de mur bateillie tout entor a la reonde. Il regarde le chastel grant piece 	et il regarde de lautrepart de leaue si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde . Il regarde grant piece le chastel 	Sy regarde de laultre part de leaue |et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. Il regarde le chastel grant pieche 	e cato dela otra parte Del agua |e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor |e el cato gran pieça el castillo 	Ed elli isguarda d’altra parte dell’acqua, |si vide uno piccolo castello molto ben sedente, chiuso d’uno muro battagliato tutto intorno alla ritonda. eElli riguarda gran peza il castello, 
