0	avoir trové	queria fallar muy de grado|e luego le conto todo	0|1
1	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres	como le auia conel contesçido|asi como el cuento lo a deuisado	2|3
2	tant qu’il conoist bien	e luego entendio boores	4
3|4	que c’est il qu’ele quiert a|Mais por le coros de la mort al seneschal ne se volt fere conoistre	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	5
5|6	ains li respont Certes|damoisele	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	6
7|8	chevalier|qui porte escu blanc ne conois je nul	e boores non quiso conella mas estar	7
9|10	— En non Dieu|sire	e acomendo la a dios	8
11	fet ele	e fuese	9
12	ce poise moi chierement	e andubo tanto|que salio dela floresta	10|11
13	Et il n’en tient plus a li parole	e dexo el camino	12
14|15	ains part|si tost com il l’ot commandee a Dieu a	e tomo a mano derecha vn camino pequeño	13
16|17	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest;|et il torne a destre vers un chemin viés	e biejo lleno de yerba	14
18	et ancien;	e non andubo mucho	15
19	si ne demora gueres qu’il vint a une eve P lee	porque llego a vn valle|Por do corria vn agua muy negra	16|17
20	et parfonde	e fea|e fonda	18|19
21	mais il n’i trueve pont ne gué ne passage nul	e non fallo puente|por do Pudiese pasar	20|21
22|23	Et il regarde d’autre part de l’eve|si voit I	e cato dela otra parte Del agua	22
24|25	petit chastel molt bien seant|clos de mur bateillié tot entor a la roonde	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	23
26	ll regarde grant piece le chastel	e el cato gran pieça el castillo	24
27	dont la façons li plest molt a regarder	ca mucho se pagaua delo catar	25
28	puis s’en torne contreval la riviere por savoir s’il i peust trover ne pont ne gué	e despues torno la rribera ayuso|Por saber	26|27
29	mais il n’en trueve point	si podria fallar puente|Por do pasase mas el no pudo fallar ninguna	28|29
30|31	et quant il voit qu’il n’i passera|si ne set	e boores desque esto vido no sabia	30
32	que fere	que se façer	31
33	que retorner ne voldroit il mie	ca el no se queria tomar en ninguna manera	32
34|35	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	Ansi estando vio del castillo salir vna donçella en camisa	33
36	si le menoient troi vilain molt vilainement a	que traian quatro rribaldos muy sañudamente	34
37	et tenoit chescuns une hache en sa main;	e cadavno traia enla mano vna lança	35
38	et ele crioit quanque ele pooit crier por els	e ella daua vozes	36
39	qui li faisoient tel honte	quanto podia dar	37
40	et tel laidure qu’il la venoient batant tot contreval la riviere	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	38
41|42	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve|si commence a crier Ha	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	39
43|44	gentilz chevaliers|secorés ceste damoisele	e a deçir ay jentil cauallero acorred a esta donçella	40
45	que cist ribaut vuelent ocirre	que estos Ribaldos me quieren	41
46	Ha	ansi matar ay buen cauallero	42
47	frans hom	si nunca oviste piedad de donçella auelda agora de mi	43
48	ne m’i laissiés morir	e no me dexedes|asi morir	44|45
49|50	se vos onques eustes pitié de nule gentil damoisele|Quant Boors ot ce qu’ele li prie	Quando boores oyo	46
51|52	si pitousement qu'il la secore|si ne set	lo que la donçella deçia no supo	47
53	que fere	que façer	48
54	kar volentiers li aidast s’il peust;	ca muy de grado la quisiera acorrer	49
55	mais il voit l’eve noire	si pudiese Mas el agua hera muy fonda	50
56	et parfonde	e peligrosa	51
57	et si perilluse qu’il cuide bien noier	e negra|e bien cuidaua morir	52|53
58	s’il se met dedens;	si se|y Metiese	54|55
59	et d'autre part il voit cele	e dela otra parte veya la donçella	56
60	qui si durement crie merci;	que muy afincada mente le pedia merçed	57
61	si l'em prent tels pitiés qu’il en laisse totes poors	e ovo tal piedad della|que le fiço todo el miedo perder	58|59
62	et fet le signe de la crois en mi son vis	e fiço la señal dela cruz sobre	60
63	puis enbrace l’escu	si e enbraço el escudo	61
64	et broche le cheval des esperons	e firio al cauallo de las espuelas	62
65	et se fiert en l’eve	e lanço se en el agua	63
66|67	Et li chevals fu fors|si commence a noer	e el cauallo començo de nadar	64
68	si tost com il ot terre perdue	luego e perdio tierra en tal manera	65
