		Sire fait elle	0
0	avoir trové	pour ce|que ie le uoudroie auoir trouue	1|2
1	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres	si luy compte toute sauanture|ansi comme le comte la dit cy deuant	3|4
2	tant qu’il conoist bien	tant que il cognoist bien	5
3	que c’est il qu’ele quiert a	que cest il quelle quiert	6
4|5	Mais por le coros de la mort al seneschal ne se volt fere conoistre|ains li respont Certes	Mais pour le courroux quil a de la mort au seneschal ne se ueult il faire cognoistre Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier	7
6	damoisele		
7|8	chevalier|qui porte escu blanc ne conois je nul	qui porte escu blanc	8
9	— En non Dieu		
10	sire		
11|12	fet ele|ce poise moi chierement	Certes sire fait elle ce me poise	9
13	Et il n’en tient plus a li parole	et il ne tient plus parole a luy	10
14	ains part	ains sem part	11
15	si tost com il l’ot commandee a Dieu a	si tost quil leut commandee a dieu	12
16	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest;	et cheuauche en telle maniere iucqua tierce tant quil uient a lissue de la fourest	13
17	et il torne a destre vers un chemin viés	et il tourne a destre vers ung chemin uieil	14
18	et ancien;	et ancien	15
19	si ne demora gueres qu’il vint a une eve P lee	Si ne demoura gueres quil uient a une caue lee	16
20	et parfonde	et parfonde	17
21	mais il n’i trueve pont ne gué ne passage nul	mais il ny treuue pont ne gue ne passage nul	18
22|23	Et il regarde d’autre part de l’eve|si voit I	et il regarde de lautrepart de leaue	19
24|25	petit chastel molt bien seant|clos de mur bateillié tot entor a la roonde	si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde	20
26	ll regarde grant piece le chastel	Il regarde grant piece le chastel	21
27	dont la façons li plest molt a regarder	dont la facon luy plaist moult a regarder	22
28	puis s’en torne contreval la riviere por savoir s’il i peust trover ne pont ne gué	puis sen retourne tout contreual la riuiere|pour sauoir sil pourroit trouuer ne pont ne gue	23|24
29	mais il n’en trueve point	Mais il ny en treuue point	25
30	et quant il voit qu’il n’i passera	Et quant il uoit quil ne puet passer	26
31	si ne set	si ne scet	27
32	que fere	que faire	28
33	que retorner ne voldroit il mie	car retourner ne uouldroit il pas	29
34	Atant voit issir del chastel une damoisele	Adonc uoit yssir du chastel une damoisele	30
35	qui ert tote nue en sa chemise	qui estoit toute nue en sa chemise	31
36	si le menoient troi vilain molt vilainement a	si la menoyent quatre nibaux moult uilainement	32
37	et tenoit chescuns une hache en sa main;	et tenoit ch̃un une hache en sa main	33
38	et ele crioit quanque ele pooit crier por els	et elle crioit tant quelle pouoit crier|pour ceulx	34|35
39	qui li faisoient tel honte	qui luy faisoient tel honte	36
40	et tel laidure qu’il la venoient batant tot contreval la riviere	et telle laidure|qui la uenoient batant tout contreual la riuiere	37|38
41	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve	Et quant la damoisele uoit le cheualier de lautre part de leaue	39
42|43	si commence a crier Ha|gentilz chevaliers	si luy commence a crier haa gentili cheualier secourez ceste damoisele	40
44	secorés ceste damoisele		
45|46	que cist ribaut vuelent ocirre|Ha	que ces ribaux ueulent occire	41
47|48	frans hom|ne m’i laissiés morir	Haa franc homme ne me lessez mourir	42
49	se vos onques eustes pitié de nule gentil damoisele	si uous eustes onc pitie de nulle gentilz damoisele	43
50	Quant Boors ot ce qu’ele li prie	quant boort ouy celle|qui le prie	44|45
51|52	si pitousement qu'il la secore|si ne set	si piteusement quil la sequeure il ne scait	46
53	que fere	que faire	47
54	kar volentiers li aidast s’il peust;	car uoulentiers luy alast aider sil peust	48
55	mais il voit l’eve noire	mais il uoit leaue parfonde noire	49
56	et parfonde	et perilleuse	50
57	et si perilluse qu’il cuide bien noier	que il cuide bien mourir sil	51
58	s’il se met dedens;	si mect dedans	52
59	et d'autre part il voit cele	Et dautre part il uoit celle	53
60	qui si durement crie merci;	qui si fort luy crie mercy	54
61	si l'em prent tels pitiés qu’il en laisse totes poors	si luy en prent telle pitie quil en laisse toute paour	55
62	et fet le signe de la crois en mi son vis	si en fait le signe de la croix enmy son uis	56
63	puis enbrace l’escu	puis embrace lescu	57
64	et broche le cheval des esperons	et broche le cheual des esperons	58
