		Sire fait elle enuellopee quil ne la pouoit cengnoistre	0
0	avoir trové	pour|pour ce que ie le uouldroie auoir trouue	1|2
1|2	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres|tant qu’il conoist bien	si luy compte toute son auanture tant quil cengnoit bien	3
3	que c’est il qu’ele quiert a	que cest celle|qui le quiert	4|5
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre	Mais pour le couroust quil a du sencchal	6
5|6	ains li respont Certes|damoisele	et de sa mort ne se uoult faire congnoistre mes leur respont certes damoiselle ie ne cengnois mie le cheualier	7
7|8	chevalier|qui porte escu blanc ne conois je nul	qui porte les blances armes	8
9|10	— En non Dieu|sire	En nen dieu fait elle il me poyse monlt chierement	9
11	fet ele	A	10
12	ce poise moi chierement	donc sen part	11
13	Et il n’en tient plus a li parole	et ne uoult plus parler il la commandee a dieu	12
14	ains part	et sen ua	13
15|16	si tost com il l’ot commandee a Dieu a|et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest;	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant quil uint a lissue de la forest	14
17|18	et il torne a destre vers un chemin viés|et ancien;	et il tourna a destre uers ung petit chemyn uieil:	15
19	si ne demora gueres qu’il vint a une eve P lee	si ne demoura gueres quil uint en une uallee ou il couroit une eau monlt roidde la quelle estoit grande	16
20	et parfonde	et parfonde	17
21	mais il n’i trueve pont ne gué ne passage nul	et ne treuue ne pont ne planche par ou il puisse passer	18
22	Et il regarde d’autre part de l’eve	Sy regarde de laultre part de leaue	19
23|24	si voit I|petit chastel molt bien seant	et uoit ung beau chastel monlt bien seant	20
25	clos de mur bateillié tot entor a la roonde	et bien cloz de muraille tout entour	21
26	ll regarde grant piece le chastel	Il regarde le chastel grant pieche	22
27	dont la façons li plest molt a regarder	car monlt luy plaisoit a uoir	23
28	puis s’en torne contreval la riviere por savoir s’il i peust trover ne pont ne gué	puis sen tourne contre ual la riuiere|pour scauoir sil pouroit trouuer ne pont ne gue par le	24|25
29	mais il n’en trueve point	quel il puisse passer mes il nen truue point	26
30	et quant il voit qu’il n’i passera	Et il uoit ce	27
31	si ne set	si ne scait	28
32	que fere	que faire	29
33	que retorner ne voldroit il mie	car retourner ne uoulloit pas	30
34|35	Atant voit issir del chastel une damoisele|qui ert tote nue en sa chemise	A tant uoit yssir une damoiselle du chastel la quelle estoit toute nue en sa chemise sy la menoient quatre ribaulx monlt felonneusement	31
36|37	si le menoient troi vilain molt vilainement a|et tenoit chescuns une hache en sa main;	et tenoient chascun en sa main ung coustel trenchant	32
38	et ele crioit quanque ele pooit crier por els	Et la damoiselle crioit tant comme elle pouoit	33
39	qui li faisoient tel honte	pour la laidure|et honte	34|35
40	et tel laidure qu’il la venoient batant tot contreval la riviere	que telx ribaulx luy faisoient|et la menoient batant contre ual la riuiere	36|37
41	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve	Et quant la damoyselle uoit le cheualier de lautre coste de la ry uiere commenca a crier	38
42	si commence a crier Ha	et dire en tell maniere Haa beau	39
