0	avoir trové. » 	auoir trouue. 	0
1	Si li conte tote s’aventure 	si luy compte toute sauanture 	1
2	issi com vos avés oi dire ça arrieres. 	ansi comme le comte la dit |cy deuant tant 	2|3
3	tant qu’il conoist bien 	que il cognoist bien 	4
4|5	que c’est il |qu’ele quiert a, 	que cest il quelle quiert. 	5
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	Mais pour le courroux |quil a de la mort 	6|7
7|8	ains li respont: « |Certes, 	au seneschal ne se ueult il faire cognoistre 	8
9|10	damoisele, chevalier |qui porte escu blanc 	Certes damoisele de celle mesmes matiere dessus dicte 	9
11|12	ne conois je nul. — |En non Dieu, 	ie ne scay nul cheualier 	10
13	sire, 	qui porte escu blanc. 	11
14|15	fet ele, |ce poise moi chierement. » 	Certes sire fait elle ce me poise 	12
16	Et il n’en tient plus a li parole, 	et il ne tient plus parole a luy. |ains sem part 	13|14
17	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	si tost quil leut commandee a dieu |et cheuauche en telle maniere iucqua tierce 	15|16
18	tant qu’il vint a l’issue de la forest; 	tant quil uient a lissue de la fourest.	17
19	et il torne a destre vers un chemin viés et ancien; 	et il tourne a destre vers ung chemin uieil et ancien. 	18
20	si ne demora gueres 	Si ne demoura gueres 	19
21	qu’il vint a une eve P lee et parfonde, 	quil uient a une caue lee et parfonde 	20
22|23	mais il n’i trueve pont |ne gué ne passage nul. 	mais il ny treuue pont ne gue ne passage nul. 	21
24	Et il regarde d’autre part de l’eve, 	et il regarde de lautrepart de leaue 	22
25	si voit I. petit chastel molt bien seant, 	si uoit ung petit chastel moult 	23
26	clos de mur bateillié tot entor a la roonde. 	bien seant clos de mur bataille tout entour a la ronde . 	24
27	ll regarde grant piece le chastel 	Il regarde grant piece le chastel 	25
28	dont la façons li plest molt a regarder, 	dont la facon luy plaist moult a regarder 	26
29	puis s’en torne contreval la riviere 	puis sen retourne tout contreual la riuiere 	27
30|31	por savoir |s’il i peust trover ne pont ne gué, 	pour sauoir sil pourroit trouuer ne pont ne gue 	28
32	mais il n’en trueve point 	Mais il ny en treuue point. 	29
33|34	et quant il voit |qu’il n’i passera, 	Et quant il uoit quil ne puet passer 	30
35	si ne set que fere, 	si ne scet que faire 	31
36	que retorner ne voldroit il mie. 	car retourner ne uouldroit il pas. 	32
37	Atant voit issir del chastel une damoisele 	Adonc uoit yssir du chastel une damoisele 	33
38	qui ert tote nue en sa chemise, 	qui estoit toute nue en sa chemise. 	34
39	si le menoient troi vilain molt vilainement a 	si la menoyent quatre nibaux moult uilainement 	35
40	et tenoit chescuns une hache en sa main; 	et tenoit ch̃un une hache en sa main. 	36
41|42	et ele crioit |quanque ele pooit crier 	et elle crioit tant quelle pouoit crier 	37
43	por els 	pour ceulx 	38
44	qui li faisoient tel honte et tel laidure 	qui luy faisoient tel honte et telle laidure 	39
45	qu’il la venoient batant tot contreval la riviere. 	qui la uenoient batant tout contreual la riuiere. 	40
46|47	Et quant la damoisele vit le chevalier |de l’autre part de ! l’eve, 	Et quant la damoisele uoit le cheualier de lautre part de leaue 	41
48|49	si commence a crier: « |Ha, 	si luy commence a crier 	42
50|51	gentilz chevaliers, |secorés ceste damoisele 	haa gentili cheualier secourez ceste damoisele 	43
52	que cist ribaut vuelent ocirre. 	que ces ribaux ueulent occire. 	44
53	Ha, 		
54|55	frans hom, |ne m’i laissiés morir, 	Haa franc homme ne me lessez mourir 	45
56	se vos onques eustes pitié de nule gentil damoisele !» 	si uous eustes onc pitie de nulle gentilz damoisele. 	46
57	Quant Boors ot ce 	quant boort ouy celle 	47
58	qu’ele li prie si pitousement 	qui le prie si piteusement 	48
59	qu'il la secore, 	quil la sequeure 	49
60	si ne set que fere, 	il ne scait que faire 	50
61|62	kar volentiers li aidast |s’il peust; 	car uoulentiers luy alast aider sil peust 	51
63	mais il voit l’eve noire et parfonde et si perilluse 	mais il uoit leaue parfonde noire et perilleuse 	52
64|65	qu’il cuide bien noier, |s’il se met dedens; 	que il cuide bien mourir sil si mect dedans. 	53
66	et d'autre part il voit cele 	Et dautre part il uoit celle 	54
67	qui si durement crie merci; 	qui si fort luy crie mercy. 	55
68	si l'em prent tels pitiés 	si luy en prent telle pitie 	56
69	qu’il en laisse totes poors 	quil en laisse toute paour. 	57
70	et fet le signe de la crois en mi son vis, 	si en fait le signe de la croix enmy son uis. 	58
71|72	puis enbrace l’escu |et broche le cheval des esperons 	puis embrace lescu et broche le cheual des esperons 	59
73	et se fiert en l’eve. 	et se fiert erraument en leaue. 	60
74	Et li chevals fu fors, 	et le cheual fu fort 	61
75	si commence a noer 	si commence a nouer 	62
76	si tost com il ot terre perdue, 	si tost quil eut terre perdue 	63
77	si l’enporte d’autre part de la rive a quelque paine, 	si lemporte de lautre part de ma riue a quelque peine. 	64
78	mais ançois ot beu de l’eve li uns et li autre, 	mais ancois eut beu de leaue lun et lautre. 	65
79	et se li chevals ne fust si buens, 	et se le cheual ne eust este 	66
80	noié fuissent ambedui, 	si bon ilz fuszent tous deux noyez. 	67
81	kar li chevaliers estoit pesans por les armes 	car le cħlr estoit pesant pour les armes 	68
82	qu’il avoit vestues. 	quil auoit uestues 	69
83	Quant il fu de l’autre part de l’eve, 	Quant il fu de lautre part de leaue 	70
84	si ne descendi pas, 	si ne descendy pas. 	71
85	ains cort vers cels 	ains court uers ceulx 	72
86	qui la damoisele tenoient 	qui tenoient la damoisele 	73
87	et fiert si le premier 	et fiert si fort le premier 	74
88	qu’il aconsieut 	quil actaint 	75
89	qu’il li met le glaive par mi le cors, 	quil luy mect le glaiue parmy le corps 	76
90|91	si l’abat a terre, |et li autre s’enfuient erraument 	si labat a terre et les autres senfuyent erraument par ce qͥlz estoient desarme. 	77
92	por ce que desarmé estoient. 		
93	Et la damoisele 	Et la damoisle 	78
94|95	qui delivree se voit |se met a genols devant Boort 	qui se uoit deliure se mect a genoux deuant boort. 	79
96	et dist: « 		
97|98	Ha, |gentils chevaliers, 	Haa gentilz cheualier fait elle. 	80
99	de Dieu soiés vos beneois, 	de dieu soyez uous beneist 	81
100|101	quant vos m’avés de mort rescosse, |et aorés en soit Diex, 	dont uous mauez de mort rescousse et aoure en soit dieu 	82
102	quant il ceste part vos amena, 	dont il uous amena ceste part. 	83
103|104	kar cist gloton m’euissent ja morte. |— 	Car ces gloutons meussent ia occise se uous ne fussez 	84
105|106	Damoisele, |fet il, 	Damoisele fait il pour quot. 	85
