0	avoir trové. » 	auoir trouue 	0
1	Si li conte tote s’aventure 	si luy compte toute son auanture 	1
2	issi com vos avés oi dire ça arrieres. 		
3	tant qu’il conoist bien 	tant quil cengnoit bien 	2
4	que c’est il 	que cest celle 	3
5	qu’ele quiert a, 	qui le quiert/ 	4
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	Mais pour le couroust |quil a du sencchal et de sa mort ne se uoult faire congnoistre/ 	5|6
7	ains li respont: « 	mes leur respont 	7
8|9	Certes, |damoisele, chevalier 	certes damoiselle 	8
		ie ne cengnois mie le cheualier 	9
10|11	qui porte escu blanc |ne conois je nul. — 	qui porte les blances armes. 	10
12|13	En non Dieu, |sire, 	En nen dieu fait elle 	11
14|15	fet ele, |ce poise moi chierement. » 	il me poyse monlt chierement. 	12
16	Et il n’en tient plus a li parole, 	A donc sen part |et ne uoult plus parler il la commandee a dieu et sen ua. 	13|14
17	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies 	15
18|19	tant qu’il vint a l’issue de la forest; |et il torne a destre vers un chemin viés et ancien; 	tant quil uint a lissue de la forest et il tourna a destre uers ung petit chemyn uieil: 	16
20	si ne demora gueres 	si ne demoura gueres 	17
21	qu’il vint a une eve P lee et parfonde, 	quil uint en une uallee/ |ou il couroit une eau 	18|19
22	mais il n’i trueve pont 	monlt roidde |la quelle estoit grande et parfonde/ 	20|21
23	ne gué ne passage nul. 	et ne treuue ne pont ne planche |par ou il puisse passer. 	22|23
24	Et il regarde d’autre part de l’eve, 	Sy regarde de laultre part de leaue 	24
25|26	si voit I. petit chastel molt bien seant, |clos de mur bateillié tot entor a la roonde. 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. 	25
27	ll regarde grant piece le chastel 	Il regarde le chastel grant pieche 	26
28	dont la façons li plest molt a regarder, 	car monlt luy plaisoit a uoir/ 	27
29	puis s’en torne contreval la riviere 	puis sen tourne contre ual la riuiere 	28
30	por savoir 	pour scauoir sil 	29
31	s’il i peust trover ne pont ne gué, 	pouroit trouuer ne pont ne gue par le quel il puisse passer/ 	30
32	mais il n’en trueve point 	mes il nen truue point. 	31
33	et quant il voit 	Et il uoit ce 	32
34|35	qu’il n’i passera, |si ne set que fere, 	si ne scait que faire/ 	33
36	que retorner ne voldroit il mie. 	car retourner ne uoulloit pas. 	34
37	Atant voit issir del chastel une damoisele 	A tant uoit yssir une damoiselle du chastel 	35
38	qui ert tote nue en sa chemise, 	la quelle estoit toute nue en sa chemise/ 	36
39	si le menoient troi vilain molt vilainement a 	sy la menoient quatre ribaulx monlt felonneusement 	37
40	et tenoit chescuns une hache en sa main; 	et tenoient chascun en sa main ung coustel trenchant. 	38
41	et ele crioit 	Et la damoiselle crioit 	39
42|43	quanque ele pooit crier |por els 	tant comme elle pouoit pour la laidure et honte 	40
44	qui li faisoient tel honte et tel laidure 	que telx ribaulx luy faisoient/ 	41
45	qu’il la venoient batant tot contreval la riviere. 	et la menoient batant contre ual la riuiere. 	42
46|47	Et quant la damoisele vit le chevalier |de l’autre part de ! l’eve, 	Et quant la damoyselle uoit le cheualier de lautre coste de la ry/ 	43
48	si commence a crier: « 	uiere commenca a crier 	44
49	Ha, 	et dire en tell maniere 	45
50|51	gentilz chevaliers, |secorés ceste damoisele 	Haa beau et gentil cheualier secoures ceste damoiselle 	46
52	que cist ribaut vuelent ocirre. 	que ces ribaulx ueullent occire/ haa franc homme fait elle me lesres uous ainsi mourir entre les mains de telx paillars. 	47
53	Ha, 	et se uous pitie de moy 	48
54|55	frans hom, |ne m’i laissiés morir, 	car se uous ne me secoures 	49
56	se vos onques eustes pitié de nule gentil damoisele !» 	ie suys a la mort liurer. 	50
57	Quant Boors ot ce 	Et quant boort ouyt 	51
58|59	qu’ele li prie si pitousement |qu'il la secore, 	quelle le prioit si piteusement 	52
60	si ne set que fere, 	si ne scait que faire 	53
61	kar volentiers li aidast 	car uoulentiers luy allast aider 	54
62	s’il peust; 	se il peult estre/ 	55
63	mais il voit l’eve noire et parfonde et si perilluse 	mes il uoit la riuiere parfonde et dangereuse a passer. 	56
64	qu’il cuide bien noier, 	et scait bien sil entre dedens 	57
65	s’il se met dedens; 	qu il se met en peril de mort. 	58
66	et d'autre part il voit cele 	Et daultre part il uoit celle 	59
67	qui si durement crie merci; 	qui si piteusement fui crie mercy. 	60
68	si l'em prent tels pitiés 	Si luy en prent telle pitie 	61
69	qu’il en laisse totes poors 	quil en laisse toute paour 	62
70|71	et fet le signe de la crois en mi son vis, |puis enbrace l’escu 	et fait le signe de la croix deuant son uisaige puys embrache son escu 	63
72	et broche le cheval des esperons 	et fiert son cheual des esperens 	64
73|74	et se fiert en l’eve. |Et li chevals fu fors, 	et se lanche dedens leaue tout erraument: 	65
75	si commence a noer 	et le cheual commence a noer 	66
76	si tost com il ot terre perdue, 	si tost quil eust terre perdue. 	67
77	si l’enporte d’autre part de la rive a quelque paine, 	et sen passe le cheual |iusques de laultre part de leaue 	68|69
78	mais ançois ot beu de l’eve li uns et li autre, 	mes ce fust a grant paine |car ains quilz feussent passes beurent de leaue lun et laultre 	70|71
79	et se li chevals ne fust si buens, 	et se le cheual neust este fort 	72
80	noié fuissent ambedui, 	et bon ilz feussent noyes et lun et laultre 	73
81	kar li chevaliers estoit pesans por les armes 	car le cheualier estoit fort pesant pour les armes 	74
82	qu’il avoit vestues. 	quil auoit uestues. 	75
83	Quant il fu de l’autre part de l’eve, 	Quant il fut de lautre part de leaue 	76
84	si ne descendi pas, 	si ne descendist oncques 	77
85|86	ains cort vers cels |qui la damoisele tenoient 	ains courust uers ceulx qui la damoiselle tenoient: 	78
87|88	et fiert si le premier |qu’il aconsieut 	et fiert tellement le premier quil encontre 	79
89	qu’il li met le glaive par mi le cors, 	qu il lui met le glauie parmy le corps 	80
90	si l’abat a terre, 	si labat a terre 	81
91|92	et li autre s’enfuient erraument |por ce que desarmé estoient. 	et les autres se met tent en fuite. 	82
93	Et la damoisele 	La damoiselle 	83
94	qui delivree se voit 	qui deliuree se sent 	84
95	se met a genols devant Boort 	se met a genoulx deuant lui 	85
96|97	et dist: « |Ha, 	et lui dit. 	86
98|99	gentils chevaliers, |de Dieu soiés vos beneois, 	Haa gentil cheualier de dieu soiez uous benoit: 	87
100	quant vos m’avés de mort rescosse, 	car ces gloutens me eussent occiz 	88
101|102	et aorés en soit Diex, |quant il ceste part vos amena, 	se ne feussez uous. 	89
103	kar cist gloton m’euissent ja morte. 		
104	— 		
