0	avoir trové. » 	avere trovato». 	0
1	Si li conte tote s’aventure 	Si gli conta tutta sua aventura 	1
2	issi com vos avés oi dire ça arrieres. 	si come el libro l’à trattato qua adietro, 	2
3	tant qu’il conoist bien 	tanto che conosce bene 	3
4	que c’est il 	che ciò est elli 	4
5	qu’ele quiert a, 	quelli cui ella chiede, 	5
		ma per lo cruccio 	6
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	ch’egli à della morte del |siniscalco non si vuole fare cognoscere, 	7|8
7	ains li respont: « 	anzi le risponde: 	9
8|9	Certes, |damoisele, chevalier 	'Certo, damigella, 	10
10|11	qui porte escu blanc |ne conois je nul. — 	il cavaliere che porta lo scudo bianco non ne so io nulla. 	11
12|13	En non Dieu, |sire, 	—A nome di Dio, 	12
14	fet ele, 	dis’ella, 	13
15	ce poise moi chierement. » 	ciò pesa a mes. 	14
16	Et il n’en tient plus a li parole, 	E non tenne più a-llei parole, 	15
17	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	anzi si parti si tosto come l’à comandata a dDio |e cavalca tanto in tale maniera 	16|17
		infino qua a terza, 	18
18	tant qu’il vint a l’issue de la forest; 	tanto che viene a l’uscita della foresta. 	19
19	et il torne a destre vers un chemin viés et ancien; 	Ed e torna a destra inverso uno camino vecchio e antico, 	20
20	si ne demora gueres 	si non dimora guari 	21
21	qu’il vint a une eve P lee et parfonde, 	che viene a una acqua lata e perfonda, 	22
22|23	mais il n’i trueve pont |ne gué ne passage nul. 	ma e' non vi truova né ponte né guado né passaggio nullo. 	23
24	Et il regarde d’autre part de l’eve, 	Ed elli isguarda d’altra parte dell’acqua, 	24
25	si voit I. petit chastel molt bien seant, 	si vide uno piccolo castello molto ben sedente, 	25
26	clos de mur bateillié tot entor a la roonde. 	chiuso d’uno muro battagliato tutto intorno alla ritonda. 	26
27	ll regarde grant piece le chastel 	eElli riguarda gran peza il castello, 	27
28	dont la façons li plest molt a regarder, 	donde la fazion gli piace molto al riguardare, 	28
29	puis s’en torne contreval la riviere 	poscia ritorna tutto contravalle la riviera 	29
30|31	por savoir |s’il i peust trover ne pont ne gué, 	per sapere se potrebbe trovare né ponte né guado, 	30
32	mais il n’en trueve point 	ma e non ve ne truova punto, 	31
33|34	et quant il voit |qu’il n’i passera, 	e quand’e vede che non potrà passare, 	32
35	si ne set que fere, 	si non sa che fare, 	33
36	que retorner ne voldroit il mie. 	ché ritornare non vorebbe elli mica. 	34
37	Atant voit issir del chastel une damoisele 	?Atanto vide uscire una damigella del castello 	35
38	qui ert tote nue en sa chemise, 	ch’era tutta ignuda in sua camicia solamente, 	36
39	si le menoient troi vilain molt vilainement a 	si-lla menavano iiii. rubaldi molto villanamente e 	37
40	et tenoit chescuns une hache en sa main; 	tenieno ciascuno una acciaia in sua mano. 	38
41	et ele crioit 	Ed ella grida quanto 	39
42	quanque ele pooit crier 	ch’ella può gridare 	40
43|44	por els |qui li faisoient tel honte et tel laidure 	per coloro che-lle facieno cotale onta e tal ladiura, 	41
45	qu’il la venoient batant tot contreval la riviere. 	ch’elli la menavano |battendo tutto contravalle la riviera. 	42|43
46	Et quant la damoisele vit le chevalier 	E quando la damigella vide lo cavaliere 	44
47	de l’autre part de ! l’eve, 	dall’altra parte dell’acqua, 	45
48	si commence a crier: « 	si gli comincia a gridare: 	46
49|50	Ha, |gentilz chevaliers, 	Hal, gentile huomo, 	47
51	secorés ceste damoisele 	soccorete questa damigella 	48
52	que cist ribaut vuelent ocirre. 	che questi rubaldi vogliono uccidere! 	49
53|54	Ha, |frans hom, 	Hal, franco cavaliere, 	50
55	ne m’i laissiés morir, 	non mi lasciate uccidere, 	51
56	se vos onques eustes pitié de nule gentil damoisele !» 	se voi unque aveste piatà di nulla gentile damigella». 	52
57	Quant Boors ot ce 	“Quando Boordo ode colei 	53
58	qu’ele li prie si pitousement 	che l priega si piatosamente 	54
59	qu'il la secore, 	che-lla soccorra, 	55
60	si ne set que fere, 	si non sa che fare, 	56
61|62	kar volentiers li aidast |s’il peust; 	ché volentieri l’andasse ad atare se potesse, 	57
63	mais il voit l’eve noire et parfonde et si perilluse 	ma e vede l’acqua nera e profonda e perigliosa 	58
64	qu’il cuide bien noier, 	che crede bene morire 	59
65	s’il se met dedens; 	s’elli si mette di dentro; 	60
66	et d'autre part il voit cele 	e d’altra parte e vede colei 	61
67	qui si durement crie merci; 	che si duramente gli grida mercé, 	62
68	si l'em prent tels pitiés 	si ne gli prende tale piatà 	63
69	qu’il en laisse totes poors 	che ne lascia tutte paure 	64
70	et fet le signe de la crois en mi son vis, 	e si fa el segno della santa croce nel miluogo del suo viso, 	65
71	puis enbrace l’escu 	poscia imbraccia lo scudo 	66
72	et broche le cheval des esperons 	e broca il cavallo degli sproni, 	67
73	et se fiert en l’eve. 	si fiede nell’acqua isnellamente. 	68
74	Et li chevals fu fors, 	El cavallo fu forte, 	69
75	si commence a noer 	incominciò a notare 	70
76	si tost com il ot terre perdue, 	si tosto com'elli ebbe terra perduta, 	71
77	si l’enporte d’autre part de la rive a quelque paine, 	si ne l portò d’altra parte della riva a qualche pena, 	72
