0	avoir trové. » 	queria fallar muy de grado 	0
1	Si li conte tote s’aventure 	e luego le conto todo 	1
2	issi com vos avés oi dire ça arrieres. 	como le auia conel contesçido |asi como el cuento lo a deuisado 	2|3
3	tant qu’il conoist bien 	e luego entendio boores 	4
4|5	que c’est il |qu’ele quiert a, 	que ael andaua ella buscando 	5
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	mas porel pesar dela muerte del senescal |no se quiso fazer conosçer 	6|7
7|8	ains li respont: « |Certes, 	antele rrespondio çierto donçella al cauallero 	8
9	damoisele, chevalier 		
10	qui porte escu blanc 	que traia blancas armas 	9
11|12	ne conois je nul. — |En non Dieu, 	no conozco yo 	10
13|14	sire, |fet ele, 	Pardios dixo la donçella 	11
15	ce poise moi chierement. » 	mucho me Pesa caramjente 	12
16	Et il n’en tient plus a li parole, 	e boores non quiso conella mas estar 	13
17	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	e acomendo la a dios |e fuese e andubo tanto 	14|15
18	tant qu’il vint a l’issue de la forest; 	que salio dela floresta |e dexo el camino 	16|17
19	et il torne a destre vers un chemin viés et ancien; 	e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	18|19
20	si ne demora gueres 	e non andubo mucho 	20
21	qu’il vint a une eve P lee et parfonde, 	porque llego a vn valle |Por do corria vn agua muy negra e fea e fonda 	21|22
22	mais il n’i trueve pont 	e non fallo puente 	23
23	ne gué ne passage nul. 	por do Pudiese pasar 	24
24	Et il regarde d’autre part de l’eve, 	e cato dela otra parte Del agua 	25
25	si voit I. petit chastel molt bien seant, 	e vio vn castillo muy bien asentado 	26
26	clos de mur bateillié tot entor a la roonde. 	çercado de muy buen muro todo enderredor 	27
27	ll regarde grant piece le chastel 	e el cato gran pieça el castillo 	28
28	dont la façons li plest molt a regarder, 	ca mucho se pagaua delo catar 	29
29	puis s’en torne contreval la riviere 	e despues torno la rribera ayuso 	30
30|31	por savoir |s’il i peust trover ne pont ne gué, 	Por saber si podria fallar puente 	31
32	mais il n’en trueve point 	Por do pasase |mas el no pudo fallar ninguna 	32|33
33	et quant il voit 	e boores desque esto vido no sabia 	34
34	qu’il n’i passera, 	que se façer 	35
35|36	si ne set que fere, |que retorner ne voldroit il mie. 	ca el no se queria tomar en ninguna manera 	36
37|38	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise, 	Ansi estando vio del castillo salir vna donçella en camisa 	37
39	si le menoient troi vilain molt vilainement a 	que traian quatro rribaldos muy sañudamente 	38
40	et tenoit chescuns une hache en sa main; 	e cadavno traia enla mano vna lança 	39
41	et ele crioit 	e ella daua vozes 	40
42	quanque ele pooit crier 	quanto podia dar 	41
43|44	por els |qui li faisoient tel honte et tel laidure 	e ellos la lleuaron muy desonrrada mente 	42
45	qu’il la venoient batant tot contreval la riviere. 	contra la rribera |porla yr ha echar 	43|44
46|47	Et quant la damoisele vit le chevalier |de l’autre part de ! l’eve, 	e quando la donçella vio a bores dela otra parte del agua 	45
48|49	si commence a crier: « |Ha, 	començo a dar vozes 	46
50|51	gentilz chevaliers, |secorés ceste damoisele 	e a deçir ay jentil cauallero acorred a esta donçella 	47
52|53	que cist ribaut vuelent ocirre. |Ha, 	que estos Ribaldos me quieren 	48
54|55	frans hom, |ne m’i laissiés morir, 	ansi matar ay buen cauallero 	49
56	se vos onques eustes pitié de nule gentil damoisele !» 	si nunca oviste piedad de donçella auelda agora de mi 	50
57	Quant Boors ot ce 	e no me dexedes asi morir Quando boores oyo lo 	51
58	qu’ele li prie si pitousement 	que la donçella deçia no supo 	52
59|60	qu'il la secore, |si ne set que fere, 	que façer 	53
61	kar volentiers li aidast 	ca muy de grado la quisiera acorrer 	54
62	s’il peust; 	si pudiese 	55
