0	avoir trové. » 	auoir troue fait elle. 	0
1	Si li conte tote s’aventure 	si li conte toute sauenture 	1
2	issi com vos avés oi dire ça arrieres. 	si com li contes la retrait cha en arriere. 	2
3|4	tant qu’il conoist bien |que c’est il 	Tant que il connoist bien quele le quiert. 	3
5	qu’ele quiert a, 		
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	Mais pour le courous quil a del senescal. |ne se volt il faire aconnoistre. 	4|5
7	ains li respont: « 	Ains li respont. 	6
8|9	Certes, |damoisele, chevalier 	Certes damoisele le cheualier 	7
10|11	qui porte escu blanc |ne conois je nul. — 	qui porte blanches armes ne connois iou mie. 	8
12|13	En non Dieu, |sire, 	Enon dieu sire fait elle 	9
14|15	fet ele, |ce poise moi chierement. » 	che poise moi moult durement. 	10
16	Et il n’en tient plus a li parole, 	Lors le commande a dieu |et puis sen part de li 	11|12
17	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	et cheuauche en tel maniere iusques a tierce. 	13
18	tant qu’il vint a l’issue de la forest; 	Tant que il vint a lissue de la forest. 	14
19	et il torne a destre vers un chemin viés et ancien; 	et torne a destre en vn petit chemin viez 	15
20	si ne demora gueres 	Si ne demora gaires 	16
21	qu’il vint a une eve P lee et parfonde, 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	17|18
22|23	mais il n’i trueve pont |ne gué ne passage nul. 	mais il ni troeue ne pont ne passage. 	19
24	Et il regarde d’autre part de l’eve, 	Et il regarde de lautre part de laigue 	20
25	si voit I. petit chastel molt bien seant, 	si y uoit. j. castel moult bien seant. 	21
26	clos de mur bateillié tot entor a la roonde. 	clos de mur bateillie tout entor a la reonde. 	22
27	ll regarde grant piece le chastel 	Il regarde le chastel grant piece 	23
28	dont la façons li plest molt a regarder, 	dont la fachons li plaisoit moult a regarder. 	24
29	puis s’en torne contreval la riviere 	puis sen torne contremont la riuiere 	25
30	por savoir 	pour sauoir 	26
31	s’il i peust trover ne pont ne gué, 	se il troueroit ne pont ne gue. 	27
32	mais il n’en trueve point 	mais il ni trueue nul passage. 	28
33|34	et quant il voit |qu’il n’i passera, 	Et quant il voit chou 	29
35	si ne set que fere, 	si ne set |que faire 	30|31
