	micha-ii-48	fr751-ii-48	fr111-ii-48	inc-ii-48	sommer--ii-48	lanzarote-ii-48	lancellotto-ii-48
0	avoir trové. » 	auoir troue 	auoir trouue. 	auoir trouue 	auoir troue fait elle. 	queria fallar muy de grado 	avere trovato». 
1	Si li conte tote s’aventure 	Si li conte tote sauenture 	si luy compte toute sauanture 	si luy compte toute son auanture 	si li conte toute sauenture 	e luego le conto todo 	Si gli conta tutta sua aventura 
2	issi com vos avés oi dire ça arrieres. 	ainsi com li contes la retraite. 	ansi comme le comte la dit |cy deuant tant 		si com li contes la retrait cha en arriere. 	como le auia conel contesçido |asi como el cuento lo a deuisado 	si come el libro l’à trattato qua adietro, 
3|4|5	tant qu’il conoist bien |que c’est il |qu’ele quiert a, 	Tant que il quenoit bien |que cest ele |que il le quiert. 	que il cognoist bien |que cest il quelle quiert. 	tant quil cengnoit bien |que cest celle |qui le quiert/ 	Tant que il connoist bien quele le quiert. 	e luego entendio boores |que ael andaua ella buscando 	tanto che conosce bene |che ciò est elli |quelli cui ella chiede, 
							ma per lo cruccio 
6	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	mais por le corrous quil auoit de la mort au seneschal: |ne se wet faire quenoistre a li 	Mais pour le courroux |quil a de la mort 	Mais pour le couroust |quil a du sencchal et de sa mort ne se uoult faire congnoistre/ 	Mais pour le courous quil a del senescal. |ne se volt il faire aconnoistre. 	mas porel pesar dela muerte del senescal |no se quiso fazer conosçer 	ch’egli à della morte del |siniscalco non si vuole fare cognoscere, 
7|8|9|10|11|12|13|14|15	ains li respont: « |Certes, |damoisele, chevalier |qui porte escu blanc |ne conois je nul. — |En non Dieu, |sire, |fet ele, |ce poise moi chierement. » 	si li dit. |Certes damoisele |qui port escu blanc ne sai ie nul. |En no dieu fait ele |de ce me poise il trop durement. 	au seneschal ne se ueult il faire cognoistre |Certes damoisele de celle mesmes matiere dessus dicte |ie ne scay nul cheualier |qui porte escu blanc. |Certes sire fait elle ce me poise 	mes leur respont |certes damoiselle |ie ne cengnois mie le cheualier |qui porte les blances armes. |En nen dieu fait elle |il me poyse monlt chierement. 	Ains li respont. |Certes damoisele le cheualier |qui porte blanches armes ne connois iou mie. |Enon dieu sire fait elle |che poise moi moult durement. 	antele rrespondio çierto donçella al cauallero |que traia blancas armas |no conozco yo |Pardios dixo la donçella |mucho me Pesa caramjente 	anzi le risponde: |'Certo, damigella, |il cavaliere che porta lo scudo bianco non ne so io nulla. |—A nome di Dio, |dis’ella, |ciò pesa a mes. 
16	Et il n’en tient plus a li parole, 	et il ne tient plus a li parole. 	et il ne tient plus parole a luy. |ains sem part 	A donc sen part |et ne uoult plus parler il la commandee a dieu et sen ua. 	Lors le commande a dieu |et puis sen part de li 	e boores non quiso conella mas estar 	E non tenne più a-llei parole, 
17	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce 	Ains sen part si tost comme il lot comandee a dieu. |et cheuauche en tel maniere. 	si tost quil leut commandee a dieu |et cheuauche en telle maniere iucqua tierce 	et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies 	et cheuauche en tel maniere iusques a tierce. 	e acomendo la a dios |e fuese e andubo tanto 	anzi si parti si tosto come l’à comandata a dDio |e cavalca tanto in tale maniera 
							infino qua a terza, 
18|19	tant qu’il vint a l’issue de la forest; |et il torne a destre vers un chemin viés et ancien; 	tant quil uient a lissue de la forest|et il torne a destre uers le chemin uiee et acien 	tant quil uient a lissue de la fourest.|et il tourne a destre vers ung chemin uieil et ancien. 	tant quil uint a lissue de la forest et il tourna a destre uers ung petit chemyn uieil: 	Tant que il vint a lissue de la forest. |et torne a destre en vn petit chemin viez 	que salio dela floresta |e dexo el camino |e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	tanto che viene a l’uscita della foresta. |Ed e torna a destra inverso uno camino vecchio e antico, 
20	si ne demora gueres 	Si ne demora gaires 	Si ne demoura gueres 	si ne demoura gueres 	Si ne demora gaires 	e non andubo mucho 	si non dimora guari 
21	qu’il vint a une eve P lee et parfonde, 	quil uient a une eue lee et parfonde. 	quil uient a une caue lee et parfonde 	quil uint en une uallee/ |ou il couroit une eau 	quil vint en vne moult grant ualee |ou il couroit vne aigue grant et roide et parfunde. 	porque llego a vn valle |Por do corria vn agua muy negra e fea e fonda 	che viene a una acqua lata e perfonda, 
22|23	mais il n’i trueve pont |ne gué ne passage nul. 	mais il ni trueue ne pont ne gue ne passaige nul. 	mais il ny treuue pont ne gue ne passage nul. 	monlt roidde |la quelle estoit grande et parfonde/ |et ne treuue ne pont ne planche |par ou il puisse passer. 	mais il ni troeue ne pont ne passage. 	e non fallo puente |por do Pudiese pasar 	ma e' non vi truova né ponte né guado né passaggio nullo. 
24	Et il regarde d’autre part de l’eve, 	et lors regarde il dautre part de leue. 	et il regarde de lautrepart de leaue 	Sy regarde de laultre part de leaue 	Et il regarde de lautre part de laigue 	e cato dela otra parte Del agua 	Ed elli isguarda d’altra parte dell’acqua, 
25|26	si voit I. petit chastel molt bien seant, |clos de mur bateillié tot entor a la roonde. 	Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde 	si uoit ung petit chastel moult |bien seant clos de mur bataille tout entour a la ronde . 	et uoit ung beau chastel monlt bien seant et bien cloz de muraille tout entour. 	si y uoit. j. castel moult bien seant. |clos de mur bateillie tout entor a la reonde. 	e vio vn castillo muy bien asentado |çercado de muy buen muro todo enderredor 	si vide uno piccolo castello molto ben sedente, |chiuso d’uno muro battagliato tutto intorno alla ritonda. 
27	ll regarde grant piece le chastel 	Il esgarde Longuement le chastel 	Il regarde grant piece le chastel 	Il regarde le chastel grant pieche 	Il regarde le chastel grant piece 	e el cato gran pieça el castillo 	eElli riguarda gran peza il castello, 
