0	avoir trové. » 	Sire fait elle pour ce |que ie le uoudroie auoir trouue. 	0|1
1|2	Si li conte tote s’aventure issi |com vos avés oi dire ça arrieres. 	si luy compte toute sauanture ansi comme le comte la dit cy deuant tant 	2
3	tant qu’il conoist bien 	que il cognoist bien 	3
4	que c’est il 	que cest il 	4
5	qu’ele quiert a, 	quelle quiert. 	5
6	Mais por le coros de la mort 	Mais pour le courroux 	6
7|8	al seneschal ne se volt fere conoistre, |ains li respont: « 	quil a de la mort au seneschal ne se ueult il faire cognoistre 	7
9|10	Certes, damoisele, chevalier |qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, 	Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier 	8
11	ce poise moi chierement. » 	qui porte escu blanc. |Certes sire fait elle ce me poise 	9|10
12	Et il n’en tient plus a li parole, 	et il ne tient plus parole a luy. 	11
13	ains part si tost com il l’ot commandee a Dieu a 	ains sem part si tost |quil leut commandee a dieu 	12|13
14	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	et cheuauche en telle maniere iucqua tierce |tant quil uient a lissue de la fourest. 	14|15
15	et il torne a destre vers un chemin viés et ancien; 	et il tourne a destre vers ung chemin uieil et ancien.	16
16	si ne demora gueres 	Si ne demoura gueres 	17
17	qu’il vint a une eve P lee et parfonde, 	quil uient a une caue lee et parfonde 	18
18	mais il n’i trueve pont ne gué ne passage nul. 	mais il ny treuue pont ne gue ne passage nul. 	19
19|20	Et il regarde d’autre part de l’eve, |si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	et il regarde de lautrepart de leaue si uoit ung petit chastel moult bien seant clos de mur bataille tout entour a la ronde . Il regarde grant piece le chastel 	20
21	dont la façons li plest molt a regarder, 	dont la facon luy plaist moult a regarder 	21
22	puis s’en torne contreval la riviere	puis sen retourne tout contreual la riuiere 	22
23	por savoir s’il i peust trover ne pont ne gué, 	pour sauoir |sil pourroit trouuer ne pont ne gue 	23|24
24	mais il n’en trueve point 	Mais il ny en treuue point. 	25
25	et quant il voit 	Et quant il uoit 	26
26	qu’il n’i passera, 	quil ne puet passer 	27
27	si ne set que fere, 	si ne scet que faire 	28
28	que retorner ne voldroit il mie. 	car retourner ne uouldroit il pas. 	29
29	Atant voit issir del chastel une damoisele 	Adonc uoit yssir du chastel une damoisele 	30
30	qui ert tote nue en sa chemise, 	qui estoit toute nue en sa chemise. 	31
31	si le menoient troi vilain molt vilainement a 	si la menoyent quatre nibaux moult uilainement 	32
32	et tenoit chescuns une hache en sa main; 	et tenoit ch̃un une hache en sa main. 	33
33|34	et ele crioit |quanque ele pooit crier por els 	et elle crioit tant quelle pouoit crier pour ceulx 	34
35	qui li faisoient tel honte et tel laidure 	qui luy faisoient tel honte et telle laidure 	35
36	qu’il la venoient batant tot contreval la riviere. 	qui la uenoient batant tout contreual la riuiere. 	36
37|38	Et|quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	Et quant la damoisele uoit le cheualier de lautre part de leaue 	37
39	si commence a crier: « 	si luy commence a crier 	38
40	Ha, gentilz chevaliers, secorés ceste damoisele 	haa gentili cheualier secourez ceste damoisele 	39
41	que cist ribaut vuelent ocirre. 	que ces ribaux ueulent occire. 	40
42	Ha, frans hom, ne m’i laissiés morir, 	Haa franc homme ne me lessez mourir 	41
43	se vos onques eustes pitié de nule gentil damoisele !» 	si uous eustes onc pitie de nulle gentilz damoisele. 	42
44	Quant Boors ot ce 	quant boort ouy celle 	43
45	qu’ele li prie si pitousement 	qui le prie si piteusement 	44
46|47	qu'il la secore, |si ne set que fere, 	quil la sequeure il ne scait que faire 	45
48|49	kar volentiers li aidast |s’il peust; 	car uoulentiers luy alast aider sil peust 	46
50	mais il voit l’eve noire et parfonde et si perilluse 	mais il uoit leaue parfonde noire et perilleuse 	47
51|52	qu’il cuide bien noier, |s’il se met dedens; 	que il cuide bien mourir sil si mect dedans. 	48
53	et d'autre part il voit cele 	Et dautre part il uoit celle 	49
54	qui si durement crie merci; 	qui si fort luy crie mercy. 	50
55	si l'em prent tels pitiés 	si luy en prent telle pitie 	51
56	qu’il en laisse totes poors 	quil en laisse toute paour. 	52
57	et fet le signe de la crois en mi son vis, 	si en fait le signe de la croix enmy son uis. 	53
58	puis enbrace l’escu 	puis embrace lescu 	54
59	et broche le cheval des esperons 	et broche le cheual des esperons 	55
60	et se fiert en l’eve. 	et se fiert erraument en leaue. 	56
61	Et li chevals fu fors, 	et le cheual fu fort 	57
62	si commence a noer 	si commence a nouer si tost 	58
63	si tost com il ot terre perdue, 	quil eut terre perdue 	59
64	si l’enporte d’autre part de la rive a quelque paine, 	si lemporte de lautre part de ma riue a quelque peine. 	60
