0	avoir trové. » 	avere trovato». 	0
1	Si li conte tote s’aventure issi 	Si gli conta tutta sua aventura 	1
2	com vos avés oi dire ça arrieres. 	si come el libro l’à trattato qua adietro, 	2
3	tant qu’il conoist bien 	tanto che conosce bene 	3
4|5	que c’est il |qu’ele quiert a, 	che ciò est elli quelli cui ella chiede, 	4
6	Mais por le coros de la mort 	ma per lo cruccio 	5
7	al seneschal ne se volt fere conoistre, 	ch’egli à della morte del siniscalco non si vuole fare cognoscere, 	6
8	ains li respont: « 	anzi le risponde: 	7
9	Certes, damoisele, chevalier 	'Certo, damigella, il cavaliere 	8
10|11	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, |ce poise moi chierement. » 	che porta lo scudo bianco non ne so io nulla. —A nome di Dio, dis’ella, ciò pesa a mes. 	9
12	Et il n’en tient plus a li parole, 	E non tenne più a-llei parole, 	10
13	ains part si tost com il l’ot commandee a Dieu a 	anzi si parti si tosto come l’à comandata a dDio 	11
14	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	e cavalca tanto in tale maniera infino qua a terza, |tanto che viene a l’uscita della foresta. 	12|13
15	et il torne a destre vers un chemin viés et ancien; 	Ed e torna a destra inverso uno camino vecchio e antico, 	14
16	si ne demora gueres 	si non dimora guari 	15
17	qu’il vint a une eve P lee et parfonde, 	che viene a una acqua lata e perfonda, 	16
18	mais il n’i trueve pont ne gué ne passage nul. 	ma e' non vi truova né ponte né guado né passaggio nullo. 	17
19	Et il regarde d’autre part de l’eve, 	Ed elli isguarda d’altra parte dell’acqua, 	18
20	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	si vide uno piccolo castello molto ben sedente, chiuso d’uno muro battagliato tutto intorno alla ritonda. eElli riguarda gran peza il castello, 	19
21	dont la façons li plest molt a regarder, 	donde la fazion gli piace molto al riguardare, 	20
22	puis s’en torne contreval la riviere	poscia ritorna tutto contravalle la riviera	21
23	por savoir s’il i peust trover ne pont ne gué, 	per sapere |se potrebbe trovare né ponte né guado, 	22|23
24	mais il n’en trueve point 	ma e non ve ne truova punto, 	24
25	et quant il voit 	e quand’e vede 	25
26	qu’il n’i passera, 	che non potrà passare, 	26
27	si ne set que fere, 	si non sa |che fare, 	27|28
28	que retorner ne voldroit il mie. 	ché ritornare non vorebbe elli mica. 	29
29	Atant voit issir del chastel une damoisele 	?Atanto vide uscire una damigella del castello 	30
30	qui ert tote nue en sa chemise, 	ch’era tutta ignuda in sua camicia solamente, 	31
31	si le menoient troi vilain molt vilainement a 	si-lla menavano iiii. rubaldi molto villanamente 	32
32	et tenoit chescuns une hache en sa main; 	e tenieno ciascuno una acciaia in sua mano. 	33
33	et ele crioit 	Ed ella grida 	34
34	quanque ele pooit crier por els 	quanto |ch’ella può gridare per coloro 	35|36
35	qui li faisoient tel honte et tel laidure 	che-lle facieno cotale onta e tal ladiura, 	37
36	qu’il la venoient batant tot contreval la riviere. 	ch’elli la menavano battendo tutto contravalle la 	38
37|38	Et|quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	riviera.E quando la damigella vide lo cavaliere dall’altra parte dell’acqua, 	39
39	si commence a crier: « 	si gli comincia a gridare: 	40
40	Ha, gentilz chevaliers, secorés ceste damoisele 	Hal, gentile huomo, soccorete questa damigella 	41
41	que cist ribaut vuelent ocirre. 	che questi rubaldi vogliono uccidere! 	42
42	Ha, frans hom, ne m’i laissiés morir, 	Hal, franco cavaliere, non mi lasciate uccidere, 	43
