0	avoir trové. » 	queria fallar muy de grado 	0
1	Si li conte tote s’aventure issi 	e luego le conto todo 	1
2	com vos avés oi dire ça arrieres. 	como le auia conel contesçido |asi como el cuento lo a deuisado 	2|3
3|4	tant qu’il conoist bien |que c’est il 	e luego entendio boores 	4
5|6	qu’ele quiert a, |Mais por le coros de la mort 	que ael andaua ella buscando mas porel pesar dela muerte del senescal 	5
7	al seneschal ne se volt fere conoistre, 	no se quiso fazer 	6
8|9	ains li respont: « |Certes, damoisele, chevalier 	conosçer antele rrespondio çierto donçella al cauallero 	7
10	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, 	que traia blancas armas no conozco yo 	8
11	ce poise moi chierement. » 	Pardios dixo la donçella mucho me Pesa caramjente 	9
12	Et il n’en tient plus a li parole, 	e boores non quiso conella mas estar 	10
13	ains part si tost com il l’ot commandee a Dieu a 	e acomendo la a dios |e fuese e andubo tanto 	11|12
14	et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	que salio dela floresta 	13
15	et il torne a destre vers un chemin viés et ancien; 	e dexo el camino e tomo a mano derecha vn camino pequeño 	14
16	si ne demora gueres 	e biejo lleno de yerba |e non andubo mucho porque llego a vn valle 	15|16
17	qu’il vint a une eve P lee et parfonde, 	Por do corria vn agua muy negra e fea e fonda 	17
18	mais il n’i trueve pont ne gué ne passage nul. 	e non fallo puente |por do Pudiese pasar 	18|19
19	Et il regarde d’autre part de l’eve, 	e cato dela otra parte Del agua 	20
20	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	e vio vn castillo muy bien asentado |çercado de muy buen muro todo enderredor e el cato gran pieça el castillo 	21|22
21	dont la façons li plest molt a regarder, 	ca mucho se pagaua delo catar 	23
22	puis s’en torne contreval la riviere	e despues torno la rribera ayuso 	24
23	por savoir s’il i peust trover ne pont ne gué, 	Por saber si podria fallar puente 	25
24|25	mais il n’en trueve point |et quant il voit 	Por do pasase mas el no pudo fallar ninguna 	26
26|27	qu’il n’i passera, |si ne set que fere, 	e boores desque esto vido no sabia que se façer 	27
28	que retorner ne voldroit il mie. 	ca el no se queria tomar en ninguna manera 	28
29|30	Atant voit issir del chastel une damoisele |qui ert tote nue en sa chemise, 	Ansi estando vio del castillo salir vna donçella en camisa 	29
31	si le menoient troi vilain molt vilainement a 	que traian quatro rribaldos muy sañudamente 	30
32	et tenoit chescuns une hache en sa main; 	e cadavno traia enla mano vna lança 	31
33	et ele crioit 	e ella daua vozes 	32
34|35	quanque ele pooit crier por els |qui li faisoient tel honte et tel laidure 	quanto podia dar 	33
36	qu’il la venoient batant tot contreval la riviere. 	e ellos la lleuaron muy desonrrada mente contra la rribera 	34
37	Et	porla yr ha echar 	35
38	quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	e quando la donçella vio a bores dela otra parte del agua 	36
39	si commence a crier: « 	començo a dar vozes |e a deçir 	37|38
40	Ha, gentilz chevaliers, secorés ceste damoisele 	ay jentil cauallero acorred a esta donçella 	39
41|42	que cist ribaut vuelent ocirre. |Ha, frans hom, ne m’i laissiés morir, 	que estos Ribaldos me quieren ansi matar 	40
43|44	se vos onques eustes pitié de nule gentil damoisele !» |Quant Boors ot ce 	ay buen cauallero 	41
45|46	qu’ele li prie si pitousement |qu'il la secore, 	si nunca oviste piedad de donçella auelda agora de mi 	42
47|48	si ne set que fere, |kar volentiers li aidast 	e no me dexedes asi morir Quando boores oyo lo que la donçella deçia no supo 	43
49|50	s’il peust; |mais il voit l’eve noire et parfonde et si perilluse 	que façer 	44
51	qu’il cuide bien noier, 	ca muy de grado la quisiera acorrer si pudiese |Mas el agua hera muy fonda e peligrosa e negra e bien cuidaua morir 	45|46
52	s’il se met dedens; 	si se y Metiese 	47
53	et d'autre part il voit cele 	e dela otra parte veya la donçella 	48
54	qui si durement crie merci; 	que muy afincada mente le pedia merçed 	49
55	si l'em prent tels pitiés 	e ovo tal piedad della 	50
56	qu’il en laisse totes poors 	que le fiço todo el miedo perder 	51
57	et fet le signe de la crois en mi son vis, 	e fiço la señal dela cruz sobre si 	52
58|59	puis enbrace l’escu |et broche le cheval des esperons 	e enbraço el escudo e firio al cauallo de las espuelas 	53
60	et se fiert en l’eve. 		
61|62	Et li chevals fu fors, |si commence a noer 	e lanço se en el agua e el cauallo començo de nadar luego 	54
63	si tost com il ot terre perdue, 	e perdio tierra en tal manera 	55
64	si l’enporte d’autre part de la rive a quelque paine, 	que paso dela otra parte del agua 	56
65	mais ançois ot beu de l’eve li uns et li autre, 	mas ante beuio el cauallo del agua 	57
66	et se li chevals ne fust si buens, noié fuissent ambedui, 	e si el caballo tan bueno no fuera |sin dubda el moriera enel agua 	58|59
67	kar li chevaliers estoit pesans por les armes 	e boores porel peso delas armas 	60
68	qu’il avoit vestues. 	que llebaua 	61
69|70	Quant il fu de l’autre part de l’eve, |si ne descendi pas, 	e desque fue dela otra Parte del agua dexo se correr aquellos que la donçella tenian 	62
71	ains cort vers cels 		
72	qui la damoisele tenoient 		
73	et fiert si le premier 	e firio al primero 	63
74	qu’il aconsieut 	que encontro en tal manera 	64
75	qu’il li met le glaive par mi le cors, 	que le metio la lança porel cuerpo 	65
76	si l’abat a terre, 	e los otros dos 	66
77	et li autre s’enfuient erraument por ce	que aquello vieron fuyeron luego por miedo de no ser muertos 	67
78	que desarmé estoient. 	ca todos estauan desarmados 	68
79|80	Et la damoisele |qui delivree se voit se met a genols devant Boort 	e la donçella desque aquello vido finco los ynojos ante boores 	69
81	et dist: « 	e dixo 	70
