		Comment lancelot sceust par une damoyselle	0
		que la royne estoit mallade sy manda au roy	1
		et a la royne de ses nouuelles C	2
		xuiii	3
0	Or dit li contes	OR dist le compte	4
1	que tant demora Lanceloz la ou la vielle l ot mené qu il ot passé	que tant demoura lancelot la ou la uieille lauoit mene	5
2|3	VI|semainnes	quil olt passe six sepmaines	6
4	et lors se santi sains	Et lors se sentist sain	7
5	et haitiés	et haictie	8
6	et desirranz de porter armes	et desirant de porter armes	9
7	Toz ne fust il mie encor bien gariz se li anuioit li repos	Si nestoit il pas encore trop bien gari|mes le repos luy ennuyoit pour ce	10|11
8	por ce qu il avoit trop longuement geu ce li ert avis	que trop auoit geu ce luy estoit aduis	12
9	Et il se part de laienz	Il se partist de leans	13
10	et les conmande toz a Deu		
11	et la vielle li ot aprestees unes armes bonnes	et la uieille luy auoit apprestes unes armes	14
12	et beles	qui estoient bennes	15
13	et un escu tout nuef;	et belles:|et escu tout neuf	16|17
14|15	si se mist en son chemin|et acueilli sa voie aprés la vielle	Et il se mist en son chemin ap̃s la uielle	18
16	Quant il ot chevauchié dusqu a midi	Quant il eust cheuauche iusques a midy	19
17|18	si ataint I|damoi] cjsele a l entree d une forest	si attaint une damoyselle a lentree de une forest	20
19	qui chevauchoit I		
20|21	petit palefroi noir|et pensoit moult durement	qui cheuauchoit ung petit palleffroy noir la quelle pensoit menlt durement	21
22|23	et bien paroit a ses iauz qu ele avoit rouges|et anflez qu ele eust ploré	et sembloit bien a ses yeux quelle auoit ploure	22
24	Il la salue	Il la sallue	23
25	quant il l aproche		
26	et ele lui ausi	et elle luy	24
27	Damoisele fait il vos me samblez moult couroucie	Damoiselle fist il uous me sembles courouchee	25
28	et je savroie volentiers l achoison de vostre courouz	ie scairoie uoulentiers lachoison de uostre couroust:	26
29	Et bien sachiez	et sachies	27
30	que j'i metroie volentiers tout le bon conseil	que ie y mettroie tout le meilleur conseil	28
31	que je porroie — Certes fait ele il n a home el monde fors Deu	que ie pourroie|Certes fist elle il nest homme fors dieu	29|30
32	qui consoil i poïst metre	qui conseil y peust mettre	31
33	car de ce	car de ce	32
34|35	dont je cuit estre couroucie sont C|mile autre couroucie ne ce n est	donc ie suis courouchiee sont cent mille aultres courouchies	33
36|37	? mie chose ou je perde seulement|mais tuit li povre gentil home del monde	ne ce nest mie chose ou ie perde seullement mes tous les preudommes du mende tant de la grande bretaingne	34
38	et tuit li riche de la Grant Bretaingne		
39	et d autres terres	que de autres terrrs	35
40|41	— Enon Dieu damoisele faît Lanceloz|dont n est a il mie merveille se vos en estes couroucie	Par dieu dit lancelot du lac damoiselle denc nest ce pas de merueille se uous estes courroucee	36
42	et je vos pri	et ie uous prie	37
43	que vos me diez	que uous me diez	38
44	que ce est	que cest:	39
45|46	car puis|que toutes genz le sevent vos le poez bien dire ce m est' avis	puis que toutes gens le scaiuent uous le me pouez bien dire	40
47|48	sanz meffait|— Sire fait ele jel vos dirai	Sire fist elle ie le uous diray	41
