0|1	Or dit li contes|que tant demora Lanceloz la ou la vielle l ot mené qu il ot passé	Mas agora dexa el Cuento de fablar de don yban y torna a Contar de don lançarote y dela vieja Agora dexa el quento de fablar delos Caualleros	0
2|3	VI|semainnes	que andauan en busca de don lançarote	1
4|5	et lors se santi sains|et haitiés	por contarlo quele auino conla donzella vieja	2
6|7	et desirranz de porter armes|Toz ne fust il mie encor bien gariz se li anuioit li repos	que andaba ensu guarda	3
8	por ce qu il avoit trop longuement geu ce li ert avis	e de otras cosas muchas agora dize el quento	4
9|10	Et il se part de laienz|et les conmande toz a Deu	que lançarote moro bien seis semanas alli dola donzella vieja lo lleuo y entonze se sintio sano	5
11|12	et la vielle li ot aprestees unes armes bonnes|et beles	e deseoso de tomar armas pero no hera aun bien guarido	6
13	et un escu tout nuef;		
14	si se mist en son chemin	mas no le plazia	7
15|16	et acueilli sa voie aprés la vielle|Quant il ot chevauchié dusqu a midi	porque yoguiera tanto envn lugar y	8
17|18	si ataint I|damoi] cjsele a l entree d une forest	entonçe se partio dende y la vieja le tenia muy buenas armas y vn escudo blanco y armose y acogiose asu camino conla vieja y desque andubieron asta visperas fallaron ala entrada devna floresta vna donzella	9
19|20	qui chevauchoit I|petit palefroi noir	que andaba envn palafren morzillo y no andaua conella ome del mundo	10
21	et pensoit moult durement	e yba pensando muy fieramente	11
22	et bien paroit a ses iauz qu ele avoit rouges		
23	et anflez qu ele eust ploré	e semejaua|que lloraua mucho	12|13
24	Il la salue	e traia los ojos vermejos	14
25	quant il l aproche	e inchados	15
26|27	et ele lui ausi|Damoisele fait il vos me samblez moult couroucie	e lanzarote saluo la donzella y ella ael donzella dixo el semejame	16
28	et je savroie volentiers l achoison de vostre courouz	que algun gran pesar auedes|e querria sauer	17|18
29	Et bien sachiez	porque ca saued	19
30	que j'i metroie volentiers tout le bon conseil	que os porne todo el mejor consejo	20
31	que je porroie — Certes fait ele il n a home el monde fors Deu	que yo pudiere çierto señor dixo la donzella enel mundo no a ome	21
32	qui consoil i poïst metre	que pudiese poner consejo enesto	22
		porque yo so triste sino dios	23
33	car de ce	e por lo	24
34	dont je cuit estre couroucie sont C	que yo so triste lo debria ser todo el mundo|e se quelo son	25|26
35	mile autre couroucie ne ce n est	mas de çient mill|omes	27|28
36	? mie chose ou je perde seulement	ca esto no es perdida devn	29
37	mais tuit li povre gentil home del monde	ome solo antes lo es de todos los Ricos	30
38	et tuit li riche de la Grant Bretaingne	e delos pobres dela gran bretaña	31
39|40	et d autres terres|— Enon Dieu damoisele faît Lanceloz	e demas delas otras tierras pordios dixo el donzella no es marauilla	32
41	dont n est a il mie merveille se vos en estes couroucie	si uos ende pesa	33
42	et je vos pri	e porende vos Ruego	34
43	que vos me diez	que me digades	35
44	que ce est	que cosa es o	36
45	car puis	que perdida es puesque tantos lo sauen bien melo podedes dezir	37
46	que toutes genz le sevent vos le poez bien dire ce m est' avis	si quisieredes señor dixo la donzella pues vos tan gran sauor auedes delo sauer deçiruosloe marauillome|como lo vos no sauedes	38|39
47	sanz meffait	Ca ya tiempo	40
48|49	— Sire fait ele jel vos dirai|puis que vos avez tel talant del savoir	a que todo el mundo lo saue verdad es dixo la donzella	41
50	et si me merellie mouit	que este pesar me viene	42
51	que vos nei savez	por dos cosas la vna es demi hermana|que me tomo vn cauallero a fuerça y la otra es	43|44
52|53	car toz li mondes le set ja a|Voirs est fait ele	por muerte devn cauallero el mejor del mundo	45
54	que mes couroz est de Jl	que si el fuese viuo el me daria derecho dequien tanto tuerto me fizo	46
55	¡or a force	mas vien se	47
		que es muerto y dire vos	48
56	et d un prodome	como asi es	49
57|58	qui bien men venjast s il fust vis dusqu a ore|Mais il est morz	que quando yo vi el cauallero	50
59	et si vos dirai ot prise ma seror a force ne randre ne la me voloit	que ami hermana tomo|que mela no quiso dar	51|52
60	por proiere ne	por Ruego ni	53
61|62	por donner|que ge m esmui a aler a la cort le roi Artus	por al fui ala corte del Rey artur	54
63	por faire ma clamor de ce	por me quexar de aquel cauallero	55
64	que li chevaliers m avoit fait sanz raison	que nos tan gran tuerto fizo	56
65|66	Et quant je i fui venue n a mie encor IIl|jorz	e desque llegue ala corte oy a quatro dias	57
67|68	si ne trouvai|qui me respondist de riens	que me quexe no pude fallar quien me Respondiese	58
69	car tuit antandoient a plourer	ca todos no entendian enal sino en llorar	59
70	et a duel faire	e fazer gran duelo	60
71|72	Et quant je vi ce|si fui toute esbahie	e quando esto vi fuy marauillada	61
73|74	si priai a J|escuier	e Rogue a vn escudero	62
75	que il me deist	que me dixese	63
76|77	por quoi il faisoient tel duel|et il me dist	porque lo façia el me dixo este duelo fazen	64
78|79	que c estoit|por Lancelot de Lac	por don lanzarote de lago	65
		que es muerto y otrosi porla Reyna ginebra	66
80	qui morz estoit	que esta maltrecha	67
		que bien cuidan	68
		que no guaresçera	69
81	Et quant je vi	e quando yo vi	70
82|83	que je n i porroie riens faire de ma besoingne|si me parti ier matin dolante	que no podia ay adouar demi façienda Partime dende muy triste	71
84	et couroucie de la mort au bon chevalier	e muy cuitada porla mi muerte del buen cauallero deque todo el mundo se fallara en mengua	72
85|86	dont touz li mons avra soufraite|car jamais ne sera hom	ca enel mundo no hauia cauallero	73
87|88	qui ait tel pitié de povre damoisele com il avoit|Si sui trop irie	que tan gran duelo ouiese de donzellas	74
89|90	que je n avrai jamais|qui me face droit de tort	e de pobre gente y de	75
91|92	que l an m a fait|si ne finai	oy	76
93|94	puis de plorer|por la grant pitié	mas no podre fallar quien mi derecho faga y poresto no dexo de llorar porel gran daño	77
95|96	que j ai del prodome|et por la perte	que Resçeui porla muerte del buen Cauallero	78
97|98	que je i ai b;|car se il fust vis	ca si el fuese bibo	79
99	et il seust le grant tort	e supiese el tuerto	80
100	que l an m a fait il m an queist la venjance	que ami fizieron el me daria tal derecho	81
101	que j en fusse liee touz les jorz de ma vie	Porque mi Corazon fuese alegre en	82
102	Et ce est ce	quanto fuese viua agora vistes y sabeis	83
103	por quoi je ai hui tant Ploré	por que lloraua	84
104	Quant Lanceloz an	asi como vistes Como don lançarote estaua muy triste	85
105|106	tant que la roine est|si malade	Por quanto le dixeron quela Reyna ginebra estaua enferma	86
107	si est moult a malaise	Quando Lançarote oyo quela Reyna hera tan enferma pesole ende mucho y	87
