,micha_iv-75.txt,inc-iv-75.txt,lanzarote-iv-75.txt,sommer_tome_5_iv-75.txt,lancellotto-iv-75.txt
0|1,Or dit li contes|que tant demora Lanceloz la ou la vielle l ot mené qu il ot passé,Comment lancelot sceust par une damoyselle|que la royne estoit mallade sy manda au roy|et a la royne de ses nouuelles C|xuiii|OR dist le compte|que tant demoura lancelot la ou la uieille lauoit mene,Mas agora dexa el Cuento de fablar de don yban y torna a Contar de don lançarote y dela vieja Agora dexa el quento de fablar delos Caualleros,OR dist li contes|que tant demora lancelot la ou la uielle lot mene quil ot passe,Or dice il conto|che tanto dimora Lancelotto là ove la vecchia l ebbe menato
2|3,VI|semainnes,quil olt passe six sepmaines,que andauan en busca de don lançarote,vi|semaines,ch egli ebbe passate sei settimane
4|5,et lors se santi sains|et haitiés,Et lors se sentist sain|et haictie,por contarlo quele auino conla donzella vieja,Et lors se senti il sains|& haities,Allor|si senti sano|e atato
6|7,et desirranz de porter armes|Toz ne fust il mie encor bien gariz se li anuioit li repos,et desirant de porter armes|Si nestoit il pas encore trop bien gari|mes le repos luy ennuyoit pour ce,que andaba ensu guarda,& desirans de porter armes|Encore ne fust il pas bien garis|se li anuioit li repos,e disiderante di portare arme tutto non foss elli mica ben guarito ancora
,,,,,si gli nvidiava il riposo per ciò
8,por ce qu il avoit trop longuement geu ce li ert avis,que trop auoit geu ce luy estoit aduis,e de otras cosas muchas agora dize el quento,por ce quil auoit tant longement geu ce li iert auis,ch elli aveva troppo lungamente giaciuto ciò li era aviso
9|10,Et il se part de laienz|et les conmande toz a Deu,Il se partist de leans,que lançarote moro bien seis semanas alli dola donzella vieja lo lleuo y entonze se sintio sano,Et il sen part de laiens|si lez commande tous a dieu,Si si parte di là entro|e li comanda a Dio
11|12,et la vielle li ot aprestees unes armes bonnes|et beles,et la uieille luy auoit apprestes unes armes|qui estoient bennes,e deseoso de tomar armas pero no hera aun bien guarido,Et la vielle li ot aprestees armes|qui estoient beles|et bones,e la vechia li ebbe apportate un arme buone|e forti
13,et un escu tout nuef;,et belles:|et escu tout neuf,,et escu tout nuef,e uno scudo tutto nuovo|:
,,,,,e elli
